gid,id,id_gest,pc_pilote,gestionnai,deppr,concession,route,pr,abs,cumul,cote,type,mise_en_se,angle,anglev,picto,nb_ligne,nb_car,flash,pannonceau,longitude,latitude,x,y,z,sens_litte,datemodif
1,1,S/A1-Y/00+0200,DIRIF,DIRIF,93,0,A1,0,200,0,D,PMV,0,6,7,0,2,18,0,0,2.358804507262221,48.90327328679768,652995.7472165234,6867221.079464912,0,PARIS - LILLE,
2,2,S/A1-W/02+0200,DIRIF,DIRIF,93,0,A1,2,200,2,G,PMV,0,-176,0,0,2,18,0,0,2.357140064239502,48.92079925537109,652889.6006959939,6869170.905530581,0,LILLE - PARIS,
3,3,S/A1-Y/02+0200,DIRIF,DIRIF,93,0,A1,2,200,2,D,PMV,0,-2,3,0,2,15,0,0,2.357417577085471,48.920481322204886,652909.6493824398,6869135.386523198,0,PARIS - LILLE,
4,4,S/A1-Y/07+0400,DIRIF,DIRIF,93,0,A1,7,400,7,D,PMV,0,71,0,0,2,18,0,0,2.415800094604492,48.93840026855469,657202.7541366623,6871094.72629941,0,PARIS - LILLE,
5,5,S/A1-W/07+0900,DIRIF,DIRIF,93,0,A1,7,900,8,G,PMV,0,-109,0,0,2,18,0,0,2.421360015869141,48.93989944458008,657611.2765206809,6871258.4361867085,0,LILLE - PARIS,
6,6,S/A1-W/10+0400,DIRIF,DIRIF,93,0,A1,10,400,10,G,PMV,0,-129,0,0,2,18,0,0,2.450969934463501,48.95149993896485,659789.3078290198,6872532.938726714,0,LILLE - PARIS,
7,7,S/A1-W/17+0200,DIRIF,DIRIF,95,0,A1,17,200,17,G,PMV,0,-146,0,0,2,18,0,0,2.516069889068604,48.99509811401367,664586.8466855148,6877350.081501614,0,LILLE - PARIS,
8,8,S/A103-W/00+0550,DIRIF,DIRIF,93,0,A103,0,550,1,G,PMV,0,-82,0,0,2,18,0,0,2.474910020828247,48.88719940185546,661495.0933009407,6865370.863388424,0,VILLEMOMBLE - ROSNY SOUS BOIS,
9,9,S/A104-E/10+0700,DIRIF,DIRIF,77,0,A104,10,700,11,G,PMV,0,-56,0,0,2,18,0,0,2.598690032958984,48.96979904174805,670618.48717278,6874502.770644032,0,ECH A4 - ECH A1,
10,10,S/A104-I/13+0900,DIRIF,DIRIF,77,0,A104,13,900,14,D,PMV,0,163,0,0,2,18,0,0,2.628649950027466,48.95040130615234,672801.8113942593,6872334.926483649,0,ECH A1 - ECH A4,
11,11,S/A104-E/17+0000,DIRIF,DIRIF,77,0,A104,17,0,17,G,PMV,0,-19,0,0,2,18,0,0,2.630140066146851,48.923099517822266,672896.7279767429,6869298.402564711,0,ECH A4 - ECH A1,
12,12,S/A104-I/23+0700,DIRIF,DIRIF,77,0,A104,23,700,24,D,PMV,0,170,0,0,2,18,0,0,2.669620037078857,48.87390136718751,675766.9057140289,6863814.825327268,0,ECH A1 - ECH A4,
13,13,S/A104-E/26+0300,DIRIF,DIRIF,77,0,A104,26,300,26,G,PMV,0,3,0,0,2,18,0,0,2.662169933319092,48.851898193359375,675209.9824700084,6861370.502764553,0,ECH A4 - ECH A1,
14,14,S/A104-I/26+0300,DIRIF,DIRIF,77,0,A104,26,300,26,D,PMV,0,183,0,0,2,18,0,0,2.662029981613159,48.852100372314446,675199.809079228,6861393.027703714,0,ECH A1 - ECH A4,
15,15,S/A104-E/01+0200,DIRIF,DIRIF,93,0,A104,1,200,1,G,PMV,0,-66,6,0,2,12,0,0,2.497184907166229,48.97174300718751,663188.3565499202,6874761.494268809,0,ECH A4 - ECH A1,24/5/2016
16,16,S/A104-E/04+0800,DIRIF,DIRIF,93,0,A104,4,800,5,G,PMV,0,-113,0,0,2,18,0,0,2.543920040130615,48.96139907836913,666603.2027589165,6873590.429021928,0,ECH A4 - ECH A1,
17,17,S/A104-I/06+0900,DIRIF,DIRIF,93,0,A104,6,900,7,D,PMV,0,62,0,0,2,18,0,0,2.567739963531494,48.969200134277344,668352.1656403057,6874448.129648553,0,ECH A1 - ECH A4,
18,18,16-23,APRR,APRR,77,0,A105,1,280,1,D,PMV,0,155,0,0,4,18,0,0,2.624560117721558,48.643699645996094,672340.1261465377,6838234.80037764,0,PARIS - MELUN,
19,19,16-37,APRR,APRR,77,0,A105,1,750,2,G,PMV,0,-25,0,0,4,18,0,0,2.627379894256592,48.63990020751953,672545.8734039288,6837811.421062157,0,MELUN - PARIS,
20,20,16-36,APRR,APRR,77,0,A105,6,90,6,G,PMV,0,-6,3,0,4,18,0,0,2.634380355466419,48.601121982863646,673041.6923965465,6833497.989484174,0,MELUN - PARIS,24/5/2016
21,21,16-35,APRR,APRR,77,0,A105,8,500,9,G,PMV,0,-9,0,0,4,18,0,0,2.638010025024414,48.5797004699707,673298.4004944565,6831115.360241197,0,MELUN - PARIS,
22,22,15-27,APRR,APRR,89,0,A19,2,310,2,D,PMV,0,228,0,0,3,15,0,0,3.282310009002686,48.25650024414063,720952.6065511536,6795166.404288941,0,SENS - ARTENAY,
23,23,15-37,APRR,APRR,89,0,A19,3,50,3,G,PMV,0,40,0,0,4,15,0,0,3.274760007858276,48.252201080322266,720393.9221987801,6794686.616817313,0,ARTENAY - SENS,
24,24,d_7,APRR,APRR,89,0,A19,7,420,7,G,PMV,0,26,0,0,4,15,0,0,3.238229990005493,48.22209930419922,717692.6023913338,6791332.320863951,0,ARTENAY - SENS,
25,25,d_14,APRR,APRR,89,0,A19,14,300,14,D,PMV,0,187,0,0,4,15,0,0,3.176199913024902,48.17810058593751,713096.7414352543,6786430.364277913,0,SENS - ARTENAY,
26,26,d_20,APRR,APRR,89,0,A19,20,590,21,G,PMV,0,32,5,0,3,15,0,0,3.145407292875802,48.12676865275803,710818.4684782057,6780721.029407024,0,ARTENAY - SENS,24/5/2016
27,27,d_27,APRR,APRR,89,0,A19,27,240,27,D,PMV,0,216,0,0,4,15,0,0,3.119138645081421,48.073541191275964,708872.9775141664,6774802.629817492,189,SENS - ARTENAY,25/11/2018
28,28,Mailly le Camp_D,Sanef,Sanef,10,0,A26,343,800,344,D,PMVC,0,193,0,1,2,10,1,0,4.170149803161621,48.671699523925774,786159.7721704958,6841920.367529064,0,CALAIS - TROYES,
29,29,65-27,APRR,Sanef,10,0,A26,369,860,370,D,PMV,0,184,0,0,3,15,0,0,4.156559944152832,48.44350051879882,785530.756501497,6816540.209777163,0,CALAIS - TROYES,
30,30,Montsuzain,Sanef,Sanef,10,0,A26,371,200,371,G,PMVC,2003,21,0,1,2,10,1,0,4.151780128479004,48.43199920654297,785195.9484753854,6815256.737301396,0,TROYES - CALAIS,
31,31,65-32,APRR,APRR,10,0,A26,375,918,376,G,PMV,0,-14,0,1,3,15,1,8,4.153389930725098,48.39120101928711,785381.2531467716,6810724.079653485,0,TROYES - CALAIS,
32,32,65-26,APRR,APRR,10,0,A26,384,415,384,D,PMV,0,181,0,0,4,15,0,0,4.163969993591309,48.315799713134766,786287.935217348,6802355.695159713,0,CALAIS - TROYES,
33,33,65-33,APRR,APRR,10,0,A26,389,975,390,G,PMV,0,-2,0,0,3,15,0,0,4.164790153503418,48.265899658203125,786430.5397370801,6796811.103273375,0,TROYES - CALAIS,
34,34,65-25,APRR,APRR,10,0,A26,391,149,391,D,PMV,0,167,0,1,4,15,1,8,4.166520118713379,48.25559997558594,786575.8089342124,6795668.399969509,0,CALAIS - TROYES,
35,35,Cauroy_D,Sanef,Sanef,51,0,A26,248,100,248,D,PMVC,0,161,0,1,2,10,1,0,3.949460029602051,49.36800003051758,768979.8492396149,6919134.026826877,0,CALAIS - TROYES,
36,36,La Neuvillette,Sanef,Sanef,51,0,A26,257,210,257,D,PMV,0,216,0,1,4,15,1,8,3.992000102996826,49.293899536132805,772173.8559955518,6910929.24969224,0,CALAIS - TROYES,
37,37,Thillois_D,Sanef,Sanef,51,0,A26,261,706,262,D,PMVC,0,174,0,1,2,10,1,0,3.960857411619827,49.26186201934777,769951.521175964,6907337.63036478,87,CALAIS - TROYES,25/11/2018
38,38,Juvigny_D,Sanef,Sanef,51,0,A26,304,240,304,D,PMVC,0,186,0,1,2,10,1,0,4.297900199890137,49.000801086425774,794963.9446324125,6878656.264526768,0,CALAIS - TROYES,
39,39,St Gibrien,Sanef,Sanef,51,0,A26,310,500,311,G,PMV,0,6,0,1,4,15,1,8,4.28957986831665,48.946601867675774,794453.6534751614,6872619.762129662,0,TROYES - CALAIS,
40,40,Bussy_D,Sanef,Sanef,51,0,A26,326,600,327,D,PMVC,2005,209,0,1,2,10,1,0,4.282737878569265,48.8041365379619,794209.9004823028,6856771.982604161,0,CALAIS - TROYES,
41,41,1_D,Sanef,Sanef,51,0,A26,330,400,330,D,PMVC,0,215,0,1,2,10,1,0,4.256569862365723,48.77450180053711,792340.6038284134,6853446.459475688,0,CALAIS - TROYES,
42,42,S/A3-Y/00+0200,DIRIF,DIRIF,93,0,A3,0,200,0,D,PMV,0,67,0,0,2,18,0,0,2.415110111236572,48.86460113525391,657091.4223186413,6862888.894930939,0,PARIS - ECH A1,
43,43,S/A3-W/01+0440,DIRIF,DIRIF,93,0,A3,1,440,1,G,PMV,0,-132,0,0,2,18,0,0,2.429640054702759,48.86959838867188,658161.3601202348,6863436.757791848,0,ECH A1 - PARIS,
44,44,S/A3-Y/03+0200,DIRIF,DIRIF,93,0,A3,3,200,3,D,PMV,0,58,0,0,2,18,0,0,2.449429988861084,48.87939834594727,659620.6209370536,6864516.151427029,0,PARIS - ECH A1,
45,45,S/A3-Y/06+0200,DIRIF,DIRIF,93,0,A3,6,200,6,D,PMV,0,-17,0,0,2,18,0,0,2.473419904708862,48.8911018371582,661388.7183761713,6865805.525544112,0,PARIS - ECH A1,
46,46,S/A3-W/08+0400,DIRIF,DIRIF,93,0,A3,8,400,8,G,PMV,0,-158,0,0,2,18,0,0,2.474260091781616,48.90959930419922,661464.0188509059,6867861.977219248,0,ECH A1 - PARIS,
47,47,S/A3-Y/09+0600,DIRIF,DIRIF,93,0,A3,9,600,10,D,PMV,0,13,0,0,2,18,0,0,2.479300022125244,48.91999816894531,661841.0584528438,6869015.8673708895,0,PARIS - ECH A1,
48,48,S/A3-Y/11+0900,DIRIF,DIRIF,93,0,A3,11,900,12,D,PMV,0,-11,0,0,2,18,0,0,2.479569911956787,48.93939971923828,661875.0564155249,6871173.189636033,0,PARIS - ECH A1,
49,49,S/A3-W/12+0300,DIRIF,DIRIF,93,0,A3,12,300,12,G,PMV,0,-195,0,0,2,18,0,0,2.476999998092651,48.94469833374024,661690.6986339494,6871763.646126648,0,ECH A1 - PARIS,
50,50,S/A3-Y/15+0100,DIRIF,DIRIF,93,0,A3,15,100,15,D,PMV,0,90,0,0,2,18,0,0,2.48048996925354,48.96860122680664,661963.820549605,6874420.027317572,0,PARIS - ECH A1,
51,51,S/A3-W/17+0300,DIRIF,DIRIF,95,0,A3,17,200,17,G,PMV,0,-142,0,0,2,18,0,0,2.498539924621582,48.98130035400391,663294.3072075273,6875823.688508654,0,ECH A1 - PARIS,
