MARCHE_ID,MARCHE_UID,ACHETEURS_ID,ACHETEURS_NOM,NATURE_MARCHE,MARCHE_OBJET,CPV_CODE,PROCEDURE,LIEU_EXEC_CODE,LIEU_EXEC_TYPE,LIEU_EXEC_NOM,DUREE_MOIS,NOTIFICATION_DATE,PUBLICATION_DATE,MONTANT,PRIX_FORME,TITULAIRES_ID,TITULAIRES_ID_TYPE,TITULAIRES_DENOMINATION,MODIF_OBJET,MODIF_NOTIFICATION_DATE,MODIF_PUBLICATION_DATE,MODIF_DUREE_MOIS,MODIF_MARCHE_MONTANT,MODIF_TITULAIRES_ID,MODIF_TITULAIRES_ID_TYPE,MODIF_TITULAIRES_DENOMINATION
2018M0901,217805175000152018M0900,21780517500015,Mairie de Rambouillet,accord-cadre,Nettoyage des locaux et de la vitrerie des batiments communaux,90911200-8,Appel d offres ouvert,78517,Code commune,Rambouillet,48,2019-01-09,2019-01-17,560000,ferme et actualisable,32409588400056,SIRET,SAS Euro Defense Service Labrenne Proprete,Modification du descriptif des prestations sur 3 sites et changement de nom pour 1 site,2019-04-17,2019-05-14,,,,,
2018PA2600,217805175000152018PA2600,21780517500015,Mairie de Rambouillet,marche,Amelioration du système de diffusion sonore dans la ville de Rambouillet,48952000-6,Procédure adaptée,78517,Code commune,Rambouillet,2,2019-01-18,2019-01-31,47622,ferme,50446882800059,SIRET,Cap Visio SAS,,,,,,,,
2018M1000,217805175000152018M1000,21780517500015,Mairie de Rambouillet,accord-cadre,Achat de fournitures diverses pour les espaces verts lot 1 arbres et coniferes de grandes tailles,03452000-3,Appel d offres ouvert,78517,Code commune,Rambouillet,48,2019-02-15,2019-02-15,200000,ferme et actualisable,30361308700020,SIRET,Pepinieres Thuilleaux SARL,,,,,,,,
2018M1000,217805175000152018M1000,21780517500015,Mairie de Rambouillet,accord-cadre,Achat de fournitures diverses pour les espaces verts lot 3 plantes a massifs de printemps et d automne,03451000-6,Appel d offres ouvert,78517,Code commune,Rambouillet,48,2019-02-15,2019-02-15,120000,ferme et actualisable,33382224500069,SIRET,Societe Graines Voltz SA,,,,,,,,
2018PA2700,217805175000152018PA2700,21780517500015,Mairie de Rambouillet,accord-cadre,Prestations de securite gardiennage de l hotel de ville,79713000-5,Procédure adaptée,78517,Code commune,Rambouillet,48,2019-02-15,2019-02-15,280000,ferme et actualisable,48255743600029,SIRET,Iso Protection SARL,,,,,,,,
2019PA0200,217805175000152019PA0200,21780517500015,Mairie de Rambouillet,marche,Reamenagement du parvis de la mediatheque,45112500-0,Procédure adaptée,78517,Code commune,Rambouillet,3,2019-03-19,2019-03-19,59769.76,ferme et actualisable,51197362000020,SIRET,FT Batiment SARL,,,,,,,,
2018M1100,217805175000152018M1100,21780517500015,Mairie de Rambouillet,accord-cadre,Achat de materiels de signalisation verticale routiere de produits de signalisation routiere et de petit mobilier urbain lot 1 fourniture de materiels de signalisation verticale routiere et de produits de signalisation routiere,34992200-9,Appel d offres ouvert,78517,Code commune,Rambouillet,48,2019-03-22,2019-03-22,240000,ferme et actualisable,39106472200039,SIRET,JCB Signalisation SASU,,,,,,,,
2018M1100,217805175000152018M1100,21780517500015,Mairie de Rambouillet,accord-cadre,Achat de materiels de signalisation verticale routiere de produits de signalisation routiere et de petit mobilier urbain lot 2 fourniture de petit mobilier urbain,34928400-2,Appel d offres ouvert,78517,Code commune,Rambouillet,48,2019-03-22,2019-03-22,200000,ferme et actualisable,3910647220039,SIRET,JCB Signalisation SASU,,,,,,,,
2019PA1100,217805175000152019PA1100,21780517500015,Mairie de Rambouillet,marche,Assistance a maitrise d ouvrage action cœur de ville,73000000-2,Procédure adaptée,78517,Code commune,Rambouillet,3,2019-04-12,2019-04-16,41375,ferme,48175088300011,SIRET,Scop Atelier 15 Scoparl,,,,,,,,
2019PA0400,217805175000152019PA0400,21780517500015,Mairie de Rambouillet,marche,Extension du preau terrassement gros œuvre du musee rambolitrain,45112500-0,Procédure adaptée,78517,Code commune,Rambouillet,4,2019-04-15,2019-04-16,48315.53,ferme et actualisable,30966237700022,SIRET,Entreprise Deotto SAS,,,,,,,,
