type_de_lecteur_janvier_fevrier_mars_avril_mai_juin_juillet_aout_septembre_octobre_novembre_decembre_total_id
Ados 13-17 Bib agglo+LCL;1273;1317;1222;1049;987;1093;682;1080;1090;1276;1244;1273;13586;1.73
Adultes +26 LCL;7423;6680;7179;5994;5900;5727;2477;4357;5137;6528;6230;6223;69855;8.91
Enfants 0-12 Bib agglo+LCL;2631;2827;2754;2333;1942;1746;929;1719;1669;2339;2297;2138;25324;3.23
Total Jeunes 18-25;13877;12304;13784;9926;9876;8603;3017;5449;7886;11519;10954;8986;116181;14.82
Gratuit CCAS;12296;11666;12989;10405;10074;10000;4342;8121;8465;10934;10840;9751;119883;15.3
Lecteur empêché LCL;40;60;89;84;76;128;44;106;110;136;125;146;1144;0.15
Total Bib agglo+LCL;9280;9228;9520;8063;7503;7095;3668;6265;6557;8813;8619;8253;92864;11.85
Enfants 0-12 VDR+LCL;12237;11643;12641;10229;9452;9895;4379;7884;8838;12244;11563;10421;121426;15.49
Jeunes 18-25 VDR+LCL;8526;7490;8295;5837;5838;5069;1794;3196;4677;6660;6596;5619;69597;8.88
Total LCL seulement;12712;11456;12533;9812;9533;9065;3571;6436;8308;11136;10345;9479;114386;14.6
Total Ados 13-17;7534;7619;7541;6350;5930;6676;3237;5756;6037;6830;6451;6338;76299;9.74
Lecteur empêché Bib agglo+LCL;14;15;19;17;14;15;7;43;16;20;12;21;213;0.03
Adultes +26 Bib agglo+LCL;4238;3989;4306;3645;3498;3248;1622;2695;2932;3935;3976;3854;41938;5.35
Gratuit Nouvel habitant;2600;2363;2906;2214;2020;2048;735;1397;1732;2668;2875;2535;26093;3.33
Total Adultes;47042;43072;47209;37170;36406;34811;15429;27679;30526;40479;40472;38757;439052;56.02
Enfants 0-12 LCL;598;657;638;433;323;409;151;245;483;552;505;428;5422;0.6900000000000001
Ados 13-17 LCL;424;325;357;231;258;260;104;203;219;304;217;282;3184;0.41000000000000003
Lecteur empêché VDR+LCL;255;196;260;273;294;224;179;275;249;256;264;278;3003;0.38
Ados 13-17 VDR+LCL;5837;5977;5962;5070;4685;5323;2451;4473;4728;5250;4990;4783;59529;7.6
Jeunes 18-25 LCL;4227;3734;4270;3070;2976;2541;795;1525;2359;3616;3268;2400;34781;4.44
Jeunes 18-25 Bib agglo+LCL;1124;1080;1219;1019;1062;993;428;728;850;1243;1090;967;11803;1.51
Adultes +26 VDR+LCL;16558;15152;15808;12340;12300;12025;5622;10034;10738;13289;13182;13033;150081;19.15
Total enfants 0-12;15466;15127;16033;12995;11717;12050;5459;9848;10990;15135;14365;12987;152172;19.42
Total VDR+LCL;61927;57438;62514;48566;46893;45980;19903;36031;40574;54014;53278;49336;576454;73.56
Gratuit Nouvel étudiant;3618;2951;3653;2198;2230;1396;401;651;1147;2713;2968;2916;26842;3.43
Total prêts LCL hors pro;83919;78122;84567;66441;63929;62140;27142;48732;55439;73963;72242;67068;783704;
