nomAttribuant,idAttribuant,dateConvention,referenceDecision,nomBeneficiaire,idBeneficiaire,objet,montant,nature,conditionsVersement,datesPeriode Versement,pourcentageSubvention,type
Département de la Somme,22800001400016,2020/01/09,21,LES ASTELLES,41102590100017,FSE,"31 500,00",aide en numéraire,"Le total des versements, avance comprise, effectués avant la production du bilan d’exécution final ne peut excéder 80% du montant FSE prévisionnel. L’avance éventuellement consentie au bénéficiaire est déduite au plus tard lors du versement du solde.",2020/01/09_2022/01/07,1,fonctionnement
Département de la Somme,22800001400016,2020/01/09,21,LES JARDINS DE LA BRESLE,41344003300012,FSE,"36 000,00",aide en numéraire,"Le total des versements, avance comprise, effectués avant la production du bilan d’exécution final ne peut excéder 80% du montant FSE prévisionnel. L’avance éventuellement consentie au bénéficiaire est déduite au plus tard lors du versement du solde.",2020/01/09_2022/01/07,1,fonctionnement
Département de la Somme,22800001400016,2020/01/09,22,ARTOIS INSERTION RESSOURCERIE,38745382200034,FSE,"24 735,80",aide en numéraire,"Le total des versements, avance comprise, effectués avant la production du bilan d’exécution final ne peut excéder 80 % du montant FSE prévisionnel. L’avance éventuellement consentie au bénéficiaire est déduite au plus tard lors du versement du solde.",2020/01/09_2022/01/07,1,fonctionnement
Département de la Somme,22800001400016,2020/01/09,22,COMMUNAUTÉ AGGLOMÉRATION AMIENS MÉTROPOLE,24800053100173,FSE,"61 920,00",aide en numéraire,"Le total des versements, avance comprise, effectués avant la production du bilan d’exécution final ne peut excéder 80 % du montant FSE prévisionnel. L’avance éventuellement consentie au bénéficiaire est déduite au plus tard lors du versement du solde.",2020/01/09_2022/01/07,1,fonctionnement
Département de la Somme,22800001400016,2020/01/09,22,RECYCLERIE VIMEU BRESLE,75344620200016,FSE,"25 500,00",aide en numéraire,"Le total des versements, avance comprise, effectués avant la production du bilan d’exécution final ne peut excéder 80 % du montant FSE prévisionnel. L’avance éventuellement consentie au bénéficiaire est déduite au plus tard lors du versement du solde.",2020/01/09_2022/01/07,1,fonctionnement
Département de la Somme,22800001400016,2020/01/21,21,ASSOCIATION SAINT-JEAN,31407814800041,Appui à la mobilité,"24 500,00",aide en numéraire,"Une avance unique peut, sur demande du bénéficiaire, lui être versé jusqu'à hauteur de 50 % du montant prévisionnel de la subvention ; des acomptes peuvent, sur demande du bénéficiaire, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Aucun acompte ne peut être inférieur à 500 € ; le solde sur production de l'ensemble des pièces justificatives. Le montant du solde doit être supérieur ou égal à 10 % du montant de la subvention.",2020/01/21_2022/01/19,1,fonctionnement
Département de la Somme,22800001400016,2020/01/21,22,COMMUNAUTÉ AGGLOMÉRATION AMIENS MÉTROPOLE,24800053100173,FSE,"27 000,00",aide en numéraire,"Le total des versements, avance comprise, effectués avant la production du bilan d’exécution final ne peut excéder 80 % du montant FSE prévisionnel. L’avance éventuellement consentie au bénéficiaire est déduite au plus tard lors du versement du solde.",2020/01/21_2022/01/19,1,fonctionnement
Département de la Somme,22800001400016,2020/01/21,22,LES ASTELLES,41102590100017,FSE,"66 240,00",aide en numéraire,"Le total des versements, avance comprise, effectués avant la production du bilan d’exécution final ne peut excéder 80% du montant FSE prévisionnel. L’avance éventuellement consentie au bénéficiaire est déduite au plus tard lors du versement du solde.",2020/01/21_2022/01/19,1,fonctionnement
Département de la Somme,22800001400016,2020/01/21,2.3,CC DU GRAND ROYE,20007097700018,BIP POP PLATEFORME ENTRAIDE ENTRE PARTICULIERS ASSOCIATIONS ET COLLECTIVITES,"36 763,00",aide en numéraire,"Une avance unique peut, sur demande du bénéficiaire, lui être versée jusqu’à hauteur de 50 % du montant prévisionnel de la subvention; des acomptes peuvent, sur demande du bénéficiaire, lui être versés, sur production des documents suivants : pièces justificatives du service réalisé au jour de la demande de l’acompte et états récapitulatifs des dépenses réalisées au jour de la demande de l’acompte, aucun acompte ne peut être inférieur à 500 €, le solde sur production de l’ensemble des pièces justificatives, le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/01/21_2022/01/19,1,fonctionnement
Département de la Somme,22800001400016,2020/01/21,2.3,MENAGE SERVICE PARTICULIERS,33406938200060,NUMÉRIQUE ET PROJET DE VIE,"40 800,00",aide en numéraire,"une avance unique peut, sur demande du Bénéficiaire, lui être versée jusqu’à hauteur de 50% du montant prévisionnel de la subvention ; des acomptes peuvent, sur demande du Bénéficiaire, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Aucun acompte ne peut être inférieur à 500 € ; le solde sur production de l’ensemble des pièces justificatives. Le montant du solde doit être supérieur ou égal à 10% du montant de la subvention.",2020/01/21_2022/01/19,1,fonctionnement
Département de la Somme,22800001400016,2020/01/21,23,ASSOCIATION D'INSERTION ET FORMATION DANS LE DEPARTEMENT DE LA SOMME,51308961500019,Accompagnement social des bénéficiaires du RSA,"71 250,00",aide en numéraire,"Une avance unique peut, sur demande du bénéficiaire, lui être versé jusqu'à hauteur de 50 % du montant prévisionnel de la subvention ; des acomptes peuvent, sur demande du bénéficiaire, lui être versés au vu de la présentation des états récapitulatifs des dépenses réalisées. Aucun acompte ne peut être inférieur à 500 € ; le solde sur production de l'ensemble des pièces justificatives. Le montant du solde doit être supérieur ou égal à 10 % du montant de la subvention.",2020/01/21_2022/01/19,1,fonctionnement
