description,nombre-de-requetes,Id,certificat-valide,balises,titre,utilise-google-analytics,Démarche,taille,mots-clefs,URL,og:image,viewport
,1,5091511,True,36,Douanes - Transit communautaire et commun,True,766,1365,,https://transit.pro.douane.gouv.fr/natweb.nw/gi_dti/LIBGIDTI.E0,,
,46,5091519,True,1694,Contributions Indirectes En Ligne (CIEL) | Portail de la Direction Générale des Douanes et Droits Indirects,True,762,615585,,https://www.douane.gouv.fr/service-en-ligne/declaration-fiscale-sur-les-vins-et-alcools-ciel,,"width=device-width, initial-scale=1.0"
,35,5091514,True,1521,Mouvements de produits soumis à accise (EMCS-GAMMA) | Portail de la Direction Générale des Douanes et Droits Indirects,True,798,615626,,https://www.douane.gouv.fr/service-en-ligne/mouvements-de-produits-soumis-accise-emcs-gamma,,"width=device-width, initial-scale=1.0"
,33,5091512,True,73,Déclaration européenne de services (DES) | Portail de la Direction Générale des Douanes et Droits Indirects,True,814,412631,,https://www.douane.gouv.fr/service-en-ligne/ouverture?code_teleservice=DES&sid=&app=68,,"width=device-width, initial-scale=1.0"
,45,5091508,True,1299,Consultation bordereaux de vente en détaxe (PABLO-O) | Portail de la Direction Générale des Douanes et Droits Indirects,True,800,613739,,https://www.douane.gouv.fr/service-en-ligne/consultation-bordereaux-de-vente-en-detaxe-pablo-o,,"width=device-width, initial-scale=1.0"
,45,5091504,True,1276,Système de contrôle des exportations (ECS) | Portail de la Direction Générale des Douanes et Droits Indirects,True,767,649492,,https://www.douane.gouv.fr/service-en-ligne/systeme-de-controle-des-exportations-ecs,,"width=device-width, initial-scale=1.0"
,34,5091494,True,1242,Déclaration de prise en charge douanière (DELTA P) | Portail de la Direction Générale des Douanes et Droits Indirects,True,764,649492,,https://www.douane.gouv.fr/service-en-ligne/declaration-en-ligne-avec-traitement-automatise-prise-en-charge-delta-p,,"width=device-width, initial-scale=1.0"
,35,5091490,True,1305,Déclaration en douane - Fret express (DELTA X) | Portail de la Direction Générale des Douanes et Droits Indirects,True,765,651338,,https://www.douane.gouv.fr/service-en-ligne/declaration-en-douane-fret-express-delta-x,,"width=device-width, initial-scale=1.0"
,34,5091488,True,1350,Système de contrôle des importations (ICS) | Portail de la Direction Générale des Douanes et Droits Indirects,True,768,618011,,https://www.douane.gouv.fr/service-en-ligne/systeme-de-controle-des-importations-ics,,"width=device-width, initial-scale=1.0"
,35,5091473,True,1442,Déclaration en douane – Fret traditionnel (DELTA G) | Portail de la Direction Générale des Douanes et Droits Indirects,True,813,619857,,https://www.douane.gouv.fr/service-en-ligne/declaration-en-douane-fret-traditionnel-delta-g,,"width=device-width, initial-scale=1.0"
,47,5071786,True,73,RITA Encyclopédie | Portail de la Direction Générale des Douanes et Droits Indirects,True,769,519357,,https://www.douane.gouv.fr/service-en-ligne/ouverture?code_teleservice=RITA_ENCYCLOPEDIE&sid=&app=38,,"width=device-width, initial-scale=1.0"
Le Compte asso,21,5065122,True,166,Le compte Asso,True,1835,277946,,https://lecompteasso.associations.gouv.fr/login,,"width=device-width, initial-scale=1"
,23,5454077,True,71,Authentification | monespace.justice.fr,True,1969,4262941,,https://www.monespace.justice.fr/authentification,,"width=device-width, initial-scale=1, minimum-scale=1, user-scalable=no"
,61,5442945,True,509,Bienvenue - Journée Défense et Citoyenneté,True,2014,1569655,JDC,https://presaje.sga.defense.gouv.fr/,,"width=device-width,minimum-scale=1.0, initial-scale=1.0, maximum-scale=1.0, user-scalable=no"
,33,5258809,True,941,Guichet-entreprises.fr – Une seule adresse pour créer votre entreprise,True,1976,940821,,http://www.guichet-entreprises.fr/fr/,,"width=device-width, initial-scale=1"
,23,5339295,True,113,Connexion,True,1972,235044,,https://citoyens.telerecours.fr/#/authentication,,"width=device-width, initial-scale=1, shrink-to-fit=no"
"Santé, famille, logement, retraite, solidarité, emploi...Ce site vous permet d’accéder de manière centralisée aux prestations dont vous bénéficiez et de simuler vos droits à certaines aides (APL, RSA, prime d’activité, AAH, CMUc, ACS…), et d'engager vos démarches auprès des organismes.",20,5269160,True,191,Vos droits sociaux en un seul clic – mesdroitssociaux.gouv.fr (PNDS),True,2031,777173,Simulation Simulateur Allocations Aides sociales Aides financières Prestation Pôle Emploi Prime d'activité Rémunération Formation continue Compte personnel d'activité APL Simulation APL Aide au logement Allocation au logement CAF Allocations familiales Petite enfance RSA AAH Assurance retraite Caisse retraite ASPA Ameli ACS CMU Remboursement maladie Assurance maladie PNDS Portail Numérique des Droits Sociaux Portail National des Droits Sociaux,https://www.mesdroitssociaux.gouv.fr/,,"initial-scale=1.0, width=device-width"
,28,5162543,True,115,Accueil,True,846,831473,,https://www.tipi.budget.gouv.fr/tpa/accueilportail.web,,"width=device-width, initial-scale=1.0"
