Thématique,Visites,Pages vues,Pages vues / visites,Temps passé / visites
-,821220,1697001,2.07,130.17
Jeunesse et Education,43134,102589,2.38,504.14
Etat et collectivites territoriales,40323,93952,2.33,496.48
Sante et Affaires sociales,25274,59048,2.34,344.95
Emploi et Travail,24637,58021,2.36,546.03
Economie,20543,46510,2.26,463.04
Societe et Politique de la ville,17946,40480,2.26,278.42
Securite et Justice,13769,36541,2.65,401.1
Agriculture et Developpement durable,9795,20801,2.12,587.16
Europe et Monde,901,5769,6.4,957.15
