Albums,Nombre d écoutes
Gospel Journey,184.0
Nuances,132.0
Gueule d ange (Bande originale du film),67.0
Beauty in the Dirt,62.0
Le grand bain (Musique originale du film),60.0
La nuit philharmonique,56.0
Handel: Messiah, HWV 56 (1754),50.0
The Knight in Shining Armour,48.0
Kites,48.0
FLIP,47.0
Our Hearts,47.0
Carré 35 (Bande originale du film),43.0
Le bureau des légendes - Saison 4 (Bande originale de la série),42.0
Lightshadow,41.0
Sonder,40.0
Legends Of The Buena Vista Social Club,39.0
Sol air,38.0
Vox Low,37.0
Noël russe,36.0
40 Succès,36.0
Amour chien fou,36.0
I Want Blood,36.0
A Matter of Time,35.0
Monteverdi: Vespro della Beata Vergine,33.0
Couperin: L art de toucher le clavecin,33.0
Shikantaza,32.0
Ruthless Day,31.0
Radyo siwèl,31.0
Cupid (The Very Best of Sam Cooke 1961-1962),30.0
Caldara: Maddalena ai piedi di Christo,29.0
Les plus belles musiques de films pour piano seul, Vol. 1,28.0
Bach: Sonate a cembalo obligato e traversiere solo,28.0
Alien Love,27.0
Oumou,26.0
Ghost Gamelan,26.0
Mirapolis,25.0
Strange Deal,25.0
Paris-Ziguinchor,25.0
Nili Hadida,24.0
Flamenco Music,23.0
Cachée,23.0
The Return of Bill Black s Combo,23.0
Comme un ours,23.0
Bach: Magnificat - Handel: Dixit Dominus,22.0
Buxtehude: Abendmusiken,22.0
The Best of Quantic,21.0
Vivaldi: Gloria & Magnificat,21.0
Amal,21.0
Son of England,21.0
Talking Timbuktu,20.0
Left Above the Clouds - Piano Classical Themes for Inflight Relaxation, Peace and Calm Music for Antistress Journey,20.0
Ballroom,20.0
TGIF Playlist Collection: Lazy Sunday,20.0
Magnésie,20.0
Backroad Carnival,20.0
Kings & Queens,20.0
Petit Biscuit,19.0
Chopin: Nocturnes,19.0
Monteverdi: Il sesto libro de madrigali, MDCXIV,18.0
Division,18.0
!,18.0
Les plus belles berceuses jazz,18.0
Les garçons sauvages (Bande originale du film),18.0
Self Fulfilling Prophecy,18.0
Heemor,18.0
Purcell: Songs & Dances,18.0
Run Away,17.0
In the Mood for Life,17.0
Kidal,17.0
Les 3 Mousquetaires,17.0
Tout nous sépare (Bande originale du film),17.0
De Klok,17.0
Mousorgski : Une nuit sur le mont chauve - tableaux d une exposition borodine : Dans les steppes d asie centrale,16.0
Tales of the Forgotten Melodies,16.0
Introducing,16.0
Buenos Dias Amor,16.0
Hope & Sorrow,15.0
Aïrés,15.0
Stravinsky: Le Sacre du Printemps,15.0
Free Rein,15.0
Purcell: King Arthur,15.0
La Note Bleue compilation, Vol.1 (Live),14.0
BD Music Presents Bye Bye Blackbird,14.0
A Ghost Story,14.0
Hegaldaka,14.0
Fields,14.0
Pianorama II: Nice Piano Music,14.0
Live in Paris, Vol. 2 - Georges Brassens,13.0
Tango,13.0
New King of Klezmer Clarinet,13.0
Pergolesi: Stabat Mater. Marian Music from Naples (Alpha Collection),13.0
Backyard Babies,13.0
In The Wild West,13.0
¿Dónde Estás María?,13.0
Rhythm of the Rain,13.0
Soul Voyage,13.0
Exotic Other,13.0
Radio Mali,12.0
Burn It Down (feat. Charles Walker),12.0
Doc Watson Greatest Hits,12.0
