Région,Portail,Type,Date,Nombre dannonces
FRANCE,LE FIGARO IMMO,VENTE,2018-04,404054.0
FRANCE,LE FIGARO IMMO,VENTE,2018-05,377572.0
FRANCE,LE FIGARO IMMO,VENTE,2018-06,383981.0
FRANCE,LE BON COIN,VENTE,2018-04,939645.0
FRANCE,LE BON COIN,VENTE,2018-05,931162.0
FRANCE,LE BON COIN,VENTE,2018-06,939498.0
FRANCE,LOGIC IMMO,VENTE,2018-04,654343.0
FRANCE,LOGIC IMMO,VENTE,2018-05,640208.0
FRANCE,LOGIC IMMO,VENTE,2018-06,640403.0
FRANCE,PARU VENDU,VENTE,2018-04,380894.0
FRANCE,PARU VENDU,VENTE,2018-05,377990.0
FRANCE,PARU VENDU,VENTE,2018-06,378391.0
FRANCE,SE LOGER,VENTE,2018-04,835090.0
FRANCE,SE LOGER,VENTE,2018-05,820351.0
FRANCE,SE LOGER,VENTE,2018-06,824731.0
FRANCE,BIEN ICI,VENTE,2018-04,427902.0
FRANCE,BIEN ICI,VENTE,2018-05,423693.0
FRANCE,BIEN ICI,VENTE,2018-06,421241.0
FRANCE,A VENDRE A LOUER,VENTE,2018-04,705865.0
FRANCE,A VENDRE A LOUER,VENTE,2018-05,709050.0
FRANCE,A VENDRE A LOUER,VENTE,2018-06,726171.0
FRANCE,BELLES DEMEURES,VENTE,2018-04,34765.0
FRANCE,BELLES DEMEURES,VENTE,2018-05,35323.0
FRANCE,BELLES DEMEURES,VENTE,2018-06,36354.0
FRANCE,PROPRIETES LE FIGARO,VENTE,2018-04,32924.0
FRANCE,PROPRIETES LE FIGARO,VENTE,2018-05,33672.0
FRANCE,PROPRIETES LE FIGARO,VENTE,2018-06,34490.0
FRANCE,LUX RESIDENCE,VENTE,2018-04,30659.0
FRANCE,LUX RESIDENCE,VENTE,2018-05,30636.0
FRANCE,LUX RESIDENCE,VENTE,2018-06,30936.0
ILE DE FRANCE,LE FIGARO IMMO,VENTE,2018-04,61856.0
ILE DE FRANCE,LE FIGARO IMMO,VENTE,2018-05,55427.0
ILE DE FRANCE,LE FIGARO IMMO,VENTE,2018-06,57258.0
ILE DE FRANCE,LE BON COIN,VENTE,2018-04,93702.0
ILE DE FRANCE,LE BON COIN,VENTE,2018-05,93577.0
ILE DE FRANCE,LE BON COIN,VENTE,2018-06,94459.0
ILE DE FRANCE,LOGIC IMMO,VENTE,2018-04,94276.0
ILE DE FRANCE,LOGIC IMMO,VENTE,2018-05,92122.0
ILE DE FRANCE,LOGIC IMMO,VENTE,2018-06,93547.0
ILE DE FRANCE,PARU VENDU,VENTE,2018-04,43093.0
ILE DE FRANCE,PARU VENDU,VENTE,2018-05,42012.0
ILE DE FRANCE,PARU VENDU,VENTE,2018-06,41594.0
ILE DE FRANCE,SE LOGER,VENTE,2018-04,143498.0
ILE DE FRANCE,SE LOGER,VENTE,2018-05,140845.0
ILE DE FRANCE,SE LOGER,VENTE,2018-06,142267.0
ILE DE FRANCE,BIEN ICI,VENTE,2018-04,56447.0
ILE DE FRANCE,BIEN ICI,VENTE,2018-05,56240.0
ILE DE FRANCE,BIEN ICI,VENTE,2018-06,56438.0
ILE DE FRANCE,A VENDRE A LOUER,VENTE,2018-04,71138.0
ILE DE FRANCE,A VENDRE A LOUER,VENTE,2018-05,70970.0
ILE DE FRANCE,A VENDRE A LOUER,VENTE,2018-06,72382.0
ILE DE FRANCE,BELLES DEMEURES,VENTE,2018-04,8866.0
ILE DE FRANCE,BELLES DEMEURES,VENTE,2018-05,9116.0
ILE DE FRANCE,BELLES DEMEURES,VENTE,2018-06,9470.0
ILE DE FRANCE,PROPRIETES LE FIGARO,VENTE,2018-04,6934.0
ILE DE FRANCE,PROPRIETES LE FIGARO,VENTE,2018-05,7211.0
ILE DE FRANCE,PROPRIETES LE FIGARO,VENTE,2018-06,7558.0
ILE DE FRANCE,LUX RESIDENCE,VENTE,2018-04,3517.0
ILE DE FRANCE,LUX RESIDENCE,VENTE,2018-05,3634.0
ILE DE FRANCE,LUX RESIDENCE,VENTE,2018-06,3806.0
AUVERGNE RHÔNE ALPES,LE FIGARO IMMO,VENTE,2018-04,28728.0
AUVERGNE RHÔNE ALPES,LE FIGARO IMMO,VENTE,2018-05,27947.0
AUVERGNE RHÔNE ALPES,LE FIGARO IMMO,VENTE,2018-06,28098.0
AUVERGNE RHÔNE ALPES,LE BON COIN,VENTE,2018-04,100348.0
AUVERGNE RHÔNE ALPES,LE BON COIN,VENTE,2018-05,99818.0
AUVERGNE RHÔNE ALPES,LE BON COIN,VENTE,2018-06,100933.0
AUVERGNE RHÔNE ALPES,LOGIC IMMO,VENTE,2018-04,71282.0
AUVERGNE RHÔNE ALPES,LOGIC IMMO,VENTE,2018-05,70732.0
AUVERGNE RHÔNE ALPES,LOGIC IMMO,VENTE,2018-06,71351.0
AUVERGNE RHÔNE ALPES,PARU VENDU,VENTE,2018-04,46316.0
AUVERGNE RHÔNE ALPES,PARU VENDU,VENTE,2018-05,46036.0
AUVERGNE RHÔNE ALPES,PARU VENDU,VENTE,2018-06,46119.0
AUVERGNE RHÔNE ALPES,SE LOGER,VENTE,2018-04,88102.0
AUVERGNE RHÔNE ALPES,SE LOGER,VENTE,2018-05,87153.0
AUVERGNE RHÔNE ALPES,SE LOGER,VENTE,2018-06,88166.0
AUVERGNE RHÔNE ALPES,BIEN ICI,VENTE,2018-04,40936.0
AUVERGNE RHÔNE ALPES,BIEN ICI,VENTE,2018-05,40160.0
AUVERGNE RHÔNE ALPES,BIEN ICI,VENTE,2018-06,39825.0
AUVERGNE RHÔNE ALPES,A VENDRE A LOUER,VENTE,2018-04,66088.0
AUVERGNE RHÔNE ALPES,A VENDRE A LOUER,VENTE,2018-05,67028.0
AUVERGNE RHÔNE ALPES,A VENDRE A LOUER,VENTE,2018-06,69070.0
AUVERGNE RHÔNE ALPES,BELLES DEMEURES,VENTE,2018-04,3159.0
AUVERGNE RHÔNE ALPES,BELLES DEMEURES,VENTE,2018-05,3128.0
AUVERGNE RHÔNE ALPES,BELLES DEMEURES,VENTE,2018-06,3201.0
AUVERGNE RHÔNE ALPES,PROPRIETES LE FIGARO,VENTE,2018-04,3083.0
AUVERGNE RHÔNE ALPES,PROPRIETES LE FIGARO,VENTE,2018-05,3097.0
AUVERGNE RHÔNE ALPES,PROPRIETES LE FIGARO,VENTE,2018-06,3196.0
AUVERGNE RHÔNE ALPES,LUX RESIDENCE,VENTE,2018-04,2698.0
AUVERGNE RHÔNE ALPES,LUX RESIDENCE,VENTE,2018-05,2681.0
AUVERGNE RHÔNE ALPES,LUX RESIDENCE,VENTE,2018-06,2742.0
BOURGOGNE FRANCHE COMTE,LE FIGARO IMMO,VENTE,2018-04,12928.0
BOURGOGNE FRANCHE COMTE,LE FIGARO IMMO,VENTE,2018-05,12744.0
BOURGOGNE FRANCHE COMTE,LE FIGARO IMMO,VENTE,2018-06,13020.0
BOURGOGNE FRANCHE COMTE,LE BON COIN,VENTE,2018-04,38495.0
BOURGOGNE FRANCHE COMTE,LE BON COIN,VENTE,2018-05,38513.0
BOURGOGNE FRANCHE COMTE,LE BON COIN,VENTE,2018-06,38921.0
BOURGOGNE FRANCHE COMTE,LOGIC IMMO,VENTE,2018-04,17907.0
BOURGOGNE FRANCHE COMTE,LOGIC IMMO,VENTE,2018-05,17635.0
BOURGOGNE FRANCHE COMTE,LOGIC IMMO,VENTE,2018-06,17576.0
BOURGOGNE FRANCHE COMTE,PARU VENDU,VENTE,2018-04,18452.0
BOURGOGNE FRANCHE COMTE,PARU VENDU,VENTE,2018-05,18674.0
BOURGOGNE FRANCHE COMTE,PARU VENDU,VENTE,2018-06,19025.0
BOURGOGNE FRANCHE COMTE,SE LOGER,VENTE,2018-04,27743.0
BOURGOGNE FRANCHE COMTE,SE LOGER,VENTE,2018-05,27591.0
BOURGOGNE FRANCHE COMTE,SE LOGER,VENTE,2018-06,27798.0
BOURGOGNE FRANCHE COMTE,BIEN ICI,VENTE,2018-04,17534.0
BOURGOGNE FRANCHE COMTE,BIEN ICI,VENTE,2018-05,17595.0
BOURGOGNE FRANCHE COMTE,BIEN ICI,VENTE,2018-06,17514.0
BOURGOGNE FRANCHE COMTE,A VENDRE A LOUER,VENTE,2018-04,33060.0
BOURGOGNE FRANCHE COMTE,A VENDRE A LOUER,VENTE,2018-05,33457.0
BOURGOGNE FRANCHE COMTE,A VENDRE A LOUER,VENTE,2018-06,34096.0
BOURGOGNE FRANCHE COMTE,BELLES DEMEURES,VENTE,2018-04,271.0
BOURGOGNE FRANCHE COMTE,BELLES DEMEURES,VENTE,2018-05,265.0
BOURGOGNE FRANCHE COMTE,BELLES DEMEURES,VENTE,2018-06,261.0
BOURGOGNE FRANCHE COMTE,PROPRIETES LE FIGARO,VENTE,2018-04,868.0
BOURGOGNE FRANCHE COMTE,PROPRIETES LE FIGARO,VENTE,2018-05,869.0
BOURGOGNE FRANCHE COMTE,PROPRIETES LE FIGARO,VENTE,2018-06,874.0
BOURGOGNE FRANCHE COMTE,LUX RESIDENCE,VENTE,2018-04,119.0
BOURGOGNE FRANCHE COMTE,LUX RESIDENCE,VENTE,2018-05,115.0
BOURGOGNE FRANCHE COMTE,LUX RESIDENCE,VENTE,2018-06,115.0
BRETAGNE,LE FIGARO IMMO,VENTE,2018-04,22025.0
BRETAGNE,LE FIGARO IMMO,VENTE,2018-05,20777.0
BRETAGNE,LE FIGARO IMMO,VENTE,2018-06,21591.0
BRETAGNE,LE BON COIN,VENTE,2018-04,61867.0
BRETAGNE,LE BON COIN,VENTE,2018-05,60653.0
BRETAGNE,LE BON COIN,VENTE,2018-06,60994.0
BRETAGNE,LOGIC IMMO,VENTE,2018-04,33695.0
BRETAGNE,LOGIC IMMO,VENTE,2018-05,32387.0
BRETAGNE,LOGIC IMMO,VENTE,2018-06,31467.0
BRETAGNE,PARU VENDU,VENTE,2018-04,21103.0
BRETAGNE,PARU VENDU,VENTE,2018-05,20774.0
BRETAGNE,PARU VENDU,VENTE,2018-06,20101.0
BRETAGNE,SE LOGER,VENTE,2018-04,37976.0
BRETAGNE,SE LOGER,VENTE,2018-05,37372.0
BRETAGNE,SE LOGER,VENTE,2018-06,38113.0
BRETAGNE,BIEN ICI,VENTE,2018-04,22227.0
BRETAGNE,BIEN ICI,VENTE,2018-05,21400.0
BRETAGNE,BIEN ICI,VENTE,2018-06,20858.0
BRETAGNE,A VENDRE A LOUER,VENTE,2018-04,43240.0
BRETAGNE,A VENDRE A LOUER,VENTE,2018-05,42703.0
BRETAGNE,A VENDRE A LOUER,VENTE,2018-06,43890.0
BRETAGNE,BELLES DEMEURES,VENTE,2018-04,902.0
BRETAGNE,BELLES DEMEURES,VENTE,2018-05,908.0
BRETAGNE,BELLES DEMEURES,VENTE,2018-06,895.0
BRETAGNE,PROPRIETES LE FIGARO,VENTE,2018-04,1282.0
BRETAGNE,PROPRIETES LE FIGARO,VENTE,2018-05,1274.0
BRETAGNE,PROPRIETES LE FIGARO,VENTE,2018-06,1288.0
BRETAGNE,LUX RESIDENCE,VENTE,2018-04,408.0
BRETAGNE,LUX RESIDENCE,VENTE,2018-05,385.0
BRETAGNE,LUX RESIDENCE,VENTE,2018-06,375.0
CENTRE VAL DE LOIRE,LE FIGARO IMMO,VENTE,2018-04,32957.0
CENTRE VAL DE LOIRE,LE FIGARO IMMO,VENTE,2018-05,29459.0
CENTRE VAL DE LOIRE,LE FIGARO IMMO,VENTE,2018-06,29742.0
CENTRE VAL DE LOIRE,LE BON COIN,VENTE,2018-04,45983.0
CENTRE VAL DE LOIRE,LE BON COIN,VENTE,2018-05,45817.0
CENTRE VAL DE LOIRE,LE BON COIN,VENTE,2018-06,46523.0
CENTRE VAL DE LOIRE,LOGIC IMMO,VENTE,2018-04,29139.0
CENTRE VAL DE LOIRE,LOGIC IMMO,VENTE,2018-05,28806.0
CENTRE VAL DE LOIRE,LOGIC IMMO,VENTE,2018-06,29039.0
