Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,348977,75175.0,1500,143.0,158879,20535.0,239300,54921.0
2002-11-01,327450,56237.0,1375,95.0,133940,15244.0,197628,40650.0
2002-12-01,323427,55904.0,1404,94.0,160942,16236.0,241108,42896.0
2003-01-01,326567,57787.0,1384,96.0,127975,13528.0,190911,36833.0
2003-02-01,276674,51205.0,1178,84.0,132958,13314.0,197936,34386.0
2003-03-01,325011,59419.0,1371,100.0,147227,15288.0,219729,39323.0
2003-04-01,315673,58436.0,1324,90.0,149094,14227.0,223055,39420.0
2003-05-01,302893,52249.0,1255,90.0,140062,14882.0,211572,41375.0
2003-06-01,312306,73014.0,1263,120.0,151221,21915.0,235796,65112.0
2003-07-01,329275,87075.0,1306,161.0,163896,23224.0,262522,61303.0
2003-08-01,327060,88151.0,1316,166.0,163779,25029.0,262926,67112.0
2003-09-01,309192,76249.0,1242,125.0,123023,17861.0,190768,52682.0
2003-10-01,328178,78220.0,1288,138.0,153833,19257.0,237822,54905.0
2003-11-01,325583,63378.0,1313,118.0,141159,17709.0,217324,46140.0
2003-12-01,327018,66339.0,1303,120.0,157455,21656.0,247659,52312.0
2004-01-01,327534,67736.0,1356,128.0,133279,15986.0,207924,41459.0
2004-02-01,325819,65874.0,1381,123.0,151067,17142.0,229655,42828.0
2004-03-01,391444,69407.0,1558,127.0,175978,20181.0,284189,53007.0
2004-04-01,392015,63855.0,1551,114.0,181431,18673.0,289645,48152.0
2004-05-01,360257,90722.0,1468,143.0,157558,24244.0,254796,70758.0
2004-06-01,359107,95196.0,1424,145.0,165347,28020.0,275996,83808.0
2004-07-01,373829,103780.0,1477,163.0,174268,28261.0,293114,79789.0
2004-08-01,379712,107295.0,1498,173.0,178308,29454.0,301487,84788.0
2004-09-01,311807,91229.0,1263,137.0,134903,24015.0,225835,74090.0
2004-10-01,331185,94648.0,1375,147.0,167429,25313.0,269456,75752.0
2004-11-01,332377,57144.0,1398,94.0,154032,16432.0,240427,45369.0
2004-12-01,352633,61270.0,1458,107.0,166540,17692.0,257903,47002.0
2005-01-01,292867,62776.0,1182,116.0,132694,16972.0,207043,42999.0
2005-02-01,280639,62380.0,1171,117.0,140795,18391.0,214557,43290.0
2005-03-01,308126,69070.0,1282,129.0,162436,21883.0,248005,52478.0
2005-04-01,322402,61427.0,1304,109.0,162039,19097.0,247765,50190.0
2005-05-01,321526,116297.0,1282,186.0,152982,31199.0,237875,94929.0
2005-06-01,302875,112246.0,1209,179.0,159783,32098.0,249311,98303.0
2005-07-01,311530,116270.0,1237,185.0,172311,31318.0,273232,94121.0
2005-08-01,306810,115145.0,1216,181.0,167339,31518.0,264859,95767.0
2005-09-01,287390,109040.0,1124,167.0,136538,29409.0,218051,90557.0
2005-10-01,289454,114532.0,1127,181.0,155628,29734.0,250271,88525.0
2005-11-01,280336,83326.0,1120,133.0,144760,23579.0,233010,67313.0
2005-12-01,268398,88202.0,1065,145.0,136806,24187.0,218539,67775.0
2006-01-01,261047,80332.0,1042,139.0,121530,19701.0,193530,52131.0
2006-02-01,234241,68308.0,930,121.0,119826,18202.0,189045,45502.0
2006-03-01,275218,84720.0,1104,151.0,144253,24457.0,226101,62358.0
2006-04-01,272745,89832.0,1123,148.0,149834,24893.0,230002,69700.0
2006-05-01,276369,117064.0,1146,178.0,148848,28942.0,228415,88100.0
2006-06-01,270098,111526.0,1120,172.0,154231,32980.0,237535,99613.0
2006-07-01,276431,114446.0,1136,176.0,162568,30594.0,253011,90649.0
2006-08-01,277327,111659.0,1148,171.0,156096,29773.0,242017,88537.0
2006-09-01,253233,106592.0,1047,157.0,124864,26348.0,193893,82154.0
2006-10-01,260730,112431.0,1076,174.0,146100,25530.0,225236,75712.0
2006-11-01,246832,70233.0,1014,109.0,133347,18814.0,204698,52866.0
2006-12-01,257517,66549.0,1022,107.0,130596,17957.0,205143,48848.0
2007-01-01,258360,63301.0,1014,106.0,113475,16323.0,177255,42531.0
2007-02-01,227966,56404.0,878,95.0,113817,15716.0,179127,39806.0
2007-03-01,256261,62191.0,999,106.0,133138,19303.0,208229,48887.0
2007-04-01,259241,72241.0,1046,122.0,138028,20837.0,213174,55307.0
2007-05-01,269894,94995.0,1111,136.0,145621,24446.0,223134,74515.0
2007-06-01,267078,93365.0,1090,138.0,156012,27305.0,243397,80704.0
2007-07-01,283341,98805.0,1145,146.0,164982,24306.0,260794,68581.0
2007-08-01,285748,98180.0,1155,145.0,165681,26595.0,260222,76485.0
2007-09-01,260380,91810.0,1058,128.0,134057,23976.0,206894,74144.0
2007-10-01,272030,96771.0,1102,146.0,156355,26025.0,240666,75063.0
2007-11-01,261917,57471.0,1042,90.0,140745,17112.0,218271,45592.0
2007-12-01,252227,59480.0,973,98.0,130932,17381.0,206123,46446.0
2008-01-01,256265,55092.0,985,90.0,117625,14680.0,185170,38876.0
2008-02-01,236908,55651.0,901,94.0,119596,14429.0,186905,37914.0
2008-03-01,257139,53706.0,992,91.0,131161,16579.0,206323,42704.0
2008-04-01,267485,58212.0,1046,95.0,138232,16925.0,217058,44049.0
2008-05-01,283353,73753.0,1134,96.0,147221,17763.0,229983,55521.0
2008-06-01,276932,71903.0,1113,93.0,154578,18405.0,242006,57964.0
2008-07-01,288956,75286.0,1160,98.0,162371,16309.0,254606,50206.0
2008-08-01,288063,75244.0,1160,98.0,159213,18228.0,251106,56963.0
2008-09-01,243502,71352.0,990,93.0,123240,16615.0,188577,50583.0
2008-10-01,247723,76929.0,1011,109.0,140294,17542.0,211754,51292.0
2008-11-01,221734,49996.0,881,76.0,113072,12857.0,171414,36082.0
2008-12-01,220420,51929.0,874,80.0,120285,14067.0,183946,38510.0
2009-01-01,220413,51993.0,870,89.0,99503,13253.0,153914,34541.0
2009-02-01,209407,44833.0,831,77.0,107435,10854.0,162253,27360.0
2009-03-01,235201,50526.0,918,88.0,122036,12927.0,186454,33458.0
2009-04-01,264397,53450.0,991,89.0,138444,13904.0,219689,38355.0
2009-05-01,279768,86369.0,1038,119.0,145459,17820.0,233105,55234.0
2009-06-01,267379,90435.0,1023,124.0,147757,21685.0,232345,67742.0
2009-07-01,276023,80154.0,1062,114.0,164163,18198.0,256107,55022.0
2009-08-01,278421,75160.0,1071,110.0,161586,19118.0,252122,58728.0
2009-09-01,264551,60375.0,1010,89.0,130537,15445.0,206702,46843.0
2009-10-01,275680,62300.0,1055,98.0,155146,16766.0,241578,47818.0
2009-11-01,250186,47709.0,963,77.0,128061,12311.0,197168,33215.0
2009-12-01,238215,49213.0,923,84.0,129776,14652.0,199951,38002.0
2010-01-01,234695,53121.0,913,89.0,106373,13922.0,163448,36827.0
2010-02-01,207952,46558.0,824,81.0,107469,12168.0,162700,29981.0
2010-03-01,234628,56183.0,937,96.0,126480,14537.0,191401,37162.0
2010-04-01,229214,54860.0,900,99.0,130922,15488.0,197340,42243.0
2010-05-01,225638,72685.0,892,116.0,128388,18618.0,194449,58583.0
2010-06-01,215079,77096.0,873,124.0,128063,22080.0,191928,70137.0
2010-07-01,224932,78939.0,949,126.0,140526,17842.0,207023,56254.0
2010-08-01,233082,80680.0,948,129.0,141787,19219.0,210511,61765.0
2010-09-01,229271,75925.0,881,122.0,118643,19988.0,179091,63605.0
2010-10-01,237277,73799.0,901,118.0,139554,16950.0,210367,53717.0
2010-11-01,211510,38292.0,827,59.0,115402,9706.0,169325,28872.0
2010-12-01,193172,33976.0,781,54.0,110521,8779.0,158827,24120.0
2011-01-01,186805,38133.0,754,61.0,92332,8197.0,135287,22335.0
2011-02-01,172887,35478.0,693,57.0,93253,7056.0,134840,19131.0
2011-03-01,203341,42338.0,824,69.0,110659,7976.0,159070,22625.0
2011-04-01,194963,51923.0,805,86.0,112833,10384.0,158641,32545.0
2011-05-01,186924,74313.0,774,124.0,114452,15826.0,160812,50577.0
2011-06-01,184352,70933.0,786,118.0,114594,18733.0,159621,61130.0
2011-07-01,189413,72700.0,816,121.0,124963,14285.0,174126,46619.0
2011-08-01,186361,70917.0,797,118.0,124128,17561.0,172452,56315.0
2011-09-01,188445,71462.0,790,119.0,108379,17373.0,151875,53258.0
2011-10-01,193705,59795.0,808,100.0,122953,13248.0,173035,38594.0
2011-11-01,183654,31488.0,794,53.0,112994,6994.0,152787,19469.0
2011-12-01,182550,29101.0,820,49.0,114452,7424.0,148404,22388.0
2012-01-01,188691,29117.0,833,49.0,99659,5924.0,131771,17935.0
2012-02-01,176551,29712.0,790,50.0,104453,4652.0,136463,13475.0
2012-03-01,189901,33871.0,860,57.0,122047,6325.0,158179,18519.0
2012-04-01,188641,35056.0,881,59.0,128182,7479.0,163137,23387.0
2012-05-01,199178,54663.0,923,92.0,136369,10650.0,174193,33473.0
2012-06-01,190142,64035.0,888,107.0,133098,17257.0,168985,56295.0
2012-07-01,206618,74499.0,933,124.0,142232,14935.0,189300,49111.0
2012-08-01,203492,74339.0,928,124.0,141653,18228.0,186938,59905.0
2012-09-01,186642,70303.0,866,119.0,115482,16581.0,147356,54160.0
2012-10-01,181717,62031.0,835,106.0,127174,12904.0,165961,41151.0
2012-11-01,178067,17259.0,846,30.0,121992,5423.0,155333,15496.0
2012-12-01,177127,18566.0,862,32.0,121036,5156.0,153034,16080.0
2013-01-01,164236,17090.0,842,31.0,105369,3967.0,131647,11483.0
2013-02-01,146270,14359.0,737,25.0,101103,3306.0,126413,9351.0
2013-03-01,179321,16090.0,884,28.0,117898,4088.0,150110,12270.0
2013-04-01,189700,731.0,945,1.0,127634,476.0,160319,693.0
2013-05-01,196103,774.0,988,1.0,135275,432.0,168615,697.0
2013-06-01,205650,11406.0,998,19.0,140847,3646.0,178938,10892.0
2013-07-01,219232,18604.0,1050,31.0,151590,3874.0,198620,10647.0
2013-08-01,217888,18766.0,1053,31.0,148209,5364.0,192287,15709.0
2013-09-01,190235,18782.0,958,31.0,120094,5293.0,151523,17350.0
2013-10-01,199216,14931.0,1001,25.0,140364,3883.0,176525,10647.0
2013-11-01,180879,,913,,118474,745.0,147741,
2013-12-01,170590,,871,,122428,963.0,153706,
2014-01-01,153830,549.0,806,1.0,100460,677.0,125778,457.0
2014-02-01,134390,,712,,94614,690.0,115709,
2014-03-01,175715,,909,,117509,699.0,148006,
2014-04-01,181503,,933,,126944,691.0,160901,
2014-05-01,197545,755.0,989,1.0,136807,493.0,173888,652.0
2014-06-01,193253,12003.0,986,20.0,134385,3969.0,169921,11344.0
2014-07-01,197940,18811.0,1022,31.0,142995,3753.0,182622,10495.0
2014-08-01,197814,11051.0,1015,18.0,140028,2756.0,179467,6829.0
2014-09-01,187925,,964,,123111,470.0,157977,
2014-10-01,194194,,1001,,133760,660.0,171161,
2014-11-01,180308,,920,,119508,499.0,149571,
