Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,70678,70875.0,557,411.0,43750,31709.0,42771,42352.0
2002-11-01,65981,82074.0,520,477.0,45003,37642.0,45066,53272.0
2002-12-01,75218,85063.0,572,494.0,55858,43448.0,57171,60919.0
2003-01-01,69066,81431.0,538,467.0,45646,40333.0,47137,55587.0
2003-02-01,67369,75983.0,503,441.0,43449,40254.0,46170,55940.0
2003-03-01,76584,84479.0,566,493.0,49212,44394.0,52269,61246.0
2003-04-01,76493,80694.0,562,472.0,50859,41737.0,53026,56556.0
2003-05-01,83765,74806.0,620,448.0,53907,43174.0,55017,56037.0
2003-06-01,94137,67743.0,693,423.0,59365,39921.0,61431,50635.0
2003-07-01,102181,74381.0,749,466.0,70475,49141.0,71336,59321.0
2003-08-01,101704,76333.0,746,477.0,75991,54888.0,76588,65920.0
2003-09-01,85471,69078.0,658,416.0,47760,31059.0,44595,40030.0
2003-10-01,82309,74108.0,653,438.0,48657,36982.0,44957,49864.0
2003-11-01,76113,84523.0,638,474.0,58150,42435.0,52964,57452.0
2003-12-01,83484,89028.0,684,500.0,64861,50437.0,60159,68045.0
2004-01-01,71533,87383.0,606,490.0,53526,44059.0,49560,59610.0
2004-02-01,74324,81701.0,619,461.0,54982,41867.0,51953,57356.0
2004-03-01,86454,87985.0,692,500.0,65326,46642.0,61658,60460.0
2004-04-01,81989,83373.0,669,477.0,63011,49309.0,58245,64328.0
2004-05-01,84602,78891.0,712,468.0,64815,46244.0,60819,60874.0
2004-06-01,94354,71803.0,702,432.0,71829,46510.0,73867,59197.0
2004-07-01,101973,73849.0,741,447.0,78430,50303.0,82158,61872.0
2004-08-01,101410,73836.0,737,446.0,77686,51170.0,80965,62299.0
2004-09-01,89716,64989.0,694,406.0,61121,36773.0,58256,44746.0
2004-10-01,87773,65368.0,706,414.0,62510,40745.0,58714,50145.0
2004-11-01,89478,85379.0,707,477.0,69333,45954.0,65964,60706.0
2004-12-01,94474,89261.0,731,495.0,77929,52613.0,75155,69371.0
2005-01-01,87452,89585.0,685,497.0,69731,49277.0,66610,65711.0
2005-02-01,78410,78984.0,622,443.0,63165,43000.0,60304,57697.0
2005-03-01,87287,86928.0,648,493.0,69338,51539.0,72022,66815.0
2005-04-01,83140,84584.0,609,480.0,65137,46676.0,67964,61025.0
2005-05-01,87897,74846.0,620,436.0,67384,45000.0,72828,56549.0
2005-06-01,93106,69356.0,607,398.0,70712,43515.0,77640,55133.0
2005-07-01,91982,71438.0,617,409.0,75908,47307.0,79688,58291.0
2005-08-01,96138,78546.0,647,443.0,78531,52046.0,81668,65107.0
2005-09-01,84522,68052.0,601,396.0,59413,39005.0,59519,47371.0
2005-10-01,83597,66838.0,599,397.0,56050,41780.0,56472,50826.0
2005-11-01,82729,84243.0,587,480.0,62061,52499.0,63787,65530.0
2005-12-01,87991,91355.0,615,512.0,64164,58946.0,67344,75414.0
2006-01-01,85720,94495.0,609,524.0,57401,55711.0,62687,72767.0
