Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,145504,15025.0,8103,366.0,287356,11510.0,104699,10219.0
2002-11-01,139679,17057.0,7750,404.0,275335,11267.0,101315,10152.0
2002-12-01,142375,18002.0,7835,424.0,281789,11858.0,105728,10898.0
2003-01-01,153616,18111.0,8153,428.0,258995,12349.0,98106,11190.0
2003-02-01,143016,16387.0,7321,384.0,256793,10926.0,97768,9969.0
2003-03-01,162982,18026.0,8281,427.0,305991,12544.0,117212,11419.0
2003-04-01,148271,14371.0,7640,336.0,272881,8115.0,103251,7690.0
2003-05-01,147508,14404.0,7493,337.0,280881,8692.0,105465,8247.0
2003-06-01,135688,12623.0,7042,300.0,276627,8463.0,100910,7927.0
2003-07-01,137537,12747.0,7130,305.0,280953,9841.0,103255,9174.0
2003-08-01,138595,15234.0,7327,364.0,272747,11679.0,99317,11053.0
2003-09-01,137320,14904.0,7355,355.0,250671,10126.0,89598,9611.0
2003-10-01,144605,14957.0,7685,368.0,289494,11452.0,104449,10686.0
2003-11-01,137482,13647.0,7267,343.0,267425,5315.0,97699,8986.0
2003-12-01,139998,13440.0,7328,337.0,264218,10244.0,98789,9609.0
2004-01-01,127569,12331.0,6857,310.0,225017,8371.0,81223,7680.0
2004-02-01,115739,11546.0,6235,289.0,219390,8214.0,77818,7476.0
2004-03-01,122270,12080.0,6719,309.0,248624,9274.0,86361,8417.0
2004-04-01,121009,11719.0,6616,299.0,252533,8664.0,87943,7868.0
2004-05-01,125899,11587.0,6878,297.0,260669,8489.0,90430,7751.0
2004-06-01,125575,9127.0,6772,238.0,275440,7433.0,97263,6675.0
2004-07-01,139792,9489.0,7344,244.0,299203,8449.0,107924,7593.0
2004-08-01,147409,9721.0,7556,247.0,291834,8157.0,107365,7475.0
2004-09-01,141217,8543.0,7030,190.0,253301,5047.0,95234,5135.0
2004-10-01,156136,11693.0,7667,269.0,316112,8018.0,118584,7747.0
2004-11-01,175136,17645.0,8171,421.0,332025,13334.0,131237,12272.0
2004-12-01,189297,18097.0,8646,431.0,337423,14123.0,137651,12894.0
2005-01-01,187195,17606.0,8329,423.0,311817,13276.0,128941,12011.0
2005-02-01,183970,13290.0,8183,325.0,309360,11535.0,134927,10248.0
2005-03-01,212108,14843.0,9313,363.0,368832,13497.0,162608,11858.0
2005-04-01,212800,14135.0,9395,351.0,368437,13210.0,160170,11629.0
2005-05-01,225930,14903.0,10132,360.0,389176,13278.0,168575,11803.0
2005-06-01,212775,17108.0,9522,412.0,377292,15677.0,164005,13832.0
2005-07-01,205485,16574.0,9247,386.0,359637,15021.0,156433,13508.0
