Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,420087,31036.0,23590,790.0,757030,24984.0,287064,20932.0
2002-11-01,408854,34993.0,22812,863.0,726365,23545.0,278205,20060.0
2002-12-01,409010,36899.0,22838,903.0,756097,25497.0,290716,22113.0
2003-01-01,434176,37036.0,23638,911.0,670125,24695.0,260708,21666.0
2003-02-01,389053,33574.0,20443,816.0,637314,22637.0,251826,19923.0
2003-03-01,443256,36970.0,23113,909.0,759399,24786.0,302910,21630.0
2003-04-01,467183,29810.0,23532,729.0,748709,16815.0,311067,15165.0
2003-05-01,476266,29900.0,22944,735.0,791385,18009.0,332134,16192.0
2003-06-01,466182,26312.0,21947,659.0,793112,18140.0,335280,16042.0
2003-07-01,473909,26537.0,21586,668.0,798586,21138.0,344664,18480.0
2003-08-01,474393,31390.0,21154,783.0,738275,24388.0,321535,21651.0
2003-09-01,484391,30818.0,21421,767.0,691199,21689.0,298079,19233.0
2003-10-01,517256,30932.0,22812,795.0,801708,23933.0,346033,21124.0
2003-11-01,499369,27532.0,21853,704.0,752563,10434.0,329207,17292.0
2003-12-01,517142,26935.0,22497,676.0,777074,19235.0,346475,17995.0
2004-01-01,508506,24708.0,22293,623.0,676969,17513.0,294599,16128.0
2004-02-01,482183,23031.0,20877,577.0,685947,16627.0,299888,15172.0
2004-03-01,531704,24226.0,23033,620.0,812992,17748.0,359991,16086.0
2004-04-01,522202,23437.0,22459,598.0,800261,17249.0,357385,15684.0
2004-05-01,548116,23214.0,23382,595.0,851494,16643.0,380741,15195.0
2004-06-01,539522,18120.0,22878,473.0,900833,14783.0,408932,13323.0
2004-07-01,574791,18980.0,24267,490.0,962619,16754.0,439857,15141.0
2004-08-01,590331,19423.0,24732,495.0,904362,16222.0,411942,14730.0
2004-09-01,563169,17067.0,23247,380.0,803531,10106.0,368491,10237.0
2004-10-01,606705,23336.0,24872,536.0,961515,15770.0,438407,15260.0
2004-11-01,567697,36404.0,24219,898.0,928740,28048.0,407243,24700.0
2004-12-01,574520,37276.0,24735,917.0,914353,29349.0,400709,25642.0
2005-01-01,547499,36236.0,24020,899.0,819400,28883.0,353643,25123.0
2005-02-01,572817,27936.0,22212,703.0,831126,24842.0,400255,21349.0
2005-03-01,653926,31379.0,25579,787.0,1014078,28576.0,492683,24418.0
2005-04-01,644232,29830.0,25310,759.0,974266,28407.0,464396,24223.0
2005-05-01,676531,31374.0,26925,778.0,1034921,28012.0,492877,24103.0
2005-06-01,653798,38102.0,25977,873.0,1042800,32245.0,500559,28830.0
2005-07-01,671643,37672.0,26500,832.0,1054850,32532.0,515103,29791.0
2005-08-01,682655,37523.0,26582,823.0,1015692,30290.0,505074,27845.0
2005-09-01,654439,35432.0,25366,788.0,954477,27661.0,469924,25201.0
2005-10-01,671789,37040.0,26187,817.0,999613,29839.0,489411,27433.0
2005-11-01,650416,37004.0,25149,807.0,987239,29387.0,486302,26804.0
2005-12-01,627401,35924.0,23407,847.0,946514,30256.0,482230,25707.0
2006-01-01,616846,35087.0,23082,835.0,897298,31106.0,456492,26440.0
2006-02-01,579347,30535.0,21393,722.0,882737,28560.0,451120,23955.0
2006-03-01,667240,36685.0,24280,847.0,1064279,33332.0,552786,29092.0
2006-04-01,629151,38154.0,23318,844.0,968338,32475.0,486550,29055.0
2006-05-01,653912,38525.0,23968,889.0,1021693,33929.0,521411,29837.0
2006-06-01,643813,45031.0,23377,915.0,1028756,38314.0,536470,36338.0
2006-07-01,678515,45963.0,24852,952.0,1073516,39099.0,559779,36923.0
2006-08-01,693455,48143.0,25406,984.0,984799,36648.0,515275,35015.0
2006-09-01,609825,57576.0,22199,1114.0,813003,39132.0,426277,38143.0
2006-10-01,625712,63817.0,23244,1212.0,907861,45821.0,467979,43826.0
2006-11-01,588606,66451.0,22398,1224.0,874069,47237.0,441282,45328.0
2006-12-01,582391,73131.0,21738,1341.0,839483,52557.0,434402,49196.0
2007-01-01,574664,75615.0,21891,1480.0,779838,55352.0,395060,51702.0
2007-02-01,539106,70863.0,20338,1383.0,770610,52932.0,392696,49769.0
2007-03-01,605989,79327.0,22676,1499.0,964151,64816.0,493328,60566.0
2007-04-01,604169,80342.0,22876,1514.0,947625,61053.0,473079,56688.0
2007-05-01,605122,75774.0,23408,1393.0,973497,57241.0,471718,53705.0
2007-06-01,621851,68490.0,24256,1266.0,1040441,55777.0,504706,50761.0
2007-07-01,633018,70748.0,24652,1312.0,1036549,60626.0,508288,55563.0
2007-08-01,644141,67925.0,25240,1258.0,1039830,55768.0,509620,50933.0
2007-09-01,572301,53847.0,22261,959.0,895069,41539.0,430128,39569.0
2007-10-01,641272,57191.0,24683,1049.0,1028966,46439.0,493897,43187.0
2007-11-01,604879,59012.0,23513,1066.0,963423,45329.0,457897,42026.0
2007-12-01,600695,61608.0,23175,1086.0,933601,47998.0,450285,44955.0
2008-01-01,574682,59596.0,22323,1100.0,881893,50849.0,424216,45071.0
2008-02-01,556269,58949.0,21804,1066.0,892997,52560.0,426758,45876.0
2008-03-01,600786,62196.0,23739,1218.0,1031084,61633.0,487310,50883.0
2008-04-01,588342,52838.0,23187,1034.0,1015077,49964.0,475532,41103.0
2008-05-01,585317,52428.0,23318,1016.0,1049067,49701.0,483262,40992.0
2008-06-01,619700,55304.0,24927,1135.0,1110002,54253.0,514922,42378.0
2008-07-01,634536,49746.0,25591,1096.0,1138035,51925.0,529609,39444.0
2008-08-01,611812,48413.0,24938,1031.0,1085011,52093.0,498628,39967.0
2008-09-01,504609,33786.0,20790,651.0,867643,30738.0,391402,24992.0
2008-10-01,518406,35371.0,21521,664.0,947802,34094.0,423292,27704.0
2008-11-01,542719,30015.0,22824,524.0,927302,25796.0,411837,21603.0
2008-12-01,553586,29009.0,22907,516.0,970254,27113.0,439444,22651.0
2009-01-01,543021,27916.0,22750,482.0,914221,24045.0,410373,20141.0
2009-02-01,506385,21857.0,21340,410.0,891177,20624.0,395017,17181.0
2009-03-01,569953,24639.0,24311,481.0,1022493,24628.0,447850,20332.0
2009-04-01,566793,25823.0,24210,498.0,1015657,24039.0,443794,19685.0
2009-05-01,596259,31433.0,25103,745.0,1124827,30491.0,490528,22752.0
2009-06-01,644550,27228.0,27358,601.0,1265478,26653.0,545995,20994.0
2009-07-01,674361,36153.0,28799,750.0,1321243,38626.0,571080,30490.0
2009-08-01,645329,32583.0,27644,676.0,1216619,34604.0,523966,27441.0
2009-09-01,519286,33772.0,22773,737.0,998318,31160.0,408081,24175.0
2009-10-01,525776,33635.0,23168,682.0,1040522,33566.0,423299,27153.0
2009-11-01,545549,38100.0,24563,810.0,1032690,34834.0,415730,26850.0
2009-12-01,516338,31198.0,23266,638.0,972011,31160.0,394689,23657.0
2010-01-01,530842,28461.0,23662,604.0,956652,26663.0,390232,20676.0
2010-02-01,487605,31162.0,21937,564.0,927559,29295.0,378409,24348.0
2010-03-01,572413,39588.0,25928,664.0,1167858,36490.0,474255,30936.0
2010-04-01,516158,35045.0,24625,660.0,1077328,35932.0,421696,28819.0
2010-05-01,539523,28927.0,25845,540.0,1136420,28138.0,447476,23004.0
2010-06-01,585564,27009.0,27378,511.0,1216826,25892.0,491237,20735.0
2010-07-01,621664,29579.0,28773,562.0,1273604,30704.0,517488,24397.0
2010-08-01,621850,28977.0,28900,565.0,1222627,31606.0,491125,24338.0
2010-09-01,591064,23515.0,26500,432.0,1118645,22916.0,455955,18539.0
2010-10-01,626551,26592.0,27797,439.0,1225848,24383.0,506141,22166.0
2010-11-01,593454,24341.0,26770,517.0,1139367,25034.0,463563,18147.0
2010-12-01,594626,26860.0,26834,537.0,1123514,27641.0,459219,20550.0
2011-01-01,551476,21175.0,24909,439.0,965316,20479.0,394559,15506.0
2011-02-01,521474,21109.0,23940,403.0,954779,19849.0,385493,16035.0
2011-03-01,634933,25973.0,28814,443.0,1236474,24723.0,503753,21192.0
2011-04-01,601041,18172.0,26364,416.0,1147774,21046.0,483544,14237.0
2011-05-01,617197,24325.0,27778,476.0,1249913,24646.0,510207,18927.0
2011-06-01,653075,20966.0,28182,450.0,1281643,22727.0,545599,16056.0
2011-07-01,707042,14397.0,29516,369.0,1325736,19271.0,587946,11494.0
2011-08-01,676401,15241.0,28700,383.0,1244045,20488.0,542977,12340.0
2011-09-01,597159,31816.0,25771,582.0,1128524,26517.0,480823,20164.0
2011-10-01,625604,40446.0,27170,678.0,1216010,31057.0,515589,25782.0
2011-11-01,581069,35792.0,25275,583.0,1109940,25666.0,472027,22288.0
2011-12-01,571351,36067.0,25264,584.0,1075167,26336.0,450080,23109.0
2012-01-01,1412986,187802.0,56932,5347.0,2038741,191448.0,1036022,132214.0
2012-02-01,1342629,183915.0,54373,5304.0,2121804,192821.0,1015818,129489.0
2012-03-01,1506990,213783.0,60655,6090.0,2516467,234865.0,1218551,157564.0
2012-04-01,1459428,190299.0,59072,5353.0,2420821,203314.0,1171346,138288.0
2012-05-01,1451556,198669.0,60742,5856.0,2548717,213589.0,1200665,139473.0
2012-06-01,1543387,203175.0,64700,5843.0,2728604,224118.0,1288793,150864.0
2012-07-01,1548964,215920.0,65966,6179.0,2723270,251801.0,1272360,170912.0
2012-08-01,1584825,213590.0,67134,6125.0,2717000,254733.0,1273290,168649.0
2012-09-01,1410102,209180.0,60158,6488.0,2419877,251272.0,1112375,155762.0
2012-10-01,1497486,215453.0,62895,6447.0,2596779,259890.0,1213578,166124.0
2012-11-01,1445269,179474.0,59960,5389.0,2451318,211695.0,1150393,138129.0
2012-12-01,1420309,193335.0,58692,5766.0,2368681,234413.0,1117795,152249.0
2013-01-01,1401481,200261.0,56950,5944.0,2157109,232651.0,1033776,152224.0
