Parent Airline,Airline,Aircraft Type,Current,Future,Historic,Total,Orders,Unit Cost,Total Cost (Current),Average Age
Aegean Airlines,Aegean Airlines,Airbus A319,1.0,,3.0,4.0,,$90,$90,11.6
Aegean Airlines,Olympic Air,Airbus A319,,,8.0,8.0,,$90,$0,
Aegean Airlines,Aegean Airlines,Airbus A320,38.0,,3.0,41.0,,$98,"$3,724",7.5
Aegean Airlines,Olympic Air,Airbus A320,,,9.0,9.0,,$98,$0,
Aegean Airlines,Aegean Airlines,Airbus A321,8.0,,,8.0,,$115,$919,10.3
Aegean Airlines,Olympic Air,ATR 42/72,2.0,,,2.0,,$22,$44,2.4
Aegean Airlines,Aegean Airlines,ATR 42/72,,,6.0,6.0,,$22,$0,
Aegean Airlines,Aegean Airlines,Boeing 737,,,17.0,17.0,,$74,$0,
Aegean Airlines,Aegean Airlines,British Aerospace BAe 146/Avro RJ,,,6.0,6.0,,$14,$0,
Aegean Airlines,Olympic Air,De Havilland Canada DHC-8 Dash 8,12.0,,7.0,19.0,,$31,$376,12.6
Aeroflot,Aeroflot,Airbus A310,,,14.0,14.0,,$75,$0,
Aeroflot,Rossiya Airlines,Airbus A319,26.0,,5.0,31.0,,$90,"$2,330",12.7
Aeroflot,Aeroflot,Airbus A319,,,15.0,15.0,,$90,$0,
Aeroflot,Aurora Airlines,Airbus A319,10.0,,,10.0,,$90,$896,11.0
Aeroflot,Aeroflot,Airbus A320,71.0,1.0,3.0,75.0,11.0,$98,"$6,958",5.7
Aeroflot,Rossiya Airlines,Airbus A320,5.0,,8.0,13.0,,$98,$490,15.2
Aeroflot,Aeroflot,Airbus A321,31.0,,8.0,39.0,9.0,$115,"$3,562",3.6
Aeroflot,Aeroflot,Airbus A330,22.0,,,22.0,,$240,"$5,280",5.9
Aeroflot,Aeroflot,Airbus A350,,,,,22.0,$312,$0,
Aeroflot,Aeroflot,Antonov An-124,,,3.0,3.0,,$75,$0,
Aeroflot,Rossiya Airlines,Antonov An-124,,,2.0,2.0,,$75,$0,
Aeroflot,Rossiya Airlines,Antonov An-148/An-158,,,6.0,6.0,,$28,$0,
Aeroflot,Aeroflot,Boeing 737,20.0,1.0,16.0,37.0,26.0,$74,"$1,480",1.6
Aeroflot,Pobeda,Boeing 737,12.0,,,12.0,,$74,$888,2.1
Aeroflot,Rossiya Airlines,Boeing 737,17.0,1.0,5.0,23.0,,$74,"$1,258",9.6
Aeroflot,Aurora Airlines,Boeing 737,,,5.0,5.0,,$74,$0,
Aeroflot,Rossiya Airlines,Boeing 747,7.0,2.0,,9.0,2.0,$316,"$2,211",16.7
Aeroflot,Aeroflot,Boeing 767,,,13.0,13.0,,$187,$0,
Aeroflot,Rossiya Airlines,Boeing 767,,,3.0,3.0,,$187,$0,
Aeroflot,Aeroflot,Boeing 777,15.0,,2.0,17.0,1.0,$295,"$4,418",2.5
Aeroflot,Rossiya Airlines,Boeing 777,6.0,5.0,1.0,12.0,5.0,$295,"$1,767",17.7
Aeroflot,Aeroflot,Boeing 787,,,,,22.0,$265,$0,
Aeroflot,Aurora Airlines,De Havilland Canada DHC-8 Dash 8,8.0,2.0,1.0,12.0,,$31,$250,14.8
Aeroflot,Rossiya Airlines,Ilyushin Il-62,,,1.0,1.0,,$45,$0,
Aeroflot,Aeroflot,Ilyushin Il-96,,,10.0,10.0,,$45,$0,
Aeroflot,Rossiya Airlines,Ilyushin Il-96,,,5.0,5.0,,$45,$0,
Aeroflot,Aeroflot,Irkut MC-21,,,,,50.0,$82,$0,
Aeroflot,Aeroflot,McDonnell Douglas DC-10,,,3.0,3.0,,$145,$0,
Aeroflot,Aeroflot,McDonnell Douglas MD-11,,,3.0,3.0,,$175,$0,
Aeroflot,Rossiya Airlines,Sukhoi Superjet 100,,,,,20.0,$28,$0,
Aeroflot,Aeroflot,Sukhoi Superjet 100,30.0,,10.0,40.0,20.0,$28,$825,2.2
Aeroflot,Aeroflot,Tupolev Tu-134,,,1.0,1.0,,$16,$0,
Aeroflot,Rossiya Airlines,Tupolev Tu-154,,,1.0,1.0,,$16,$0,
Aeroflot,Aeroflot,Tupolev Tu-204,,,3.0,3.0,,$16,$0,
Aeroflot,Rossiya Airlines,Tupolev Tu-204,,,2.0,2.0,,$16,$0,
Aeroflot,Rossiya Airlines,Tupolev Tu-214,,,3.0,3.0,,$16,$0,
Aeroflot,Aurora Airlines,Viking Air DHC 6-400 Twin Otter,2.0,,,,,$7,$13,
Aeroflot,Aeroflot,Yakovlev Yak-42,,,1.0,1.0,,,$0,
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A310,,,5.0,5.0,,$75,$0,
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A320,,,2.0,2.0,,$98,$0,
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A330,9.0,1.0,,10.0,,$240,"$2,160",9.3
Aerolineas Argentinas,Aerolineas Argentinas,Airbus A340,5.0,,8.0,13.0,,$216,"$1,078",19.3
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 737,40.0,1.0,77.0,118.0,,$74,"$2,959",6.6
Aerolineas Argentinas,Austral Líneas Aéreas,Boeing 737,,,8.0,8.0,,$74,$0,
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 747,,,17.0,17.0,,$316,$0,
Aerolineas Argentinas,Aerolineas Argentinas,Boeing 757,,,1.0,1.0,,$73,$0,
Aerolineas Argentinas,Austral Líneas Aéreas,Embraer ERJ-190,26.0,1.0,,27.0,,$46,"$1,201",5.4
Aerolineas Argentinas,Austral Líneas Aéreas,McDonnell Douglas DC-9,,,14.0,14.0,,$45,$0,
Aerolineas Argentinas,Aerolineas Argentinas,McDonnell Douglas MD-80,,,7.0,7.0,,$45,$0,
Aerolineas Argentinas,Austral Líneas Aéreas,McDonnell Douglas MD-80,,,28.0,28.0,,$45,$0,
Air Algerie,Air Algerie,Airbus A300,,,2.0,2.0,,$75,$0,
Air Algerie,Air Algerie,Airbus A310,,,6.0,6.0,,$75,$0,
Air Algerie,Air Algerie,Airbus A320,,,4.0,4.0,,$98,$0,
Air Algerie,Air Algerie,Airbus A330,8.0,,4.0,12.0,,$240,"$1,920",8.1
Air Algerie,Air Algerie,Airbus A340,,,3.0,3.0,,$216,$0,
Air Algerie,Air Algerie,ATR 42/72,15.0,,,15.0,,$22,$332,10.4
Air Algerie,Air Algerie,Boeing 737,31.0,1.0,38.0,70.0,2.0,$74,"$2,293",8.6
Air Algerie,Air Algerie,Boeing 747,,,14.0,14.0,,$316,$0,
Air Algerie,Air Algerie,Boeing 767,2.0,,7.0,9.0,,$187,$374,26.3
Air Algerie,Air Algerie,Boeing 777,,,2.0,2.0,,$295,$0,
Air Algerie,Air Algerie,Boeing 787,,,,,8.0,$265,$0,
Air Algerie,Air Algerie,McDonnell Douglas DC-10,,,2.0,2.0,,$145,$0,
Air Algerie,Air Algerie,McDonnell Douglas DC-8,,,24.0,24.0,,$6,$0,
Air Arabia,Air Arabia,Airbus A320,38.0,,28.0,66.0,,$98,"$3,724",2.9
Air Arabia,Air Arabia Egypt,Airbus A320,1.0,,2.0,3.0,,$98,$98,9.6
Air Arabia,Air Arabia Jordan,Airbus A320,2.0,,1.0,3.0,,$98,$196,10.0
Air Arabia,Air Arabia Maroc,Airbus A320,5.0,,5.0,10.0,,$98,$490,4.4
Air Astana,Air Astana,Airbus A319,1.0,,,1.0,,$90,$90,8.4
