Rank,Restaurant,Location,Sales,YOY_Sales,Units,YOY_Units,Unit_Volume,Franchising
1.0,Evergreens,Seattle, Wash.,24.0,130.5%,26.0,116.7%,1150.0,No
2.0,Clean Juice,Charlotte, N.C.,44.0,121.9%,105.0,94.4%,560.0,Yes
3.0,Slapfish,Huntington Beach, Calif.,21.0,81.0%,21.0,90.9%,1370.0,Yes
4.0,Clean Eatz,Wilmington, N.C.,25.0,79.7%,46.0,58.6%,685.0,Yes
5.0,Pokeworks,Irvine, Calif.,49.0,77.1%,50.0,56.3%,1210.0,Yes
6.0,Playa Bowls,Belmar,  N.J.,39.0,62.9%,76.0,28.8%,580.0,Yes
7.0,The Simple Greek,Blue Bell, Pa.,24.0,52.5%,36.0,33.3%,775.0,Yes
8.0,Melt Shop,New York, N.Y.,20.0,39.6%,19.0,35.7%,1260.0,Yes
9.0,Creamistry,Yorba Linda,  Calif.,24.0,36.8%,60.0,27.7%,465.0,Yes
10.0,Joella s Hot Chicken,Louisville, Ky.,29.0,35.5%,17.0,30.8%,1930.0,No
11.0,Eggs Up Grill,Spartanburg, S.C.,30.0,35.4%,41.0,36.7%,860.0,Yes
12.0,Dog Haus,Pasadena, Calif.,39.0,34.5%,50.0,42.9%,1200.0,Yes
13.0,Teriyaki Madness,Denver, Colo.,41.0,34.1%,63.0,65.8%,890.0,Yes
14.0,Bluestone Lane,New York, N.Y.,48.0,33.0%,48.0,37.1%,1175.0,No
15.0,Original ChopShop,Plano, Texas,21.0,32.5%,12.0,20.0%,1930.0,No
16.0,Rapid Fired Pizza,Kettering, Ohio,24.0,32.2%,35.0,29.6%,780.0,Yes
17.0,Ike s Love & Sandwiches,San Francisco, Calif.,44.0,30.8%,71.0,29.1%,700.0,Yes
18.0,Vitality Bowls,San Ramon, Calif.,37.0,30.1%,77.0,24.2%,535.0,Yes
19.0,Hawkers Asian Street Fare,Orlando, Fla.,22.0,30.0%,7.0,40.0%,3800.0,No
20.0,Maple Street Biscuit Co.,Orange Park, Fla.,39.0,28.9%,33.0,10.0%,1260.0,Yes
21.0,Bulla Gastrobar,Doral, Fla.,32.0,28.2%,8.0,14.3%,4300.0,No
22.0,Duck Donuts,Mechanicsburg, Pa.,44.0,28.0%,90.0,16.9%,530.0,Yes
23.0,The Little Beet,New York, N.Y.,23.0,26.5%,12.0,33.3%,2230.0,No
24.0,Joe & The Juice,New York, N.Y.,47.0,25.9%,69.0,25.5%,760.0,Yes
25.0,By Chloe,New York, N.Y.,37.0,25.6%,14.0,7.7%,2800.0,No
26.0,Sugarfire Smokehouse,Olivette, Mo.,39.0,25.4%,15.0,15.4%,2820.0,No
27.0,Bibibop Asian Grill,Columbus, Ohio,44.0,24.6%,37.0,23.3%,1330.0,No
28.0,Bubbakoo s Burritos,Wall Township, N.J.,28.0,24.3%,31.0,14.8%,970.0,Yes
29.0,Dos Toros Taqueria,New York, N.Y.,28.0,24.0%,22.0,10.0%,1375.0,No
30.0,The Pizza Press,Anaheim, Calif.,27.0,23.7%,27.0,22.7%,1130.0,Yes
31.0,The Lost Cajun,Frisco, Texas,20.0,23.0%,26.0,4.0%,785.0,Yes
32.0,Just Salad,New York, N.Y.,42.0,22.7%,38.0,26.7%,1240.0,No
33.0,Jeni s Splendid Ice Creams,Columbus, Ohio,42.0,22.4%,44.0,22.2%,1050.0,No
34.0,Boqueria,New York, N.Y.,27.0,22.0%,7.0,16.7%,4260.0,No
35.0,Quickway Japanese Hibachi,Fairfax, Va.,22.0,21.4%,25.0,19.0%,985.0,Yes
36.0,Surcheros,Douglas, Ga.,22.0,21.3%,20.0,17.6%,1230.0,Yes
37.0,Famous Toastery,Charlotte, N.C.,40.0,21.2%,27.0,8.0%,1540.0,Yes
38.0,Culinary Dropout,Scottsdale, Ariz.,20.0,20.8%,7.0,16.7%,3120.0,No
39.0,Condado Tacos,Columbus, Ohio,38.0,19.9%,15.0,15.4%,2755.0,No
40.0,The Flying Biscuit Cafe,Atlanta, Ga.,29.0,19.5%,21.0,16.7%,1510.0,Yes
41.0,Blue Sushi Sake Grill,Omaha, Neb.,49.0,19.5%,14.0,16.7%,3500.0,No
42.0,The Human Bean,Medford, Ore.,47.0,19.0%,97.0,19.8%,535.0,Yes
43.0,Spitz Mediterranean Street Food,Los Angeles, Calif.,28.0,18.8%,11.0,10.0%,2700.0,No
44.0,Tacos 4 Life,Conway, Ark.,25.0,18.4%,16.0,6.7%,1620.0,Yes
45.0,Pita Mediterranean Street Food,Fairburn, Ga.,38.0,17.8%,32.0,10.3%,1260.0,Yes
46.0,LA Crawfish,McAllen, Texas,48.0,17.6%,25.0,13.6%,2050.0,Yes
47.0,&pizza,Washington, D.C.,45.0,17.1%,35.0,9.4%,1350.0,No
48.0,Super Duper Burgers,San Francisco, Calif.,39.0,16.9%,16.0,14.3%,2630.0,No
49.0,StoneFire Grill,Agoura Hills, Calif.,31.0,16.0%,13.0,8.3%,2550.0,No
50.0,Gus s World Famous Fried Chicken,Memphis, Tenn.,44.0,14.4%,28.0,7.7%,1600.0,Yes
