MSN,YYYYMM,Value,Column_Order,Description,Unit
CLEIEUS,197301.0,72.076,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197302.0,64.442,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197303.0,64.084,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197304.0,60.842,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197305.0,61.798,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197306.0,66.538,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197307.0,72.626,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197308.0,75.181,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197309.0,68.397,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197310.0,67.668,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197311.0,67.021,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197312.0,71.118,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197313.0,811.791,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197401.0,70.55,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197402.0,62.929,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197403.0,64.519,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197404.0,60.544,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197405.0,64.687,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197406.0,64.736,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197407.0,73.698,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197408.0,72.559,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197409.0,63.221,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197410.0,65.418,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197411.0,65.593,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197412.0,71.677,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197413.0,800.131,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197501.0,72.708,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197502.0,65.117,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197503.0,66.532,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197504.0,61.975,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197505.0,62.031,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197506.0,67.875,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197507.0,74.184,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197508.0,77.029,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197509.0,66.156,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
CLEIEUS,197510.0,66.651,1.0,Coal Electric Power Sector CO2 Emissions,Million Metric Tons of Carbon Dioxide
