Unnamed: 0,price,brand,model,year,title_status,mileage,color,vin,lot,state,country,condition
0.0,6300.0,toyota,cruiser,2008.0,clean vehicle,274117.0,black,  jtezu11f88k007763,1.59348797E8,new jersey, usa,10 days left
1.0,2899.0,ford,se,2011.0,clean vehicle,190552.0,silver,  2fmdk3gc4bbb02217,1.66951262E8,tennessee, usa,6 days left
2.0,5350.0,dodge,mpv,2018.0,clean vehicle,39590.0,silver,  3c4pdcgg5jt346413,1.67655728E8,georgia, usa,2 days left
3.0,25000.0,ford,door,2014.0,clean vehicle,64146.0,blue,  1ftfw1et4efc23745,1.67753855E8,virginia, usa,22 hours left
4.0,27700.0,chevrolet,1500,2018.0,clean vehicle,6654.0,red,  3gcpcrec2jg473991,1.67763266E8,florida, usa,22 hours left
5.0,5700.0,dodge,mpv,2018.0,clean vehicle,45561.0,white,  2c4rdgeg9jr237989,1.67655771E8,texas, usa,2 days left
6.0,7300.0,chevrolet,pk,2010.0,clean vehicle,149050.0,black,  1gcsksea1az121133,1.67753872E8,georgia, usa,22 hours left
7.0,13350.0,gmc,door,2017.0,clean vehicle,23525.0,gray,  1gks2gkc3hr326762,1.67692494E8,california, usa,20 hours left
8.0,14600.0,chevrolet,malibu,2018.0,clean vehicle,9371.0,silver,  1g1zd5st5jf191860,1.67763267E8,florida, usa,22 hours left
9.0,5250.0,ford,mpv,2017.0,clean vehicle,63418.0,black,  2fmpk3j92hbc12542,1.67656121E8,texas, usa,2 days left
10.0,10400.0,dodge,coupe,2009.0,clean vehicle,107856.0,orange,  2b3lj54t49h509675,1.67753874E8,georgia, usa,22 hours left
11.0,12920.0,gmc,mpv,2017.0,clean vehicle,39650.0,white,  1gks2bkc6hr136280,1.67692496E8,california, usa,20 hours left
12.0,31900.0,chevrolet,1500,2018.0,clean vehicle,22909.0,black,  3gcukrec0jg176059,1.67763273E8,tennessee, usa,22 hours left
13.0,5430.0,chrysler,wagon,2017.0,clean vehicle,138650.0,gray,  2c4rc1cg5hr616095,1.67656123E8,texas, usa,2 days left
14.0,20700.0,ford,door,2013.0,clean vehicle,100757.0,black,  1ftfw1et7dfa47790,1.67753916E8,virginia, usa,22 hours left
15.0,12710.0,gmc,door,2017.0,clean vehicle,25747.0,white,  1gks2gkc6hr328389,1.67692497E8,california, usa,20 hours left
16.0,5200.0,kia,forte,2018.0,clean vehicle,46194.0,blue,  3kpfk4a77je198723,1.67801757E8,north carolina, usa,2 days left
17.0,16500.0,buick,encore,2018.0,clean vehicle,20002.0,red,  kl4cj1sb6jb688844,1.67763275E8,tennessee, usa,22 hours left
