Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2007-08-01,61508,,361,,38743,,48734,
2007-09-01,155010,,668,,53538,,82464,
2007-10-01,217702,,954,,82461,,129308,
2007-11-01,243343,,1142,,98238,,150132,
2007-12-01,262752,,1252,,110479,,169914,
2008-01-01,261528,,1235,,96186,,145761,
2008-02-01,252662,,1298,,99300,,135324,
2008-03-01,314981,,1700,,165984,,224723,
2008-04-01,342302,,1975,,198444,,251091,
2008-05-01,387329,,2205,,232562,,303713,
2008-06-01,421412,,2286,,241157,,337764,
2008-07-01,466390,,2536,,277212,,382500,
2008-08-01,454538,,2472,,270781,,373345,
2008-09-01,374795,,2068,,227589,,298405,
2008-10-01,388982,,2144,,227589,,311736,
2008-11-01,384758,,2142,,243626,,310096,
2008-12-01,407836,,2260,,256754,,337712,
2009-01-01,411979,,2263,,204830,,280118,
2009-02-01,435274,,2236,,219244,,310909,
2009-03-01,551174,,2724,,289980,,430935,
2009-04-01,532452,,2560,,287467,,453127,
2009-05-01,549022,,2851,,303979,,463144,
2009-06-01,561594,,2899,,312117,,486262,
2009-07-01,595750,,3057,,346525,,521406,
2009-08-01,617648,,3086,,358611,,541639,
2009-09-01,554855,,2776,,322286,,469117,
2009-10-01,563862,,2824,,329941,,477164,
2009-11-01,570803,,2825,,326476,,474693,
2009-12-01,600102,,2941,,342469,,512655,
2010-01-01,599118,,2870,,287612,,438901,
2010-02-01,533314,,2651,,266294,,399322,
2010-03-01,638066,,3161,,329083,,504876,
2010-04-01,619202,,3005,,319637,,495581,
2010-05-01,636818,,3017,,316771,,508392,
2010-06-01,617972,8443.0,2849,31.0,324952,1849.0,534429,4094.0
2010-07-01,638163,32729.0,2918,124.0,328068,10190.0,544160,22602.0
2010-08-01,639051,32729.0,2911,124.0,337104,11853.0,555132,26274.0
2010-09-01,573130,31819.0,2619,120.0,290782,8163.0,474867,18086.0
2010-10-01,618653,39980.0,2854,124.0,326393,10015.0,525192,22191.0
2010-11-01,648985,37014.0,3007,112.0,350722,9037.0,556398,20046.0
2010-12-01,664593,42237.0,3099,141.0,349367,13208.0,558501,27374.0
2011-01-01,675922,49154.0,3114,177.0,296484,11672.0,491840,23486.0
2011-02-01,609877,53217.0,2810,188.0,289719,16234.0,464633,33491.0
2011-03-01,722762,62801.0,3275,218.0,356926,22977.0,584668,47516.0
2011-04-01,738439,33035.0,3397,129.0,375063,13570.0,598366,26023.0
2011-05-01,797021,29303.0,3645,120.0,416601,11636.0,656065,21889.0
2011-06-01,819163,31719.0,3757,128.0,447883,14479.0,702815,25399.0
2011-07-01,856989,33270.0,3885,134.0,458884,15809.0,728912,28091.0
2011-08-01,829231,32758.0,3809,132.0,452311,15047.0,707535,26781.0
2011-09-01,800322,23078.0,3639,94.0,417803,9085.0,662474,16113.0
2011-10-01,829808,21299.0,3772,89.0,426301,10159.0,685197,16985.0
2011-11-01,839900,25170.0,3839,102.0,429326,10445.0,684122,18427.0
2011-12-01,891930,46996.0,4045,198.0,469436,18479.0,741945,31389.0
2012-01-01,885261,41699.0,4062,170.0,438385,14754.0,692147,25920.0
2012-02-01,843902,39102.0,3837,160.0,431731,13912.0,683458,24374.0
2012-03-01,959027,43300.0,4349,178.0,509093,18150.0,809346,31158.0
2012-04-01,998680,41415.0,4435,170.0,501030,18400.0,806230,31686.0
2012-05-01,1062838,42523.0,4715,176.0,513762,17571.0,835658,30331.0
2012-06-01,1049890,42172.0,4744,173.0,530241,19347.0,843043,33053.0
2012-07-01,1102410,43012.0,5025,178.0,551192,19836.0,877022,34290.0
2012-08-01,1125969,42684.0,5053,173.0,583251,17305.0,931787,30418.0
2012-09-01,1037939,23183.0,4627,96.0,507043,8848.0,804464,15475.0
2012-10-01,969719,24052.0,4418,102.0,493848,10880.0,786447,17800.0
2012-11-01,1006141,32913.0,4545,138.0,474620,14631.0,749808,24941.0
2012-12-01,1011714,45212.0,4646,192.0,485322,19762.0,767758,33798.0
2013-01-01,911512,29183.0,4229,122.0,410096,11580.0,651247,20126.0
2013-02-01,788558,24339.0,3725,98.0,394051,9398.0,598996,16631.0
2013-03-01,912928,28890.0,4292,116.0,499052,12134.0,781359,21526.0
2013-04-01,1017656,25416.0,4554,106.0,525044,11711.0,848749,20292.0
