Date,ASM_Domestic,ASM_International,Flights_Domestic,Flights_International,Passengers_Domestic,Passengers_International,RPM_Domestic,RPM_International
2002-10-01,1177654,518611.0,13886,1621.0,861825,155046.0,817631,401684.0
2002-11-01,1075673,394909.0,12108,1373.0,723987,120735.0,665350,302988.0
2002-12-01,1067345,396729.0,11919,1359.0,773015,121996.0,762872,311077.0
2003-01-01,1071938,397283.0,12074,1378.0,619641,102780.0,606688,262821.0
2003-02-01,913113,350106.0,10181,1175.0,641163,98632.0,621249,245145.0
2003-03-01,1070313,409249.0,12172,1374.0,752282,119039.0,715743,296426.0
2003-04-01,1036993,425154.0,11732,1283.0,769225,112652.0,728797,289828.0
2003-05-01,1047745,407325.0,12302,1218.0,778831,126736.0,736497,333275.0
2003-06-01,1090176,496110.0,13179,1477.0,841934,165853.0,808343,441700.0
2003-07-01,1139346,544992.0,14316,1676.0,878637,166952.0,867143,422257.0
2003-08-01,1140839,554567.0,14230,1667.0,902448,177033.0,894896,462123.0
2003-09-01,1068169,511407.0,13113,1545.0,724179,146858.0,679499,397047.0
2003-10-01,1147877,486264.0,13084,1577.0,896617,149739.0,857674,388517.0
2003-11-01,1093790,413202.0,11631,1379.0,771457,126356.0,738639,323913.0
2003-12-01,1078439,402037.0,11207,1314.0,783575,130342.0,799322,327875.0
2004-01-01,1147474,412887.0,11673,1288.0,664078,106611.0,696802,274877.0
2004-02-01,1156425,381086.0,11683,1185.0,776275,105281.0,791004,257814.0
2004-03-01,1303031,454751.0,12790,1431.0,877732,143866.0,915028,365661.0
2004-04-01,1324310,483494.0,13002,1470.0,952022,145874.0,976088,369355.0
2004-05-01,1345351,545531.0,13352,1566.0,893518,163598.0,934289,428550.0
2004-06-01,1383503,550887.0,14367,1581.0,987918,182301.0,1039608,484636.0
2004-07-01,1424528,602240.0,15523,1743.0,1008852,183432.0,1095324,473239.0
2004-08-01,1443963,605079.0,15871,1769.0,1044857,191579.0,1138860,496554.0
2004-09-01,1256762,552802.0,14246,1546.0,837616,166226.0,854628,446974.0
2004-10-01,1343793,522275.0,14226,1495.0,1012673,162212.0,1035970,425060.0
2004-11-01,1259681,400272.0,13092,1274.0,894009,128991.0,896348,322022.0
2004-12-01,1281244,411316.0,12880,1287.0,867802,131449.0,903823,330265.0
2005-01-01,1168292,403573.0,11780,1265.0,733148,117527.0,786253,294907.0
2005-02-01,1152920,396412.0,11888,1242.0,816257,115347.0,843260,280128.0
2005-03-01,1274705,447876.0,13323,1360.0,949957,141720.0,980987,351159.0
2005-04-01,1293197,514744.0,13765,1464.0,997140,156546.0,996922,404962.0
2005-05-01,1342469,581658.0,14600,1706.0,967626,180087.0,992709,476712.0
2005-06-01,1284058,573698.0,14432,1698.0,995524,192300.0,1024657,502217.0
2005-07-01,1313255,604864.0,15353,1763.0,1045969,191669.0,1108433,503250.0
2005-08-01,1314768,592084.0,15602,1721.0,1034299,189526.0,1090155,493573.0
2005-09-01,1237386,546886.0,14141,1589.0,884211,173570.0,896166,462308.0
2005-10-01,1258934,523551.0,13257,1466.0,972251,163970.0,1007733,430510.0
2005-11-01,1271888,421692.0,12830,1243.0,933461,132287.0,953354,336548.0
2005-12-01,1268076,433872.0,12508,1177.0,885114,133726.0,939943,345276.0
2006-01-01,1227615,427952.0,12461,1153.0,790551,113711.0,843969,289139.0
2006-02-01,1117370,395843.0,11552,1078.0,840925,111792.0,859043,275776.0
2006-03-01,1323465,465320.0,13618,1325.0,1017642,147291.0,1045137,365241.0
2006-04-01,1303641,500002.0,13318,1325.0,1031780,154929.0,1051814,394653.0
2006-05-01,1278265,550174.0,13627,1411.0,984342,167619.0,998915,444354.0
2006-06-01,1252394,547986.0,13983,1464.0,1022824,182709.0,1041506,489976.0
2006-07-01,1294532,597341.0,15207,1606.0,1053820,183087.0,1094797,488284.0
2006-08-01,1319808,585363.0,15785,1655.0,1059102,181167.0,1091027,476031.0
2006-09-01,1224241,644790.0,14269,1601.0,881299,188417.0,880748,526692.0
2006-10-01,1297251,549756.0,14345,1491.0,1045018,157827.0,1042226,422852.0
2006-11-01,1241904,389540.0,13301,1201.0,973249,124199.0,954398,312694.0
2006-12-01,1281871,408352.0,12947,1210.0,925937,127902.0,954650,327388.0
2007-01-01,1282168,395482.0,13284,1228.0,819055,109257.0,854859,275361.0
2007-02-01,1151095,363050.0,11606,1093.0,837892,103938.0,866495,257697.0
2007-03-01,1334556,425195.0,13579,1283.0,1028402,140975.0,1061087,351303.0
2007-04-01,1331752,464114.0,13484,1341.0,1055570,143704.0,1064062,365763.0
2007-05-01,1293071,519930.0,13958,1484.0,1038814,164381.0,1041730,436592.0
2007-06-01,1257570,579479.0,13879,1616.0,1080692,190575.0,1098337,512791.0
2007-07-01,1299601,637544.0,14644,1788.0,1098776,184649.0,1145512,490311.0
2007-08-01,1315161,641383.0,15075,1808.0,1137134,196901.0,1171144,518739.0
2007-09-01,1210311,607284.0,13693,1648.0,901151,175975.0,907041,481520.0
2007-10-01,1276598,558982.0,13660,1598.0,1055018,168147.0,1068136,449513.0
2007-11-01,1223940,434665.0,12662,1354.0,949635,136008.0,967742,349257.0
2007-12-01,1200272,437536.0,11486,1259.0,851131,133860.0,921736,348533.0
2008-01-01,1201917,440104.0,11580,1263.0,763846,116309.0,827584,298600.0
2008-02-01,1180668,391815.0,11163,1142.0,838410,112316.0,895153,274671.0
2008-03-01,1332297,453067.0,12555,1284.0,951901,141883.0,1019765,357568.0
