Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,09/24/2016,140.0,154.75,140.0,154.75,MICHIGAN,,jbo,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,09/24/2016,145.0,154.75,145.0,154.75,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,09/24/2016,150.0,154.75,150.0,154.75,MICHIGAN,,med-lge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,09/24/2016,150.0,150.0,150.0,150.0,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/01/2016,140.0,154.75,140.0,154.75,MICHIGAN,,jbo,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/01/2016,145.0,154.75,145.0,154.75,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/01/2016,150.0,154.75,150.0,154.75,MICHIGAN,,med-lge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/01/2016,150.0,150.0,150.0,150.0,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/08/2016,140.0,154.75,140.0,154.75,MICHIGAN,,jbo,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/08/2016,145.0,154.75,145.0,154.75,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/08/2016,150.0,154.75,150.0,154.75,MICHIGAN,,med-lge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/08/2016,150.0,150.0,150.0,150.0,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/15/2016,140.0,145.0,140.0,145.0,ALABAMA,,med,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/15/2016,140.0,154.75,140.0,154.75,MICHIGAN,,jbo,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/15/2016,145.0,154.75,145.0,154.75,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/15/2016,150.0,154.75,150.0,154.75,MICHIGAN,,med-lge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/15/2016,150.0,150.0,150.0,150.0,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/22/2016,140.0,145.0,140.0,145.0,ALABAMA,,med,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/22/2016,140.0,154.75,140.0,154.75,MICHIGAN,,jbo,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/22/2016,145.0,154.75,145.0,154.75,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/22/2016,150.0,154.75,150.0,154.75,MICHIGAN,,med-lge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/22/2016,150.0,150.0,150.0,150.0,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/29/2016,140.0,145.0,140.0,145.0,ALABAMA,,med,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/29/2016,140.0,154.75,140.0,154.75,MICHIGAN,,jbo,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/29/2016,145.0,154.75,145.0,154.75,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/29/2016,150.0,154.75,150.0,154.75,MICHIGAN,,med-lge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,10/29/2016,150.0,150.0,150.0,150.0,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,11/05/2016,140.0,145.0,140.0,145.0,ALABAMA,,med,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,11/05/2016,140.0,154.75,140.0,154.75,MICHIGAN,,jbo,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,11/05/2016,145.0,154.75,145.0,154.75,MICHIGAN,,xlge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,11/05/2016,150.0,154.75,150.0,154.75,MICHIGAN,,med-lge,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,HOWDEN TYPE,,,11/05/2016,150.0,150.0,150.0,150.0,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,HOWDEN TYPE,,,09/30/2017,150.0,150.0,150.0,150.0,CANADA,,med,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,HOWDEN TYPE,,,09/30/2017,140.0,145.0,140.0,145.0,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,HOWDEN TYPE,,,09/30/2017,140.0,140.0,140.0,140.0,TENNESSEE,,lge,,,,,,,,,N,
PUMPKINS,ATLANTA,,1 1/9 bushel cartons,PIE TYPE,,,11/05/2016,14.5,15.0,14.5,15.0,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,1 1/9 bushel cartons,PIE TYPE,,,11/12/2016,14.5,15.0,14.5,15.0,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,1 1/9 bushel cartons,PIE TYPE,,,11/19/2016,14.5,15.0,14.5,15.0,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,1 1/9 bushel cartons,PIE TYPE,,,11/26/2016,14.5,15.0,14.5,15.0,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,09/24/2016,135.0,135.0,135.0,135.0,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,10/01/2016,135.0,135.0,135.0,135.0,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,10/08/2016,135.0,135.0,135.0,135.0,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,10/15/2016,135.0,135.0,135.0,135.0,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,10/22/2016,135.0,135.0,135.0,135.0,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,10/29/2016,135.0,135.0,135.0,135.0,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,11/05/2016,123.5,135.0,123.5,135.0,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,11/12/2016,123.5,135.0,123.5,135.0,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,11/19/2016,123.5,135.0,123.5,135.0,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,24 inch bins,PIE TYPE,,,11/26/2016,123.5,135.0,123.5,135.0,NORTH CAROLINA,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,PIE TYPE,,,09/24/2016,210.0,286.0,210.0,286.0,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,PIE TYPE,,,10/01/2016,210.0,286.0,210.0,286.0,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,PIE TYPE,,,10/08/2016,210.0,286.0,210.0,286.0,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,PIE TYPE,,,10/15/2016,210.0,286.0,210.0,286.0,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,PIE TYPE,,,10/22/2016,210.0,286.0,210.0,286.0,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,PIE TYPE,,,10/29/2016,210.0,286.0,210.0,286.0,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,36 inch bins,PIE TYPE,,,11/05/2016,210.0,286.0,210.0,286.0,MICHIGAN,,sml,,,,,,,,,N,
PUMPKINS,ATLANTA,,1 1/9 bushel cartons,MINIATURE,FLAT TYPE,,09/30/2017,16.5,18.0,16.5,16.75,TENNESSEE,,,,,,,,,,,N,
