Financial Institution Number,Institution Name,Institution Type,Charter Type,Headquarters,Failure Date,Insurance Fund,Certificate Number,Transaction Type,Total Deposits,Total Assets,Estimated Loss (2015)
NaN,BANK OF AMERICA TRUST CO.,COMMERCIAL BANK,STATE,PITTSBURGH, PA,4/19/1934 ,FDIC,NaN,PAYOUT,1064.0,1435.0,NaN
NaN,FON DU LAC STATE BANK,COMMERCIAL BANK,STATE,EAST PEORIA, IL,5/28/1934 ,FDIC,NaN,PAYOUT,238.0,374.0,NaN
NaN,FIRST NATIONAL BANK OF LIMA,COMMERCIAL BANK,FEDERAL,LIMA, MT,7/18/1934 ,FDIC,NaN,PAYOUT,42.0,91.0,NaN
NaN,FLORENCE DEPOSIT BANK,COMMERCIAL BANK,STATE,FLORENCE, IN,7/18/1934 ,FDIC,NaN,PAYOUT,69.0,105.0,NaN
NaN,BANK OF LEWISPORT,COMMERCIAL BANK,STATE,LEWISPORT, KY,8/6/1934 ,FDIC,NaN,PAYOUT,68.0,81.0,NaN
NaN,FARMERS STATE BANK OF BONGARDS,COMMERCIAL BANK,STATE,BONGARDS, MN,9/13/1934 ,FDIC,NaN,PAYOUT,73.0,91.0,NaN
NaN,FARMERS & TRADERS BANK,COMMERCIAL BANK,STATE,PORTERFIELD, WI,10/11/1934 ,FDIC,NaN,PAYOUT,32.0,46.0,NaN
NaN,PICKENS COUNTY BANK,COMMERCIAL BANK,STATE,JASPER, GA,10/13/1934 ,FDIC,NaN,PAYOUT,210.0,243.0,NaN
NaN,THE STATE BANK,COMMERCIAL BANK,STATE,SAUK CITY, WI,11/16/1934 ,FDIC,NaN,PAYOUT,170.0,195.0,NaN
NaN,CLIFFSIDE PARK TITLE GUARANTEE & TRUST CO.,COMMERCIAL BANK,STATE,GRANTWOOD, NJ,1/3/1935 ,FDIC,NaN,PAYOUT,590.0,2305.0,NaN
NaN,THE NATIONAL BANK OF HERNDON,COMMERCIAL BANK,FEDERAL,HERNDON, VA,1/9/1935 ,FDIC,NaN,PAYOUT,384.0,387.0,NaN
NaN,PALMETTO STATE BANK,COMMERCIAL BANK,STATE,LAKE CITY, SC,3/9/1935 ,FDIC,NaN,PAYOUT,136.0,149.0,NaN
NaN,THE FIRST STATE BANK,COMMERCIAL BANK,STATE,CHEYENNE, OK,3/25/1935 ,FDIC,NaN,PAYOUT,303.0,427.0,NaN
NaN,GUARANTY STATE BANK,COMMERCIAL BANK,STATE,CLINTON, OK,4/4/1935 ,FDIC,NaN,PAYOUT,176.0,264.0,NaN
NaN,THE STATE BANK OF MILFORD,COMMERCIAL BANK,STATE,MILFORD, KS,4/10/1935 ,FDIC,NaN,PAYOUT,87.0,118.0,NaN
NaN,THE FARMERS BANK,COMMERCIAL BANK,STATE,ROYSTON, GA,5/2/1935 ,FDIC,NaN,PAYOUT,108.0,166.0,NaN
NaN,FIRST STATE BANK OF AGRA,COMMERCIAL BANK,STATE,AGRA, KS,5/3/1935 ,FDIC,NaN,PAYOUT,96.0,129.0,NaN
NaN,BLUE SPRINGS STATE BANK,COMMERCIAL BANK,STATE,BLUE SPRINGS, MO,6/1/1935 ,FDIC,NaN,PAYOUT,234.0,235.0,NaN
NaN,ANCHOR STATE BANK,COMMERCIAL BANK,STATE,WEST MILWAUKEE, WI,6/4/1935 ,FDIC,NaN,PAYOUT,718.0,891.0,NaN
NaN,STATE BANK OF SUAMICO,COMMERCIAL BANK,STATE,SUAMICO, WI,6/24/1935 ,FDIC,NaN,PAYOUT,128.0,161.0,NaN
NaN,THE FIRST NATIONAL BANK OF PENDER,COMMERCIAL BANK,FEDERAL,PENDER, NE,6/29/1935 ,FDIC,NaN,PAYOUT,195.0,301.0,NaN
NaN,BANK OF GRANTVILLE,COMMERCIAL BANK,STATE,GRANTVILLE, GA,7/20/1935 ,FDIC,NaN,PAYOUT,48.0,91.0,NaN
NaN,MERCHANTS & FARMERS BANK,COMMERCIAL BANK,STATE,MARIETTA, GA,7/22/1935 ,FDIC,NaN,PAYOUT,132.0,227.0,NaN
NaN,THE FARMERS NATIONAL BANK OF SARDINIA,COMMERCIAL BANK,FEDERAL,SARDINIA, OH,7/24/1935 ,FDIC,NaN,PAYOUT,261.0,308.0,NaN
NaN,THE COMMERCIAL NATIONAL BANK OF BRADFORD,COMMERCIAL BANK,FEDERAL,BRADFORD, PA,9/28/1935 ,FDIC,NaN,PAYOUT,4621.0,5162.0,NaN
NaN,BUNA STATE BANK,COMMERCIAL BANK,STATE,BUNA, TX,10/23/1935 ,FDIC,NaN,PAYOUT,29.0,47.0,NaN
NaN,E. P. WILBUR TRUST COMPANY,COMMERCIAL BANK,STATE,BETHLEHEM, PA,11/16/1935 ,FDIC,NaN,ACQUISITION,4357.0,NaN,NaN
NaN,PRESIDIO VALLEY BANK,COMMERCIAL BANK,STATE,PRESIDIO, TX,11/18/1935 ,FDIC,NaN,PAYOUT,49.0,73.0,NaN
NaN,LENNON STATE BANK,COMMERCIAL BANK,STATE,LENNON, MI,11/26/1935 ,FDIC,NaN,PAYOUT,74.0,79.0,NaN
NaN,BANK OF LINDEN,COMMERCIAL BANK,STATE,LINDEN, WI,11/27/1935 ,FDIC,NaN,PAYOUT,188.0,224.0,NaN
NaN,FARMERS BANK OF CHARLTON COUNTY,COMMERCIAL BANK,STATE,KEYTESVILLE, MO,12/5/1935 ,FDIC,NaN,PAYOUT,229.0,287.0,NaN
NaN,FRIENDSHIP STATE BANK,COMMERCIAL BANK,STATE,FRIENDSHIP, WI,12/7/1935 ,FDIC,NaN,PAYOUT,125.0,147.0,NaN
NaN,LIVINGSTON STATE BANK,COMMERCIAL BANK,STATE,LIVINGSTON, NJ,12/14/1935 ,FDIC,NaN,PAYOUT,72.0,91.0,NaN
NaN,THE FARMERS BANK,COMMERCIAL BANK,STATE,WEST LOUISVILLE, KY,12/16/1935 ,FDIC,NaN,PAYOUT,37.0,55.0,NaN
NaN,CITIZENS BANK OF ERWIN,COMMERCIAL BANK,STATE,ERWIN, TN,1/10/1936 ,FDIC,NaN,PAYOUT,95.0,159.0,NaN
NaN,FARMERS & MERCHANTS BANK,COMMERCIAL BANK,STATE,ADAMS, TN,2/1/1936 ,FDIC,NaN,PAYOUT,5.0,14.0,NaN
NaN,THE FIRST NATIONAL BANK OF CLINTON,COMMERCIAL BANK,FEDERAL,CLINTON, OK,2/1/1936 ,FDIC,NaN,ACQUISITION,437.0,NaN,NaN
NaN,PEOPLES BANK,COMMERCIAL BANK,STATE,COLE CAMP, MO,2/5/1936 ,FDIC,NaN,PAYOUT,143.0,186.0,NaN
NaN,THE ANN ARBOR SAVINGS BANK,COMMERCIAL BANK,STATE,ANN ARBOR, MI,2/15/1936 ,FDIC,NaN,ACQUISITION,6758.0,NaN,NaN
NaN,FARMERS & MECHANICS BANK,COMMERCIAL BANK,STATE,ANN ARBOR, MI,2/15/1936 ,FDIC,NaN,ACQUISITION,3734.0,NaN,NaN
NaN,THE FIRST NATIONAL BANK & TRUST CO.,COMMERCIAL BANK,FEDERAL,ANN ARBOR, MI,2/15/1936 ,FDIC,NaN,ACQUISITION,1729.0,NaN,NaN
NaN,MERCHANTS AND FARMERS BANK,COMMERCIAL BANK,STATE,STARKVILLE, MS,2/17/1936 ,FDIC,NaN,PAYOUT,142.0,213.0,NaN
