Unnamed: 0,abv,ibu,id,name,style,brewery_id,ounces
0.0,0.05,NaN,1436.0,Pub Beer,American Pale Lager,408.0,12.0
1.0,0.066,NaN,2265.0,Devil s Cup,American Pale Ale (APA),177.0,12.0
2.0,0.071,NaN,2264.0,Rise of the Phoenix,American IPA,177.0,12.0
3.0,0.09,NaN,2263.0,Sinister,American Double / Imperial IPA,177.0,12.0
4.0,0.075,NaN,2262.0,Sex and Candy,American IPA,177.0,12.0
5.0,0.077,NaN,2261.0,Black Exodus,Oatmeal Stout,177.0,12.0
6.0,0.045,NaN,2260.0,Lake Street Express,American Pale Ale (APA),177.0,12.0
7.0,0.065,NaN,2259.0,Foreman,American Porter,177.0,12.0
8.0,0.055,NaN,2258.0,Jade,American Pale Ale (APA),177.0,12.0
9.0,0.086,NaN,2131.0,Cone Crusher,American Double / Imperial IPA,177.0,12.0
10.0,0.072,NaN,2099.0,Sophomoric Saison,Saison / Farmhouse Ale,177.0,12.0
11.0,0.073,NaN,2098.0,Regional Ring Of Fire,Saison / Farmhouse Ale,177.0,12.0
12.0,0.069,NaN,2097.0,Garce Selé,Saison / Farmhouse Ale,177.0,12.0
13.0,0.085,NaN,1980.0,Troll Destroyer,Belgian IPA,177.0,12.0
14.0,0.061,60.0,1979.0,Bitter Bitch,American Pale Ale (APA),177.0,12.0
15.0,0.06,NaN,2318.0,Ginja Ninja,Cider,154.0,12.0
16.0,0.06,NaN,2170.0,Cherried Away,Cider,154.0,12.0
17.0,0.06,NaN,2169.0,Rhubarbarian,Cider,154.0,12.0
18.0,0.06,NaN,1502.0,BrightCider,Cider,154.0,12.0
19.0,0.0819999999999999,NaN,1593.0,He Said Baltic-Style Porter,Baltic Porter,368.0,12.0
20.0,0.0819999999999999,NaN,1592.0,He Said Belgian-Style Tripel,Tripel,368.0,12.0
21.0,0.099,92.0,1036.0,Lower De Boom,American Barleywine,368.0,8.4
22.0,0.079,45.0,1024.0,Fireside Chat,Winter Warmer,368.0,12.0
23.0,0.079,NaN,976.0,Marooned On Hog Island,American Stout,368.0,12.0
24.0,0.044,42.0,876.0,Bitter American,American Pale Ale (APA),368.0,12.0
25.0,0.049,17.0,802.0,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368.0,12.0
26.0,0.049,17.0,801.0,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368.0,12.0
27.0,0.049,17.0,800.0,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,368.0,12.0
28.0,0.07,70.0,799.0,21st Amendment IPA (2006),American IPA,368.0,12.0
29.0,0.07,70.0,797.0,Brew Free! or Die IPA (2008),American IPA,368.0,12.0
30.0,0.07,70.0,796.0,Brew Free! or Die IPA (2009),American IPA,368.0,12.0
31.0,0.085,52.0,531.0,Special Edition: Allies Win The War!,English Strong Ale,368.0,12.0
32.0,0.0969999999999999,94.0,432.0,Hop Crisis,American Double / Imperial IPA,368.0,12.0
33.0,0.044,42.0,353.0,Bitter American (2011),American Pale Ale (APA),368.0,12.0
34.0,0.079,45.0,321.0,Fireside Chat (2010),Winter Warmer,368.0,12.0
35.0,0.068,65.0,173.0,Back in Black,American Black Ale,368.0,12.0
36.0,0.083,35.0,11.0,Monk s Blood,Belgian Dark Ale,368.0,12.0
37.0,0.07,65.0,10.0,Brew Free! or Die IPA,American IPA,368.0,12.0
38.0,0.049,17.0,9.0,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,368.0,12.0
39.0,0.07,82.0,2519.0,Bimini Twist,American IPA,67.0,12.0
40.0,0.05,NaN,2518.0,Beach Blonde,American Blonde Ale,67.0,12.0
41.0,0.059,NaN,2517.0,Rod Bender Red,American Amber / Red Ale,67.0,12.0
42.0,0.035,11.0,2545.0,Passion Fruit Prussia,Berliner Weissbier,60.0,12.0
43.0,0.045,18.0,2544.0,Send Help,American Blonde Ale,60.0,12.0
44.0,0.055,NaN,2324.0,Cast Iron Oatmeal Brown,American Brown Ale,60.0,12.0
45.0,0.06,NaN,2288.0,Reprise Centennial Red,American Amber / Red Ale,60.0,12.0
46.0,0.055,NaN,2287.0,Alter Ego,American Black Ale,60.0,12.0
47.0,0.065,NaN,2286.0,Divided Sky,American IPA,60.0,12.0
48.0,0.065,NaN,2285.0,Resurrected,American IPA,60.0,12.0
49.0,0.05,28.0,1870.0,Contact High,American Pale Wheat Ale,60.0,12.0
50.0,0.065,NaN,2603.0,Galaxyfest,American IPA,27.0,16.0
51.0,0.05,45.0,2602.0,Citrafest,American IPA,27.0,16.0
52.0,0.09,NaN,2220.0,Barn Yeti,Belgian Strong Dark Ale,27.0,16.0
53.0,0.069,65.0,2219.0,Scarecrow,American IPA,27.0,16.0
54.0,0.09,50.0,2218.0,Ironman,English Strong Ale,27.0,16.0
55.0,0.046,15.0,2217.0,Honey Kolsch,Kölsch,27.0,16.0
56.0,0.052,18.0,2216.0,Copperhead Amber,Belgian Dark Ale,27.0,16.0
57.0,0.059,75.0,972.0,Rude Parrot IPA,American IPA,481.0,16.0
58.0,0.054,30.0,866.0,British Pale Ale (2010),English Pale Ale,481.0,16.0
59.0,0.054,30.0,48.0,British Pale Ale,English Pale Ale,481.0,16.0
60.0,0.084,82.0,47.0,Ballz Deep Double IPA,American Double / Imperial IPA,481.0,16.0
61.0,0.038,NaN,1583.0,Wolfman s Berliner,Berliner Weissbier,373.0,12.0
62.0,0.055,26.0,1165.0,Colorado Native,American Amber / Red Lager,462.0,12.0
63.0,0.055,26.0,431.0,Colorado Native (2011),American Amber / Red Lager,462.0,12.0
64.0,0.065,52.0,516.0,Jockamo IPA,American IPA,533.0,12.0
65.0,0.042,13.0,515.0,Purple Haze,Fruit / Vegetable Beer,533.0,12.0
66.0,0.045,17.0,514.0,Abita Amber,American Amber / Red Lager,533.0,12.0
67.0,0.0819999999999999,68.0,2540.0,Citra Ass Down,American IPA,62.0,16.0
68.0,0.05,20.0,2539.0,The Brown Note,American Brown Ale,62.0,16.0
69.0,0.08,68.0,2686.0,Citra Ass Down,American Double / Imperial IPA,1.0,16.0
70.0,0.125,80.0,2685.0,London Balling,English Barleywine,1.0,16.0
71.0,0.077,25.0,2684.0,35 K,Milk / Sweet Stout,1.0,16.0
72.0,0.042,42.0,2683.0,A Beer,American Pale Ale (APA),1.0,16.0
73.0,0.05,25.0,2682.0,Rules are Rules,German Pilsener,1.0,16.0
74.0,0.066,21.0,2681.0,Flesh Gourd n,Pumpkin Ale,1.0,16.0
75.0,0.04,13.0,2680.0,Sho nuff,Belgian Pale Ale,1.0,16.0
76.0,0.055,17.0,2679.0,Bloody Show,American Pilsner,1.0,16.0
77.0,0.076,68.0,2678.0,Rico Sauvin,American Double / Imperial IPA,1.0,16.0
78.0,0.051,38.0,2677.0,Coq de la Marche,Saison / Farmhouse Ale,1.0,16.0
79.0,0.065,NaN,2676.0,Kamen Knuddeln,American Wild Ale,1.0,16.0
80.0,0.06,65.0,2675.0,Pile of Face,American IPA,1.0,16.0
81.0,0.05,20.0,2674.0,The Brown Note,English Brown Ale,1.0,16.0
82.0,0.053,35.0,1594.0,Maylani s Coconut Stout,American Stout,367.0,16.0
83.0,0.05,35.0,1162.0,Oatmeal PSA,American Pale Ale (APA),367.0,16.0
84.0,0.052,33.0,1137.0,Pre Flight Pilsner,American Pilsner,367.0,16.0
85.0,0.04,20.0,2403.0,P-Town Pilsner,American Pilsner,117.0,12.0
86.0,0.053,36.0,2402.0,Klickitat Pale Ale,American Pale Ale (APA),117.0,12.0
