Unnamed: 0,name,city,state
0.0,NorthGate Brewing ,Minneapolis, MN
1.0,Against the Grain Brewery,Louisville, KY
2.0,Jack s Abby Craft Lagers,Framingham, MA
3.0,Mike Hess Brewing Company,San Diego, CA
4.0,Fort Point Beer Company,San Francisco, CA
5.0,COAST Brewing Company,Charleston, SC
6.0,Great Divide Brewing Company,Denver, CO
7.0,Tapistry Brewing,Bridgman, MI
8.0,Big Lake Brewing,Holland, MI
9.0,The Mitten Brewing Company,Grand Rapids, MI
10.0,Brewery Vivant,Grand Rapids, MI
11.0,Petoskey Brewing,Petoskey, MI
12.0,Blackrocks Brewery,Marquette, MI
13.0,Perrin Brewing Company,Comstock Park, MI
14.0,Witch s Hat Brewing Company,South Lyon, MI
15.0,Founders Brewing Company,Grand Rapids, MI
16.0,Flat 12 Bierwerks,Indianapolis, IN
17.0,Tin Man Brewing Company,Evansville, IN
18.0,Black Acre Brewing Co.,Indianapolis, IN
19.0,Brew Link Brewing,Plainfield, IN
20.0,Bare Hands Brewery,Granger, IN
21.0,Three Pints Brewing,Martinsville, IN
22.0,Four Fathers Brewing ,Valparaiso, IN
23.0,Indiana City Brewing,Indianapolis, IN
24.0,Burn  Em Brewing,Michigan City, IN
25.0,Sun King Brewing Company,Indianapolis, IN
26.0,Evil Czech Brewery,Mishawaka, IN
27.0,450 North Brewing Company,Columbus, IN
28.0,Taxman Brewing Company,Bargersville, IN
29.0,Cedar Creek Brewery,Seven Points, TX
30.0,SanTan Brewing Company,Chandler, AZ
31.0,Boulevard Brewing Company,Kansas City, MO
32.0,James Page Brewing Company,Stevens Point, WI
33.0,The Dudes  Brewing Company,Torrance, CA
34.0,Ballast Point Brewing Company,San Diego, CA
35.0,Anchor Brewing Company,San Francisco, CA
36.0,Figueroa Mountain Brewing Company,Buellton, CA
37.0,Avery Brewing Company,Boulder, CO
38.0,Twisted X Brewing Company,Dripping Springs, TX
39.0,Gonzo s BiggDogg Brewing,Kalamazoo, MI
40.0,Big Muddy Brewing,Murphysboro, IL
41.0,Lost Nation Brewing,East Fairfield, VT
42.0,Rising Tide Brewing Company,Portland, ME
43.0,Rivertowne Brewing Company,Export, PA
44.0,Revolution Brewing Company,Chicago, IL
45.0,Tallgrass Brewing Company,Manhattan, KS
46.0,Sixpoint Craft Ales,Brooklyn, NY
47.0,White Birch Brewing,Hooksett, NH
48.0,Firestone Walker Brewing Company,Paso Robles, CA
49.0,SweetWater Brewing Company,Atlanta, GA
50.0,Flying Mouse Brewery,Troutville, VA
51.0,Upslope Brewing Company,Boulder, CO
52.0,Pipeworks Brewing Company,Chicago, IL
53.0,Bent Brewstillery,Roseville, MN
54.0,Flesk Brewing Company,Lombard, IL
55.0,Pollyanna Brewing Company,Lemont, IL
56.0,BuckleDown Brewing,Lyons, IL
57.0,Destihl Brewery,Bloomington, IL
58.0,Summit Brewing Company,St. Paul, MN
59.0,Latitude 42 Brewing Company,Portage, MI
60.0,4 Hands Brewing Company,Saint Louis, MO
61.0,Surly Brewing Company,Brooklyn Center, MN
62.0,Against The Grain Brewery,Louisville, KY
63.0,Crazy Mountain Brewing Company,Edwards, CO
64.0,SlapShot Brewing Company,Chicago, IL
65.0,Mikerphone Brewing,Chicago, IL
66.0,Freetail Brewing Company,San Antonio, TX
67.0,3 Daughters Brewing,St Petersburg, FL
68.0,Red Shedman Farm Brewery and Hop...,Mt. Airy, MD
69.0,Appalachian Mountain Brewery,Boone, NC
70.0,Birdsong Brewing Company,Charlotte, NC
71.0,Union Craft Brewing,Baltimore, MD
72.0,Atwater Brewery,Detroit, MI
73.0,Ale Asylum,Madison, WI
74.0,Two Brothers Brewing Company,Warrenville, IL
75.0,Bent Paddle Brewing Company,Duluth, MN
76.0,Bell s Brewery,Kalamazoo, MI
77.0,Blue Owl Brewing,Austin, TX
78.0,Speakasy Ales & Lagers,San Francisco, CA
79.0,Black Tooth Brewing Company,Sheridan, WY
80.0,Hopworks Urban Brewery,Portland, OR
81.0,Epic Brewing,Denver, CO
82.0,New Belgium Brewing Company,Fort Collins, CO
83.0,Sierra Nevada Brewing Company,Chico, CA
84.0,Keweenaw Brewing Company,Houghton, MI
85.0,Brewery Terra Firma,Traverse City, MI
