Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,CHICAGO,,24 inch bins,HOWDEN TYPE,,,09/16/2017,200.0,225.0,200.0,225.0,CANADA,ONTARIO,lge,ORANGE,,,,,,,,N,
PUMPKINS,CHICAGO,,24 inch bins,HOWDEN TYPE,,,09/16/2017,200.0,220.0,200.0,220.0,ILLINOIS,,lge,ORANGE,,,,,,,,N,
PUMPKINS,CHICAGO,,24 inch bins,HOWDEN TYPE,,,09/23/2017,200.0,225.0,200.0,225.0,CANADA,ONTARIO,lge,ORANGE,,,,,,,,N,
PUMPKINS,CHICAGO,,24 inch bins,HOWDEN TYPE,,,09/23/2017,200.0,220.0,200.0,220.0,ILLINOIS,,lge,ORANGE,,,,,,,,N,
PUMPKINS,CHICAGO,,24 inch bins,HOWDEN TYPE,,,09/30/2017,200.0,225.0,200.0,225.0,CANADA,ONTARIO,lge,ORANGE,,,,,,,,N,
PUMPKINS,CHICAGO,,24 inch bins,HOWDEN TYPE,,,09/30/2017,200.0,220.0,200.0,220.0,ILLINOIS,,lge,ORANGE,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,09/24/2016,135.0,135.0,135.0,135.0,ILLINOIS,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,09/24/2016,130.0,130.0,130.0,130.0,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,10/01/2016,130.0,135.0,130.0,135.0,ILLINOIS,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,10/01/2016,130.0,130.0,130.0,130.0,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,10/08/2016,130.0,130.0,130.0,130.0,ILLINOIS,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,10/08/2016,130.0,130.0,130.0,130.0,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,10/15/2016,130.0,135.0,130.0,135.0,ILLINOIS,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,10/15/2016,130.0,130.0,130.0,130.0,MICHIGAN,,lge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,10/15/2016,60.0,60.0,60.0,60.0,OHIO,,xlge,,,,,,,,,N,
PUMPKINS,CHICAGO,,36 inch bins,HOWDEN TYPE,,,10/22/2016,130.0,135.0,130.0,135.0,ILLINOIS,,lge,,,,,,,,,N,
