Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,DETROIT,?,24 inch bins,HOWDEN TYPE,?,?,09/16/2017,95.0,95.0,95.0,95.0,MICHIGAN,?,lge,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,HOWDEN TYPE,?,?,09/16/2017,94.0,95.0,94.0,95.0,MICHIGAN,?,med,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,HOWDEN TYPE,?,?,09/23/2017,95.0,95.0,95.0,95.0,MICHIGAN,?,lge,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,HOWDEN TYPE,?,?,09/23/2017,94.0,95.0,94.0,95.0,MICHIGAN,?,med,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,bins,HOWDEN TYPE,?,?,09/23/2017,175.0,175.0,175.0,175.0,MICHIGAN,?,xlge,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,bins,HOWDEN TYPE,?,?,09/23/2017,95.0,95.0,95.0,95.0,MICHIGAN,?,lge,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,bins,HOWDEN TYPE,?,?,09/30/2017,175.0,175.0,175.0,175.0,MICHIGAN,?,xlge,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,bins,HOWDEN TYPE,?,?,09/30/2017,95.0,95.0,95.0,95.0,MICHIGAN,?,lge,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,HOWDEN WHITE TYPE,?,?,10/22/2016,100.0,100.0,100.0,100.0,MICHIGAN,?,med-lge,WHITE,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,HOWDEN WHITE TYPE,?,?,10/29/2016,100.0,100.0,100.0,100.0,MICHIGAN,?,med-lge,WHITE,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,1 1/9 bushel cartons,PIE TYPE,?,?,10/22/2016,12.0,12.0,12.0,12.0,MICHIGAN,?,med,ORANGE,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,1 1/9 bushel cartons,PIE TYPE,?,?,10/29/2016,12.0,12.0,12.0,12.0,MICHIGAN,?,med,ORANGE,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,1 1/9 bushel cartons,PIE TYPE,?,?,11/05/2016,12.0,12.0,12.0,12.0,MICHIGAN,?,med,ORANGE,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,1 1/9 bushel cartons,PIE TYPE,?,?,09/09/2017,22.0,22.0,22.0,22.0,OHIO,?,sml,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,1 1/9 bushel cartons,PIE TYPE,?,?,09/16/2017,20.0,20.0,20.0,20.0,MICHIGAN,?,sml,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,1 1/9 bushel cartons,PIE TYPE,?,?,09/16/2017,22.0,22.0,22.0,22.0,OHIO,?,sml,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,1 1/9 bushel cartons,PIE TYPE,?,?,09/23/2017,15.0,20.0,15.0,20.0,MICHIGAN,?,sml,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,1 1/9 bushel cartons,PIE TYPE,?,?,09/30/2017,15.0,15.0,15.0,15.0,MICHIGAN,?,sml,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,PIE TYPE,?,?,09/24/2016,150.0,150.0,150.0,150.0,MICHIGAN,?,lge,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,PIE TYPE,?,?,09/24/2016,175.0,175.0,175.0,175.0,MICHIGAN,?,sml,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,PIE TYPE,?,?,10/01/2016,150.0,150.0,150.0,150.0,MICHIGAN,?,lge,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,PIE TYPE,?,?,10/01/2016,175.0,175.0,175.0,175.0,MICHIGAN,?,sml,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,PIE TYPE,?,?,10/08/2016,100.0,115.0,100.0,110.0,MICHIGAN,?,lge,ORANGE,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,PIE TYPE,?,?,10/08/2016,150.0,150.0,150.0,150.0,MICHIGAN,?,sml,ORANGE,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,PIE TYPE,?,?,10/15/2016,100.0,115.0,105.0,110.0,MICHIGAN,?,lge,ORANGE,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,PIE TYPE,?,?,10/15/2016,150.0,150.0,150.0,150.0,MICHIGAN,?,sml,ORANGE,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,PIE TYPE,?,?,10/22/2016,115.0,120.0,117.0,119.0,MICHIGAN,?,lge,ORANGE,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,PIE TYPE,?,?,10/22/2016,150.0,150.0,150.0,150.0,MICHIGAN,?,sml,ORANGE,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,PIE TYPE,?,?,10/29/2016,115.0,120.0,117.0,119.0,MICHIGAN,?,lge,ORANGE,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,PIE TYPE,?,?,10/29/2016,150.0,150.0,150.0,150.0,MICHIGAN,?,sml,ORANGE,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,PIE TYPE,?,?,11/05/2016,115.0,120.0,117.0,119.0,MICHIGAN,?,lge,ORANGE,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,PIE TYPE,?,?,11/05/2016,150.0,150.0,150.0,150.0,MICHIGAN,?,sml,ORANGE,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,PIE TYPE,?,?,09/16/2017,149.0,150.0,149.0,150.0,MICHIGAN,?,sml,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,PIE TYPE,?,?,09/23/2017,149.0,150.0,149.0,150.0,MICHIGAN,?,sml,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,bins,PIE TYPE,?,?,09/23/2017,175.0,175.0,175.0,175.0,MICHIGAN,?,sml,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,bins,PIE TYPE,?,?,09/30/2017,175.0,175.0,175.0,175.0,MICHIGAN,?,sml,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,1 1/9 bushel cartons,MIXED HEIRLOOM VARIETIES,?,?,09/16/2017,20.0,20.0,20.0,20.0,MICHIGAN,?,sml,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,1 1/9 bushel cartons,MIXED HEIRLOOM VARIETIES,?,?,09/23/2017,20.0,20.0,20.0,20.0,MICHIGAN,?,sml,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,MIXED HEIRLOOM VARIETIES,?,?,09/24/2016,150.0,150.0,150.0,150.0,MICHIGAN,?,med,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,MIXED HEIRLOOM VARIETIES,?,?,10/01/2016,150.0,150.0,150.0,150.0,MICHIGAN,?,med,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,MIXED HEIRLOOM VARIETIES,?,?,10/08/2016,150.0,150.0,150.0,150.0,MICHIGAN,?,med,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,MIXED HEIRLOOM VARIETIES,?,?,10/15/2016,150.0,150.0,150.0,150.0,MICHIGAN,?,med,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,MIXED HEIRLOOM VARIETIES,?,?,10/22/2016,135.0,135.0,135.0,135.0,MICHIGAN,?,med,?,?,?,?,?,?,?,?,N,?
PUMPKINS,DETROIT,?,24 inch bins,MIXED HEIRLOOM VARIETIES,?,?,10/29/2016,135.0,135.0,135.0,135.0,MICHIGAN,?,med,?,?,?,?,?,?,?,?,N,?
