Exam Subject,Score,Students (11th Grade),Students (12th Grade),Students (Male),Students (Female),Students (White),Students (Black),Students (Hispanic/Latino),Students (Asian),Students (American Indian/Alaska Native),Students (Native Hawaiian/Pacific Islander),Students (Two or More Races),All Students (2016)
ART HISTORY,5,897.0,1260.0,815.0,1889.0,1631.0,34,321.0,514.0,5,5,154.0,2704.0
ART HISTORY,4,1835.0,2608.0,1800.0,3787.0,3290.0,132,918.0,877.0,13,8,273.0,5587.0
ART HISTORY,3,2311.0,3282.0,2283.0,4657.0,3898.0,287,1347.0,992.0,19,10,307.0,6940.0
ART HISTORY,2,2252.0,3248.0,2374.0,4494.0,3211.0,450,1972.0,809.0,15,21,280.0,6868.0
ART HISTORY,1,901.0,1352.0,1072.0,1699.0,942.0,307,1074.0,292.0,13,10,87.0,2771.0
ART HISTORY,All,8196.0,11750.0,8344.0,16526.0,12972.0,1210,5632.0,3484.0,65,54,1101.0,24870.0
ART HISTORY,Average,2.95,2.93,2.87,2.98,3.11,2.29,2.55,3.15,2.72,2.57,3.12,2.94
BIOLOGY,5,5769.0,6396.0,8118.0,6776.0,8585.0,153,788.0,4443.0,11,7,733.0,14894.0
BIOLOGY,4,18585.0,21195.0,22244.0,25943.0,29999.0,976,3966.0,10367.0,75,49,2139.0,48187.0
BIOLOGY,3,30119.0,34631.0,30786.0,47150.0,46377.0,3305,10511.0,13051.0,183,97,3477.0,77936.0
BIOLOGY,2,25986.0,29963.0,21590.0,45639.0,31140.0,6083,16454.0,9477.0,268,136,2790.0,67229.0
BIOLOGY,1,7936.0,12645.0,7787.0,15943.0,6098.0,4935,9157.0,2057.0,146,55,734.0,23730.0
BIOLOGY,All,88395.0,104830.0,90525.0,141451.0,122199.0,15452,40876.0,39395.0,683,344,9873.0,231976.0
BIOLOGY,Average,2.87,2.8,3.01,2.73,3.03,2.05,2.29,3.14,2.32,2.47,2.93,2.84
CALCULUS AB,5,27199.0,38937.0,39784.0,31619.0,42748.0,1405,6432.0,16956.0,87,78,2883.0,71403.0
CALCULUS AB,4,15229.0,33814.0,25936.0,25041.0,31455.0,1597,6189.0,9069.0,72,66,1993.0,50977.0
CALCULUS AB,3,13400.0,36373.0,25532.0,25707.0,31004.0,1960,7599.0,8105.0,108,73,1901.0,51239.0
