code,area,date,median_salary,life_satisfaction,mean_salary,recycling_pct,population_size,number_of_jobs,area_size,no_of_houses,borough_flag
E09000001,city of london,1999-12-01,33020.0,,48922,0,6581.0,,,,1
E09000002,barking and dagenham,1999-12-01,21480.0,,23620,3,162444.0,,,,1
E09000003,barnet,1999-12-01,19568.0,,23128,8,313469.0,,,,1
E09000004,bexley,1999-12-01,18621.0,,21386,18,217458.0,,,,1
E09000005,brent,1999-12-01,18532.0,,20911,6,260317.0,,,,1
E09000006,bromley,1999-12-01,16720.0,,21293,13,294902.0,,,,1
E09000007,camden,1999-12-01,23677.0,,30249,13,190003.0,,,,1
E09000008,croydon,1999-12-01,19563.0,,22205,13,332066.0,,,,1
E09000009,ealing,1999-12-01,20580.0,,25046,12,302252.0,,,,1
E09000010,enfield,1999-12-01,19289.0,,21006,9,272731.0,,,,1
E09000011,greenwich,1999-12-01,21236.0,,22263,4,212168.0,,,,1
E09000012,hackney,1999-12-01,23249.0,,39629,2,199087.0,,,,1
E09000013,hammersmith and fulham,1999-12-01,25000.0,,28555,7,160634.0,,,,1
E09000014,haringey,1999-12-01,18783.0,,21683,5,218559.0,,,,1
E09000015,harrow,1999-12-01,20596.0,,22824,10,207909.0,,,,1
E09000016,havering,1999-12-01,17165.0,,18786,8,225712.0,,,,1
E09000017,hillingdon,1999-12-01,24002.0,,28854,11,245053.0,,,,1
E09000018,hounslow,1999-12-01,20155.0,,24602,14,214298.0,,,,1
E09000019,islington,1999-12-01,25113.0,,34180,2,175717.0,,,,1
E09000020,kensington and chelsea,1999-12-01,20646.0,,28074,13,147678.0,,,,1
E09000021,kingston upon thames,1999-12-01,19302.0,,22967,18,146003.0,,,,1
E09000022,lambeth,1999-12-01,23151.0,,27930,8,266817.0,,,,1
E09000023,lewisham,1999-12-01,20580.0,,23283,4,250310.0,,,,1
E09000024,merton,1999-12-01,18962.0,,21867,11,185062.0,,,,1
E09000025,newham,1999-12-01,18862.0,,20580,3,240517.0,,,,1
E09000026,redbridge,1999-12-01,19580.0,,22087,8,238138.0,,,,1
E09000027,richmond upon thames,1999-12-01,22321.0,,25832,na,172782.0,,,,1
E09000028,southwark,1999-12-01,22784.0,,26994,3,247853.0,,,,1
