IHDI Rank,Country,Human Development Index (HDI),Inequality-adjusted HDI (IHDI),IHDI Loss Percent,IHDI Rank Difference,Coefficient of Human Inequality,Inequality in Life Expectancy,Inequality-Adjusted Life Expectancy Index,Inequality in Education,Inequality-Adjusted Education Index,Inequality in Income,Inequality-Adjusted Income Index,Income Inequality (Quintile Ratio),Income Inequality (Palma Rati),Income Inequality (Gini Coefficient)
1.0,Norway,0.944,0.893,5.4,0,5.3,3.4,0.916,2.3,0.886,10.2,0.878,4.0,0.9,26.8
2.0,Australia,0.935,0.858,8.2,-2,7.9,4.2,0.920,1.9,0.914,17.7,0.752,5.8,1.3,34.0
3.0,Switzerland,0.93,0.861,7.4,0,7.3,3.9,0.931,5.7,0.816,12.3,0.839,5.2,1.2,32.4
4.0,Denmark,0.923,0.856,7.3,-1,7.1,4.0,0.889,3.0,0.897,14.4,0.787,4.0,0.9,26.9
5.0,Netherlands,0.922,0.861,6.6,3,6.5,3.9,0.911,4.1,0.858,11.6,0.817,4.5,1.0,28.9
6.0,Germany,0.916,0.853,6.9,0,6.7,3.7,0.902,2.4,0.871,14.1,0.790,4.7,1.1,30.6
6.0,Ireland,0.916,0.836,8.6,-3,8.5,3.7,0.902,5.4,0.858,16.3,0.756,5.3,1.2,32.1
8.0,United States,0.915,0.760,17.0,-20,15.7,6.2,0.853,5.3,0.842,35.6,0.610,9.8,2.0,41.1
9.0,Canada,0.913,0.832,8.8,-2,8.6,4.6,0.910,3.9,0.841,17.4,0.754,5.8,1.3,33.7
9.0,New Zealand,0.913,..,..,..,..,4.8,0.905,..,..,..,..,..,..,..
11.0,Singapore,0.912,..,..,..,..,2.8,0.942,..,..,..,..,..,..,..
12.0,"Hong Kong, China (SAR)",0.91,..,..,..,..,2.8,0.957,..,..,..,..,..,..,..
13.0,Liechtenstein,0.908,..,..,..,..,..,..,..,..,..,..,..,..,..
14.0,Sweden,0.907,0.846,6.7,3,6.5,3.1,0.927,3.5,0.813,13.1,0.804,3.7,0.9,26.1
14.0,United Kingdom,0.907,0.829,8.6,-2,8.4,4.5,0.892,2.8,0.860,17.8,0.742,7.6,1.7,38.0
16.0,Iceland,0.899,0.846,5.9,4,5.8,2.8,0.936,2.4,0.832,12.2,0.777,3.8,0.9,26.3
17.0,Korea (Republic of),0.898,0.751,16.4,-19,15.9,3.9,0.915,25.5,0.644,18.4,0.718,..,..,..
18.0,Israel,0.894,0.775,13.4,-9,12.9,3.8,0.923,9.9,0.776,25.0,0.649,10.3,2.2,42.8
19.0,Luxembourg,0.892,0.822,7.9,0,7.7,3.3,0.918,6.0,0.729,13.9,0.829,..,..,..
20.0,Japan,0.891,0.780,12.4,-5,12.2,3.2,0.945,19.8,0.649,13.5,0.773,5.4,1.2,32.1
21.0,Belgium,0.89,0.820,7.9,1,7.9,3.9,0.899,8.1,0.762,11.6,0.804,5.0,1.3,33.1
22.0,France,0.888,0.811,8.7,0,8.6,4.0,0.919,8.0,0.751,13.9,0.772,5.1,1.2,31.7
23.0,Austria,0.885,0.816,7.8,2,7.6,3.7,0.909,3.5,0.771,15.5,0.777,4.6,1.1,30.0
24.0,Finland,0.883,0.834,5.5,10,5.5,3.5,0.902,2.1,0.800,10.8,0.803,4.0,1.0,27.8
25.0,Slovenia,0.88,0.829,5.9,8,5.8,3.8,0.894,2.6,0.840,11.0,0.757,3.6,0.8,24.9
26.0,Spain,0.876,0.775,11.5,0,11.0,3.9,0.926,5.2,0.759,23.9,0.663,7.6,1.4,35.8
27.0,Italy,0.873,0.773,11.5,-1,11.3,3.4,0.938,10.6,0.700,19.8,0.702,6.9,1.4,35.5
28.0,Czech Republic,0.87,0.823,5.4,10,5.3,3.7,0.868,1.4,0.854,11.0,0.751,3.9,0.9,26.4
