Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,09/24/2016,120.0,130.0,120.0,130.0,CALIFORNIA,,lge,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,09/24/2016,120.0,130.0,120.0,130.0,CALIFORNIA,,med,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,10/01/2016,120.0,130.0,120.0,130.0,CALIFORNIA,,lge,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,10/01/2016,120.0,130.0,120.0,130.0,CALIFORNIA,,med,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,10/08/2016,120.0,130.0,120.0,130.0,CALIFORNIA,,lge,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,10/08/2016,120.0,130.0,120.0,130.0,CALIFORNIA,,med,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,10/15/2016,120.0,130.0,120.0,130.0,CALIFORNIA,,lge,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,10/15/2016,120.0,130.0,120.0,130.0,CALIFORNIA,,med,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,10/22/2016,120.0,130.0,120.0,130.0,CALIFORNIA,,lge,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,10/22/2016,120.0,130.0,120.0,130.0,CALIFORNIA,,med,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,10/29/2016,85.0,130.0,85.0,130.0,CALIFORNIA,,lge,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,10/29/2016,85.0,130.0,85.0,130.0,CALIFORNIA,,med,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,11/05/2016,80.0,90.0,80.0,90.0,CALIFORNIA,,lge,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,24 inch bins,HOWDEN TYPE,,,11/05/2016,80.0,90.0,80.0,90.0,CALIFORNIA,,med,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,36 inch bins,HOWDEN TYPE,,,09/16/2017,120.0,120.0,120.0,120.0,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,lge,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,36 inch bins,HOWDEN TYPE,,,09/23/2017,120.0,120.0,120.0,120.0,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,lge,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,36 inch bins,HOWDEN TYPE,,,09/30/2017,120.0,125.0,120.0,125.0,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,lge,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,36 inch bins,HOWDEN TYPE,,,09/30/2017,160.0,180.0,160.0,180.0,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,med-lge,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,36 inch bins,HOWDEN TYPE,,,09/30/2017,235.0,235.0,235.0,235.0,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,med,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,36 inch bins,HOWDEN TYPE,,,09/30/2017,275.0,375.0,275.0,375.0,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,sml,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,bins,HOWDEN TYPE,,,09/24/2016,125.0,150.0,125.0,150.0,CALIFORNIA,,med,,,PER BIN,,,,,,N,
PUMPKINS,LOS ANGELES,,36 inch bins,HOWDEN WHITE TYPE,,,09/09/2017,0.5,0.5,0.5,0.5,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,med,,,PER LB,,,,,,N,
PUMPKINS,LOS ANGELES,,36 inch bins,HOWDEN WHITE TYPE,,,09/16/2017,0.5,0.5,0.5,0.5,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,med,,,PER LB,,,,,,N,
PUMPKINS,LOS ANGELES,,36 inch bins,HOWDEN WHITE TYPE,,,09/23/2017,0.5,0.5,0.5,0.5,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,med,,,PER LB,,,,,,N,
PUMPKINS,LOS ANGELES,,36 inch bins,HOWDEN WHITE TYPE,,,09/30/2017,250.0,250.0,250.0,250.0,CALIFORNIA,CENTRAL SAN JOAQUIN VALLEY CALIFORNIA,med,,,PER BIN,,,,,,N,
