Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,09/24/2016,155.0,155.0,155.0,155.0,CALIFORNIA,,,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,10/01/2016,155.0,155.0,155.0,155.0,CALIFORNIA,,,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,10/01/2016,155.0,155.0,155.0,155.0,CALIFORNIA,,lge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,10/01/2016,135.0,135.0,135.0,135.0,CALIFORNIA,,sml,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,10/08/2016,135.0,150.0,135.0,150.0,CALIFORNIA,,lge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,10/08/2016,135.0,135.0,135.0,135.0,CALIFORNIA,,sml,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,10/15/2016,120.0,150.0,120.0,150.0,CALIFORNIA,,lge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,10/15/2016,120.0,150.0,120.0,150.0,CALIFORNIA,,med,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,10/15/2016,120.0,145.0,120.0,145.0,CALIFORNIA,,sml,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,10/22/2016,120.0,145.0,120.0,145.0,CALIFORNIA,,lge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,10/22/2016,120.0,150.0,120.0,150.0,CALIFORNIA,,med,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,10/22/2016,120.0,145.0,120.0,145.0,CALIFORNIA,,sml,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,10/29/2016,120.0,145.0,120.0,145.0,CALIFORNIA,,lge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,10/29/2016,110.0,150.0,110.0,150.0,CALIFORNIA,,med,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,10/29/2016,100.0,145.0,100.0,145.0,CALIFORNIA,,sml,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,11/05/2016,120.0,120.0,120.0,120.0,CALIFORNIA,,lge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,11/05/2016,110.0,120.0,110.0,120.0,CALIFORNIA,,med,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,11/05/2016,100.0,120.0,100.0,120.0,CALIFORNIA,,sml,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,11/12/2016,120.0,120.0,120.0,120.0,CALIFORNIA,,lge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,24 inch bins,HOWDEN TYPE,,,11/12/2016,110.0,120.0,110.0,120.0,CALIFORNIA,,med,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,Organic,24 inch bins,HOWDEN TYPE,,,10/22/2016,440.0,440.0,440.0,440.0,CALIFORNIA,,lge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,10/08/2016,135.0,150.0,135.0,150.0,CALIFORNIA,,jbo,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,10/08/2016,135.0,150.0,135.0,150.0,CALIFORNIA,,med,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,10/08/2016,135.0,150.0,135.0,150.0,CALIFORNIA,,sml,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,10/15/2016,135.0,150.0,135.0,150.0,CALIFORNIA,,jbo,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,10/15/2016,135.0,150.0,135.0,150.0,CALIFORNIA,,med,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,10/15/2016,135.0,150.0,135.0,150.0,CALIFORNIA,,sml,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,09/09/2017,140.0,140.0,140.0,140.0,CALIFORNIA,,xlge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,09/16/2017,140.0,175.0,140.0,175.0,CALIFORNIA,,xlge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,09/23/2017,175.0,175.0,175.0,175.0,CALIFORNIA,,xlge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,09/23/2017,120.0,120.0,120.0,120.0,CALIFORNIA,,lge,,,,,,,,,N,
PUMPKINS,SAN FRANCISCO,,36 inch bins,HOWDEN TYPE,,,09/23/2017,120.0,120.0,120.0,120.0,CALIFORNIA,,med,,,,,,,,,N,
