Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode,Offerings,Market Tone,Price Comment,Comments
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/26/2016,105.0,105.0,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/26/2016,105.0,105.0,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/27/2016,105.0,105.0,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/27/2016,105.0,105.0,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/28/2016,105.0,105.0,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/28/2016,105.0,105.0,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/29/2016,105.0,105.0,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/29/2016,105.0,105.0,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/30/2016,105.0,105.0,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/30/2016,105.0,105.0,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/26/2016,125.0,135.0,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/26/2016,135.0,135.0,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/26/2016,125.0,135.0,,,ILLINOIS,,med,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/26/2016,125.0,125.0,,,MICHIGAN,,xlge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/26/2016,125.0,125.0,,,MICHIGAN,,lge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/26/2016,125.0,125.0,,,MICHIGAN,,med,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/27/2016,125.0,135.0,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/27/2016,135.0,135.0,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/27/2016,125.0,135.0,,,ILLINOIS,,med,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/27/2016,125.0,125.0,,,MICHIGAN,,xlge,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/27/2016,125.0,125.0,,,MICHIGAN,,lge,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/27/2016,125.0,125.0,,,MICHIGAN,,med,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/28/2016,125.0,135.0,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/28/2016,135.0,135.0,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/28/2016,125.0,135.0,,,ILLINOIS,,med,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/28/2016,125.0,125.0,,,MICHIGAN,,xlge,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/28/2016,125.0,125.0,,,MICHIGAN,,lge,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/28/2016,125.0,125.0,,,MICHIGAN,,med,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/29/2016,125.0,135.0,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/29/2016,135.0,135.0,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/29/2016,125.0,135.0,,,ILLINOIS,,med,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/29/2016,125.0,125.0,,,MICHIGAN,,xlge,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/29/2016,125.0,125.0,,,MICHIGAN,,lge,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/29/2016,125.0,125.0,,,MICHIGAN,,med,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/30/2016,115.0,125.0,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/30/2016,115.0,115.0,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,LOWER.,,
