State,Uninsured Rate (2010),Uninsured Rate (2015),Uninsured Rate Change (2010-2015),Health Insurance Coverage Change (2010-2015),Employer Health Insurance Coverage (2015),Marketplace Health Insurance Coverage (2016),Marketplace Tax Credits (2016),Average Monthly Tax Credit (2016),State Medicaid Expansion (2016),Medicaid Enrollment (2013),Medicaid Enrollment (2016),Medicaid Enrollment Change (2013-2016),Medicare Enrollment (2016)
Alabama ,14.6%,10.1%, -4.5% ,215000,2545000,165534,152206,$310 ,False,799176.0,910775,111599.0,989855
Alaska ,19.9%,14.9%, -5% ,36000,390000,17995,16205,$750 ,True,122334.0,166625,44291.0,88966
Arizona ,16.9%,10.8%, -6.1% ,410000,3288000,179445,124346,$230 ,True,1201770.0,1716198,514428.0,1175624
Arkansas ,17.5%,9.5%, -8% ,234000,1365000,63357,56843,$306 ,True,556851.0,920194,363343.0,606146
California,18.5%,8.6%, -9.9% ,3826000,19552000,1415428,1239893,$309 ,True,7755381.0,11843081,4087700.0,5829777
Colorado,15.9%,8.1%, -7.8% ,419000,2949000,108311,67062,$318 ,True,783420.0,1375264,591844.0,820234
Connecticut,9.1%,6%, -3.1% ,110000,2148000,102917,80759,$357 ,True,,761137,,644136
Delaware ,9.7%,5.9%, -3.8% ,35000,564000,25379,21467,$330 ,True,223324.0,236702,13378.0,186835
District of Columbia,7.6%,3.8%, -3.8% ,25000,388000,17666,1224,$183 ,True,235786.0,255491,19705.0,90492
Florida ,21.3%,13.3%, -8% ,1597000,8847000,1531714,1428712,$305 ,False,3104996.0,3644673,539677.0,4149593
Georgia ,19.7%,13.9%, -5.8% ,581000,5240000,478016,427353,$291 ,False,1535090.0,1782301,247211.0,1574058
Hawaii,7.9%,4%, -3.9% ,54000,867000,13313,10958,$270 ,True,288357.0,341200,52843.0,252514
Idaho,17.7%,11%, -6.7% ,109000,836000,94270,82802,$265 ,False,238150.0,293905,55755.0,294284
Illinois ,13.8%,7.1%, -6.7% ,850000,7359000,335243,259701,$237 ,True,2626943.0,3117939,490996.0,2118300
Indiana ,14.8%,9.6%, -5.2% ,339000,3825000,168884,139437,$259 ,True,1120674.0,1489805,369131.0,1181014
Iowa ,9.3%,5%, -4.3% ,132000,1862000,48949,42595,$307 ,True,493515.0,619055,125540.0,587780
Kansas ,13.9%,9.1%, -4.8% ,137000,1659000,89566,75815,$247 ,False,378160.0,421638,43478.0,499753
Kentucky,15.3%,6%, -9.3% ,404000,2316000,74640,56488,$258 ,True,606805.0,1220788,613983.0,881938
Louisiana ,17.8%,11.9%, -5.9% ,269000,2295000,184403,170806,$362 ,True,1019787.0,1328708,308921.0,817272
Maine ,10.1%,8.4%, -1.7% ,22000,702000,75240,63896,$342 ,False,,273160,,315160
Maryland,11.3%,6.6%, -4.7% ,278000,3700000,135208,100844,$243 ,True,856297.0,1252304,396007.0,960848
Massachusetts,4.4%,2.8%, -1.6% ,107000,4232000,207121,157751,$190 ,True,1296359.0,1684328,387969.0,1252277
Michigan ,12.4%,6.1%, -6.3% ,618000,5876000,313123,275080,$233 ,True,1912009.0,2300958,388949.0,1947787
Minnesota,9.1%,4.5%, -4.6% ,250000,3319000,74060,47266,$203 ,True,873040.0,1051509,178469.0,944222
Mississippi ,18.2%,12.7%, -5.5% ,161000,1326000,77747,73246,$306 ,False,637229.0,693869,56640.0,571699
Missouri ,13.2%,9.8%, -3.4% ,203000,3389000,252044,225878,$315 ,False,846084.0,967284,121200.0,1163543
Montana ,17.3%,11.6%, -5.7% ,58000,510000,51758,44091,$306 ,True,148974.0,224048,75074.0,209389
Nebraska ,11.5%,8.2%, -3.3% ,62000,1100000,80213,72091,$296 ,False,244600.0,242702,-1898.0,322796
Nevada,22.6%,12.3%, -10.3% ,294000,1505000,79876,71472,$268 ,True,332560.0,614298,281738.0,471747
New Hampshire ,11.1%,6.3%, -4.8% ,63000,853000,49114,31151,$261 ,True,127082.0,189429,62347.0,275803
New Jersey ,13.2%,8.7%, -4.5% ,398000,5450000,249395,205242,$322 ,True,1283851.0,1784529,500678.0,1528961
New Mexico,19.6%,10.9%, -8.7% ,178000,884000,47497,32703,$212 ,True,457678.0,766732,309054.0,385918
New York,11.9%,7.1%, -4.8% ,939000,10895000,224014,123830,$178 ,True,5678417.0,6431165,752748.0,3424666
North Carolina ,16.8%,11.2%, -5.6% ,552000,4934000,545354,499178,$401 ,False,1595952.0,2072282,476330.0,1823454
North Dakota ,9.8%,7.8%, -2% ,15000,450000,20536,17630,$262 ,True,69980.0,89763,19783.0,122294
Ohio ,12.3%,6.5%, -5.8% ,664000,6831000,212046,174448,$250 ,True,2341481.0,3003170,661689.0,2208504
Oklahoma ,18.9%,13.9%, -5% ,192000,1948000,130178,113209,$298 ,False,790051.0,788544,-1507.0,693677
Oregon,17.1%,7%, -10.1% ,403000,2070000,131167,95507,$253 ,True,626356.0,1021862,395506.0,784032
Pennsylvania ,10.2%,6.4%, -3.8% ,479000,7502000,412347,321345,$248 ,True,2386046.0,2883114,497068.0,2588577
Rhode Island,12.2%,5.7%, -6.5% ,68000,597000,35583,30015,$250 ,True,190833.0,287173,96340.0,208324
South Carolina ,17.5%,10.9%, -6.6% ,317000,2487000,204846,186345,$312 ,False,889744.0,994804,105060.0,974114
South Dakota ,12.4%,10.2%, -2.2% ,19000,449000,24578,22005,$307 ,False,115501.0,119835,4334.0,161464
Tennessee ,14.4%,10.3%, -4.1% ,266000,3369000,231705,203112,$299 ,False,1244516.0,1627100,382584.0,1266920
Texas ,23.7%,17.1%, -6.6% ,1781000,13709000,1092650,913177,$271 ,False,4441605.0,4770229,328624.0,3765946
Utah ,15.3%,10.5%, -4.8% ,143000,1897000,164415,145288,$187 ,False,294029.0,314182,20153.0,358887
Vermont,8%,3.8%, -4.2% ,26000,345000,27883,19575,$300 ,True,161081.0,175597,14516.0,136021
Virginia ,13.1%,9.1%, -4% ,327000,4850000,378838,319068,$276 ,False,935434.0,988821,53387.0,1392261
Washington,14.2%,6.6%, -7.6% ,537000,3986000,158245,110476,$238 ,True,1117576.0,1788536,670960.0,1238649
West Virginia ,14.6%,6%, -8.6% ,156000,976000,33235,29163,$388 ,True,354544.0,575645,221101.0,423500
Wisconsin ,9.4%,5.7%, -3.7% ,211000,3521000,224208,190542,$332 ,False,985531.0,1046897,61366.0,1084854
Wyoming,14.9%,11.5%, -3.4% ,20000,335000,22076,20313,$459 ,False,67518.0,63583,-3935.0,99128
United States,15.5%,9.4%,6.1%,19304000,172292000,11081330,9389609,$291 ,,56392477.0,73532931,16106157.0,57149984
