realtime_end,date,realtime_start,value
2018-12-07,1993-01-01,2018-12-07,31283
2018-12-07,1993-02-01,2018-12-07,30264
2018-12-07,1993-03-01,2018-12-07,33794
2018-12-07,1993-04-01,2018-12-07,37257
2018-12-07,1993-05-01,2018-12-07,40124
2018-12-07,1993-06-01,2018-12-07,43842
2018-12-07,1993-07-01,2018-12-07,44682
2018-12-07,1993-08-01,2018-12-07,46866
2018-12-07,1993-09-01,2018-12-07,47755
2018-12-07,1993-10-01,2018-12-07,45361
2018-12-07,1993-11-01,2018-12-07,44786
2018-12-07,1993-12-01,2018-12-07,39535
2018-12-07,1994-01-01,2018-12-07,34917
2018-12-07,1994-02-01,2018-12-07,33222
2018-12-07,1994-03-01,2018-12-07,38215
2018-12-07,1994-04-01,2018-12-07,41754
2018-12-07,1994-05-01,2018-12-07,45711
2018-12-07,1994-06-01,2018-12-07,49032
2018-12-07,1994-07-01,2018-12-07,49545
2018-12-07,1994-08-01,2018-12-07,51516
2018-12-07,1994-09-01,2018-12-07,51718
2018-12-07,1994-10-01,2018-12-07,49135
2018-12-07,1994-11-01,2018-12-07,46719
2018-12-07,1994-12-01,2018-12-07,40406
2018-12-07,1995-01-01,2018-12-07,37206
2018-12-07,1995-02-01,2018-12-07,35250
2018-12-07,1995-03-01,2018-12-07,40016
2018-12-07,1995-04-01,2018-12-07,42824
2018-12-07,1995-05-01,2018-12-07,46615
2018-12-07,1995-06-01,2018-12-07,49804
2018-12-07,1995-07-01,2018-12-07,50219
2018-12-07,1995-08-01,2018-12-07,52628
2018-12-07,1995-09-01,2018-12-07,53028
2018-12-07,1995-10-01,2018-12-07,51372
2018-12-07,1995-11-01,2018-12-07,48163
2018-12-07,1995-12-01,2018-12-07,41542
2018-12-07,1996-01-01,2018-12-07,39356
2018-12-07,1996-02-01,2018-12-07,37391
2018-12-07,1996-03-01,2018-12-07,42052
2018-12-07,1996-04-01,2018-12-07,46865
2018-12-07,1996-05-01,2018-12-07,51598
2018-12-07,1996-06-01,2018-12-07,54703
2018-12-07,1996-07-01,2018-12-07,55430
2018-12-07,1996-08-01,2018-12-07,57488
2018-12-07,1996-09-01,2018-12-07,58544
2018-12-07,1996-10-01,2018-12-07,57456
2018-12-07,1996-11-01,2018-12-07,53498
2018-12-07,1996-12-01,2018-12-07,45313
2018-12-07,1997-01-01,2018-12-07,41882
2018-12-07,1997-02-01,2018-12-07,40788
2018-12-07,1997-03-01,2018-12-07,45704
2018-12-07,1997-04-01,2018-12-07,48998
2018-12-07,1997-05-01,2018-12-07,53617
2018-12-07,1997-06-01,2018-12-07,56977
2018-12-07,1997-07-01,2018-12-07,58826
2018-12-07,1997-08-01,2018-12-07,60682
2018-12-07,1997-09-01,2018-12-07,61323
2018-12-07,1997-10-01,2018-12-07,60053
2018-12-07,1997-11-01,2018-12-07,54968
2018-12-07,1997-12-01,2018-12-07,48031
2018-12-07,1998-01-01,2018-12-07,44409
2018-12-07,1998-02-01,2018-12-07,43150
2018-12-07,1998-03-01,2018-12-07,49602
2018-12-07,1998-04-01,2018-12-07,54017
2018-12-07,1998-05-01,2018-12-07,57723
2018-12-07,1998-06-01,2018-12-07,64393
2018-12-07,1998-07-01,2018-12-07,64381
2018-12-07,1998-08-01,2018-12-07,66137
2018-12-07,1998-09-01,2018-12-07,66544
2018-12-07,1998-10-01,2018-12-07,64600
2018-12-07,1998-11-01,2018-12-07,60469
2018-12-07,1998-12-01,2018-12-07,53095
2018-12-07,1999-01-01,2018-12-07,48746
2018-12-07,1999-02-01,2018-12-07,48824
2018-12-07,1999-03-01,2018-12-07,55607
2018-12-07,1999-04-01,2018-12-07,58654
2018-12-07,1999-05-01,2018-12-07,62209
2018-12-07,1999-06-01,2018-12-07,67545
2018-12-07,1999-07-01,2018-12-07,68522
2018-12-07,1999-08-01,2018-12-07,69975
2018-12-07,1999-09-01,2018-12-07,70034
2018-12-07,1999-10-01,2018-12-07,68669
2018-12-07,1999-11-01,2018-12-07,66684
2018-12-07,1999-12-01,2018-12-07,59082
2018-12-07,2000-01-01,2018-12-07,53782
2018-12-07,2000-02-01,2018-12-07,53993
2018-12-07,2000-03-01,2018-12-07,61295
2018-12-07,2000-04-01,2018-12-07,64524
2018-12-07,2000-05-01,2018-12-07,69253
2018-12-07,2000-06-01,2018-12-07,72715
2018-12-07,2000-07-01,2018-12-07,71774
2018-12-07,2000-08-01,2018-12-07,76132
2018-12-07,2000-09-01,2018-12-07,75153
2018-12-07,2000-10-01,2018-12-07,73550
2018-12-07,2000-11-01,2018-12-07,69677
2018-12-07,2000-12-01,2018-12-07,60910
2018-12-07,2001-01-01,2018-12-07,56855
2018-12-07,2001-02-01,2018-12-07,55529
2018-12-07,2001-03-01,2018-12-07,62808
2018-12-07,2001-04-01,2018-12-07,67787
2018-12-07,2001-05-01,2018-12-07,72920
2018-12-07,2001-06-01,2018-12-07,78004
2018-12-07,2001-07-01,2018-12-07,78281
2018-12-07,2001-08-01,2018-12-07,79916
2018-12-07,2001-09-01,2018-12-07,76605
2018-12-07,2001-10-01,2018-12-07,76302
2018-12-07,2001-11-01,2018-12-07,71543
2018-12-07,2001-12-01,2018-12-07,63697
2018-12-07,2002-01-01,2018-12-07,59516
2018-12-07,2002-02-01,2018-12-07,58588
2018-12-07,2002-03-01,2018-12-07,63782
2018-12-07,2002-04-01,2018-12-07,69504
2018-12-07,2002-05-01,2018-12-07,73384
2018-12-07,2002-06-01,2018-12-07,77182
2018-12-07,2002-07-01,2018-12-07,78863
2018-12-07,2002-08-01,2018-12-07,79460
2018-12-07,2002-09-01,2018-12-07,76542
2018-12-07,2002-10-01,2018-12-07,75710
2018-12-07,2002-11-01,2018-12-07,71362
2018-12-07,2002-12-01,2018-12-07,63984
2018-12-07,2003-01-01,2018-12-07,59877
2018-12-07,2003-02-01,2018-12-07,58526
2018-12-07,2003-03-01,2018-12-07,64506
2018-12-07,2003-04-01,2018-12-07,69638
2018-12-07,2003-05-01,2018-12-07,74473
2018-12-07,2003-06-01,2018-12-07,80377
2018-12-07,2003-07-01,2018-12-07,82971
2018-12-07,2003-08-01,2018-12-07,85191
2018-12-07,2003-09-01,2018-12-07,83841
2018-12-07,2003-10-01,2018-12-07,83133
2018-12-07,2003-11-01,2018-12-07,77915
2018-12-07,2003-12-01,2018-12-07,71050
2018-12-07,2004-01-01,2018-12-07,64934
2018-12-07,2004-02-01,2018-12-07,64138
2018-12-07,2004-03-01,2018-12-07,73238
2018-12-07,2004-04-01,2018-12-07,78354
2018-12-07,2004-05-01,2018-12-07,83736
2018-12-07,2004-06-01,2018-12-07,89932
2018-12-07,2004-07-01,2018-12-07,93614
2018-12-07,2004-08-01,2018-12-07,96164
2018-12-07,2004-09-01,2018-12-07,92538
2018-12-07,2004-10-01,2018-12-07,90582
2018-12-07,2004-11-01,2018-12-07,86394
2018-12-07,2004-12-01,2018-12-07,77733
2018-12-07,2005-01-01,2018-12-07,72458
2018-12-07,2005-02-01,2018-12-07,73094
2018-12-07,2005-03-01,2018-12-07,81791
2018-12-07,2005-04-01,2018-12-07,88032
2018-12-07,2005-05-01,2018-12-07,93704
2018-12-07,2005-06-01,2018-12-07,100678
2018-12-07,2005-07-01,2018-12-07,103875
2018-12-07,2005-08-01,2018-12-07,107453
