indicator_name,indicator_code,country_name,country_code,value,year
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Mozambique,MOZ,69.4,1996-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mozambique, Cabo Delgado",MOZ_Cabo_Delgado_MZ.CD_2112.1_MOZ001,57.4,1996-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mozambique, Gaza",MOZ_Gaza_MZ.GA_2113.1_MOZ002,64.6,1996-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mozambique, Inhambane",MOZ_Inhambane_MZ.IN_2114.1_MOZ003,82.6,1996-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mozambique, Manica",MOZ_Manica_MZ.MN_2115.1_MOZ004,62.6,1996-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mozambique, Maputo",MOZ_Maputo_MZ.MA_2116.1_MOZ005,65.6,1996-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mozambique, Maputo city",MOZ_Maputo_City_MZ.MC_2117.1_MOZ006,47.8,1996-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mozambique, Nampula",MOZ_Nampula_MZ.NM_2118.1_MOZ007,68.9,1996-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mozambique, Niassa",MOZ_Niassa_MZ.NS_2119.1_MOZ008,70.6,1996-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mozambique, Sofala",MOZ_Sofala_MZ.SO_2120_MOZ009,87.9,1996-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mozambique, Tete",MOZ_Tete_MZ.TE_2121_MOZ010,82.3,1996-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Mozambique, Zambezia",MOZ_Zambezia_MZ.ZA_2122_MOZ011,68.1,1996-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Bangladesh,BGD,48.9,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Bangladesh, Barisal",BGD_Barisal_BD.BA_574_BGD001,53.1,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Bangladesh, Chittagong",BGD_Chittagong_BD.CG_576_BGD002,45.7,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Bangladesh, Dhaka",BGD_Dhaka_BD.DA_577_BGD003,46.7,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Bangladesh, Khulna",BGD_Khulna_BD.KH_578_BGD004,45.1,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Bangladesh, Rajshahi",BGD_Rajshahi_BD.RJ_579_BGD005,56.7,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Bangladesh, Sylhet",BGD_Sylhet_BD.SY_580_BGD006,42.4,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Chile,CHL,20.2,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Chile, Antofagasta",CHL_Antofagasta_CL.AN_883_CHL001,13.4,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Chile, Araucania",CHL_Araucania_CL.AR_884_CHL002,32.7,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Chile, Atacama",CHL_Atacama_CL.AT_885_CHL003,23.9,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Chile, Aysen Del Gen.d.c.",CHL_Aysen_Del_Gen.d.c_CL.AY_886_CHL004,14.3,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Chile, Bio Bio",CHL_Bio_Bio_CL.BO_887_CHL005,27.1,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Chile, Coquimbo",CHL_Coquimbo_CL.CO_888_CHL006,24.8,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Chile, Libertador General Bernardo O'Higgins",CHL_Libertador_Bernardo_O_Higgins_CL.CL_889_CHL007,20.9,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Chile, Los Lagos",CHL_Los_Lagos_CL.LL_890_CHL008,25.6,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Chile, Magallanes",CHL_Magallanes_CL.MA_891_CHL009,11.1,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Chile, Maule",CHL_Maule_CL.MU_892_CHL010,25.3,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Chile, Metropolitana",CHL_Metropolitana_CL.ME_893_CHL011,15.1,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Chile, Tarapaca",CHL_Tarapaca_CL.TA_895_CHL013,20.8,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Chile, Valparaiso",CHL_Valparaiso_CL.VA_896_CHL014,18.8,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Dominican Republic,DOM,32.0,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Cibao Nordeste",DOM_Cibao_Nordeste_AGG029,35.9,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Cibao Noroeste",DOM_Cibao_Noroeste_AGG230.1,45.6,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Cibao Norte",DOM_Cibao_Norte_AGG030,21.1,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Cibao Sur",DOM_Cibao_Sur_AGG031,36.5,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, El Valle",DOM_El_Valle_AGG032,71.7,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Enriquillo",DOM_Enriquillo_AGG033,54.5,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Higuamo",DOM_Higuamo_AGG034,47.0,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Ozama",DOM_Ozama_AGG035,16.4,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Valdesia",DOM_Valdesia_AGG036,47.2,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Dominican Republic, Yuma",DOM_Yuma_AGG037,30.6,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Egypt, Arab Rep.",EGY,16.7,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,Tunisia,TUN,32.4,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Tunisia, Centre Est",TUN_Centre_Est_AGG070,21.4,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Tunisia, Centre Ouest",TUN_Centre_Ouest_AGG075,49.3,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Tunisia, Grand Tunis",TUN_Grand_Tunis_AGG075_5,21.0,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Tunisia, Nord Est",TUN_Nord_Est_AGG071,32.1,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Tunisia, Nord Ouest",TUN_Nord_Ouest_AGG072,35.3,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Tunisia, Sud Est",TUN_Sud_Est_AGG073,44.3,2000-01-01
Poverty headcount ratio at national poverty line (% of population),SI.POV.NAHC,"Tunisia, Sud Quest",TUN_Sud_Quest_AGG074,47.8,2000-01-01
