name,country,subcountry,geonameid
les Escaldes,Andorra,Escaldes-Engordany,3040051.0
Andorra la Vella,Andorra,Andorra la Vella,3041563.0
Umm al Qaywayn,United Arab Emirates,Umm al Qaywayn,290594.0
Ras al-Khaimah,United Arab Emirates,Raʼs al Khaymah,291074.0
Khawr Fakkān,United Arab Emirates,Ash Shāriqah,291696.0
Dubai,United Arab Emirates,Dubai,292223.0
Dibba Al-Fujairah,United Arab Emirates,Al Fujayrah,292231.0
Dibba Al-Hisn,United Arab Emirates,Al Fujayrah,292239.0
Sharjah,United Arab Emirates,Ash Shāriqah,292672.0
Ar Ruways,United Arab Emirates,Abu Dhabi,292688.0
Al Fujayrah,United Arab Emirates,Al Fujayrah,292878.0
Al Ain,United Arab Emirates,Abu Dhabi,292913.0
Ajman,United Arab Emirates,Ajman,292932.0
Adh Dhayd,United Arab Emirates,Ash Shāriqah,292953.0
Abu Dhabi,United Arab Emirates,Abu Dhabi,292968.0
Zaranj,Afghanistan,Nīmrūz,1120985.0
Taloqan,Afghanistan,Takhār,1123004.0
Shīnḏanḏ,Afghanistan,Herat,1125155.0
Shibirghān,Afghanistan,Jowzjān,1125444.0
Shahrak,Afghanistan,Ghowr,1125896.0
Sar-e Pul,Afghanistan,Sar-e Pol,1127110.0
Sang-e Chārak,Afghanistan,Sar-e Pol,1127628.0
Aībak,Afghanistan,Samangān,1127768.0
Rustāq,Afghanistan,Takhār,1128265.0
Qarqīn,Afghanistan,Jowzjān,1129516.0
Qarāwul,Afghanistan,Kunduz,1129648.0
Pul-e Khumrī,Afghanistan,Wilāyat-e Baghlān,1130490.0
Paghmān,Afghanistan,Kabul,1131316.0
Nahrīn,Afghanistan,Wilāyat-e Baghlān,1132495.0
Maymana,Afghanistan,Faryab,1133453.0
Mehtar Lām,Afghanistan,Laghmān,1133574.0
Mazār-e Sharīf,Afghanistan,Balkh,1133616.0
Lashkar Gāh,Afghanistan,Helmand,1134720.0
Kushk,Afghanistan,Herat,1135158.0
Kunduz,Afghanistan,Kunduz,1135689.0
Khōst,Afghanistan,Khowst,1136469.0
Khulm,Afghanistan,Balkh,1136575.0
Khāsh,Afghanistan,Nīmrūz,1136863.0
Khanabad,Afghanistan,Kunduz,1137168.0
Karukh,Afghanistan,Herat,1137807.0
Kandahār,Afghanistan,Kandahār,1138336.0
Kabul,Afghanistan,Kabul,1138958.0
Jalālābād,Afghanistan,Nangarhār,1139715.0
Jabal os Saraj,Afghanistan,Parvān,1139807.0
Herāt,Afghanistan,Herat,1140026.0
Ghormach,Afghanistan,Badghis,1141089.0
Ghazni,Afghanistan,Ghaznī,1141269.0
Gereshk,Afghanistan,Helmand,1141540.0
Gardēz,Afghanistan,Paktia,1141857.0
Fayzabad,Afghanistan,Badakhshan,1142170.0
Farah,Afghanistan,Farah,1142264.0
Kafir Qala,Afghanistan,Herat,1142404.0
Charikar,Afghanistan,Parvān,1145352.0
Barakī Barak,Afghanistan,Lowgar,1147066.0
Bāmyān,Afghanistan,Bāmīān,1147242.0
Balkh,Afghanistan,Balkh,1147290.0
Baghlān,Afghanistan,Wilāyat-e Baghlān,1147540.0
Ārt Khwājah,Afghanistan,Takhār,1148106.0
Āsmār,Afghanistan,Konar,1148205.0
Asadābād,Afghanistan,Konar,1148311.0
Andkhōy,Afghanistan,Faryab,1148658.0
Bāzārak,Afghanistan,Panjshir,1429434.0
Markaz-e Woluswalī-ye Āchīn,Afghanistan,Nangarhār,1469706.0
Saint John’s,Antigua and Barbuda,Saint John,3576022.0
The Valley,Anguilla,?,3573374.0
Sarandë,Albania,Vlorë,363243.0
Kukës,Albania,Kukës,782661.0
Korçë,Albania,Korçë,782756.0
Gjirokastër,Albania,Gjirokastër,783148.0
Elbasan,Albania,Elbasan,783263.0
Burrel,Albania,Dibër,783493.0
Vlorë,Albania,Vlorë,3183719.0
Tirana,Albania,Tiranë,3183875.0
Shkodër,Albania,Shkodër,3184081.0
Patos Fshat,Albania,Fier,3184517.0
Lushnjë,Albania,Fier,3184862.0
Lezhë,Albania,Lezhë,3184935.0
Laç,Albania,Lezhë,3185012.0
Kuçovë,Albania,Berat,3185060.0
Krujë,Albania,Durrës,3185082.0
Kavajë,Albania,Tiranë,3185211.0
Fier-Çifçi,Albania,Fier,3185670.0
Fier,Albania,Fier,3185672.0
Durrës,Albania,Durrës,3185728.0
Berat,Albania,Berat,3186084.0
Kapan,Armenia,Syunik Province,174875.0
Goris,Armenia,Syunik Province,174895.0
Hats’avan,Armenia,Syunik Province,174972.0
Artashat,Armenia,Ararat Province,174979.0
Ararat,Armenia,Ararat Province,174991.0
Yerevan,Armenia,Yerevan,616052.0
Ejmiatsin,Armenia,Armavir Province,616062.0
Spitak,Armenia,Lori Province,616199.0
Sevan,Armenia,Gegharkunik Province,616250.0
Masis,Armenia,Ararat Province,616435.0
Vanadzor,Armenia,Lori Province,616530.0
Gavarr,Armenia,Gegharkunik Province,616599.0
Hrazdan,Armenia,Kotayk Province,616629.0
Armavir,Armenia,Armavir Province,616631.0
Gyumri,Armenia,Shirak Province,616635.0
Ashtarak,Armenia,Aragatsotn Province,616877.0
Abovyan,Armenia,Kotayk Province,617026.0
Saurimo,Angola,Lunda Sul,145531.0
Lucapa,Angola,Lunda Norte,145724.0
Luau,Angola,Moxico,876177.0
Uíge,Angola,Uíge,2236568.0
Soio,Angola,Zaire,2236967.0
Nzeto,Angola,Zaire,2239001.0
N’dalatando,Angola,Cuanza Norte,2239076.0
Mbanza Congo,Angola,Zaire,2239520.0
Malanje,Angola,Malanje,2239862.0
Luanda,Angola,Luanda,2240449.0
Caxito,Angola,Bengo,2242001.0
Cabinda,Angola,Cabinda,2243271.0
Sumbe,Angola,Cuanza Sul,3346015.0
Namibe,Angola,Namibe,3347019.0
Menongue,Angola,Cuando Cubango,3347353.0
Luena,Angola,Moxico,3347719.0
Lubango,Angola,Huíla,3347762.0
Longonjo,Angola,Huambo,3347853.0
Lobito,Angola,Benguela,3347939.0
Cuito,Angola,Bié,3348078.0
Huambo,Angola,Huambo,3348313.0
Catumbela,Angola,Benguela,3350246.0
Catabola,Angola,Bié,3350372.0
Camacupa,Angola,Bié,3351014.0
Caluquembe,Angola,Huíla,3351024.0
Caála,Angola,Huambo,3351500.0
Benguela,Angola,Benguela,3351663.0
Zárate,Argentina,Buenos Aires,3427213.0
