Week_end,Indicator,High_industry,Value
2019-05-05,Number of paid jobs - 20 days,Total,1828160.0
2019-05-05,Number of paid jobs - 20 days,A Primary,79880.0
2019-05-05,Number of paid jobs - 20 days,B Goods Producing,344320.0
2019-05-05,Number of paid jobs - 20 days,C Services,1389220.0
2019-05-05,Number of paid jobs - 20 days,Z No Match,14730.0
2019-05-05,Weekly earnings - median - 20 days,Total,969.38
2019-05-05,Weekly earnings - median - 20 days,A Primary,936.24
2019-05-05,Weekly earnings - median - 20 days,B Goods Producing,1105.55
2019-05-05,Weekly earnings - median - 20 days,C Services,936.0
2019-05-05,Weekly earnings - median - 20 days,Z No Match,517.5
2019-05-05,Weekly earnings - upper quartile - 20 days,Total,1384.62
2019-05-05,Weekly earnings - upper quartile - 20 days,A Primary,1261.86
2019-05-05,Weekly earnings - upper quartile - 20 days,B Goods Producing,1450.0
2019-05-05,Weekly earnings - upper quartile - 20 days,C Services,1375.0
2019-05-05,Weekly earnings - upper quartile - 20 days,Z No Match,897.24
2019-05-05,Weekly earnings - lower quartile - 20 days,Total,620.88
2019-05-05,Weekly earnings - lower quartile - 20 days,A Primary,611.71
2019-05-05,Weekly earnings - lower quartile - 20 days,B Goods Producing,837.65
2019-05-05,Weekly earnings - lower quartile - 20 days,C Services,558.21
2019-05-05,Weekly earnings - lower quartile - 20 days,Z No Match,209.85
2019-05-12,Number of paid jobs - 20 days,Total,1821610.0
2019-05-12,Number of paid jobs - 20 days,A Primary,77540.0
2019-05-12,Number of paid jobs - 20 days,B Goods Producing,341110.0
2019-05-12,Number of paid jobs - 20 days,C Services,1389260.0
2019-05-12,Number of paid jobs - 20 days,Z No Match,13700.0
2019-05-12,Weekly earnings - median - 20 days,Total,961.74
2019-05-12,Weekly earnings - median - 20 days,A Primary,923.0
2019-05-12,Weekly earnings - median - 20 days,B Goods Producing,1109.31
2019-05-12,Weekly earnings - median - 20 days,C Services,927.21
2019-05-12,Weekly earnings - median - 20 days,Z No Match,500.0
2019-05-12,Weekly earnings - upper quartile - 20 days,Total,1379.33
2019-05-12,Weekly earnings - upper quartile - 20 days,A Primary,1250.0
2019-05-12,Weekly earnings - upper quartile - 20 days,B Goods Producing,1452.57
2019-05-12,Weekly earnings - upper quartile - 20 days,C Services,1365.38
2019-05-12,Weekly earnings - upper quartile - 20 days,Z No Match,881.3
2019-05-12,Weekly earnings - lower quartile - 20 days,Total,612.61
2019-05-12,Weekly earnings - lower quartile - 20 days,A Primary,594.64
2019-05-12,Weekly earnings - lower quartile - 20 days,B Goods Producing,840.0
2019-05-12,Weekly earnings - lower quartile - 20 days,C Services,550.0
2019-05-12,Weekly earnings - lower quartile - 20 days,Z No Match,200.02
2019-05-19,Number of paid jobs - 20 days,Total,1815900.0
2019-05-19,Number of paid jobs - 20 days,A Primary,78170.0
2019-05-19,Number of paid jobs - 20 days,B Goods Producing,341240.0
2019-05-19,Number of paid jobs - 20 days,C Services,1382280.0
2019-05-19,Number of paid jobs - 20 days,Z No Match,14200.0
2019-05-19,Weekly earnings - median - 20 days,Total,973.88
2019-05-19,Weekly earnings - median - 20 days,A Primary,936.43
2019-05-19,Weekly earnings - median - 20 days,B Goods Producing,1108.82
2019-05-19,Weekly earnings - median - 20 days,C Services,941.0
2019-05-19,Weekly earnings - median - 20 days,Z No Match,513.22
2019-05-19,Weekly earnings - upper quartile - 20 days,Total,1394.23
2019-05-19,Weekly earnings - upper quartile - 20 days,A Primary,1273.25
2019-05-19,Weekly earnings - upper quartile - 20 days,B Goods Producing,1452.79
2019-05-19,Weekly earnings - upper quartile - 20 days,C Services,1384.6
2019-05-19,Weekly earnings - upper quartile - 20 days,Z No Match,900.0
2019-05-19,Weekly earnings - lower quartile - 20 days,Total,624.27
2019-05-19,Weekly earnings - lower quartile - 20 days,A Primary,610.2
2019-05-19,Weekly earnings - lower quartile - 20 days,B Goods Producing,839.44
2019-05-19,Weekly earnings - lower quartile - 20 days,C Services,562.5
2019-05-19,Weekly earnings - lower quartile - 20 days,Z No Match,207.39
2019-05-26,Number of paid jobs - 20 days,Total,1840800.0
2019-05-26,Number of paid jobs - 20 days,A Primary,77640.0
2019-05-26,Number of paid jobs - 20 days,B Goods Producing,342170.0
2019-05-26,Number of paid jobs - 20 days,C Services,1406540.0
2019-05-26,Number of paid jobs - 20 days,Z No Match,14460.0
2019-05-26,Weekly earnings - median - 20 days,Total,970.8
2019-05-26,Weekly earnings - median - 20 days,A Primary,951.84
2019-05-26,Weekly earnings - median - 20 days,B Goods Producing,1111.5
2019-05-26,Weekly earnings - median - 20 days,C Services,937.1
2019-05-26,Weekly earnings - median - 20 days,Z No Match,504.45
2019-05-26,Weekly earnings - upper quartile - 20 days,Total,1389.21
2019-05-26,Weekly earnings - upper quartile - 20 days,A Primary,1283.85
2019-05-26,Weekly earnings - upper quartile - 20 days,B Goods Producing,1457.32
2019-05-26,Weekly earnings - upper quartile - 20 days,C Services,1377.54
2019-05-26,Weekly earnings - upper quartile - 20 days,Z No Match,892.49
2019-05-26,Weekly earnings - lower quartile - 20 days,Total,623.36
2019-05-26,Weekly earnings - lower quartile - 20 days,A Primary,632.38
2019-05-26,Weekly earnings - lower quartile - 20 days,B Goods Producing,840.0
2019-05-26,Weekly earnings - lower quartile - 20 days,C Services,561.99
2019-05-26,Weekly earnings - lower quartile - 20 days,Z No Match,205.0
2019-06-02,Number of paid jobs - 20 days,Total,1861190.0
2019-06-02,Number of paid jobs - 20 days,A Primary,77570.0
2019-06-02,Number of paid jobs - 20 days,B Goods Producing,344700.0
2019-06-02,Number of paid jobs - 20 days,C Services,1422480.0
2019-06-02,Number of paid jobs - 20 days,Z No Match,16450.0
2019-06-02,Weekly earnings - median - 20 days,Total,962.5
2019-06-02,Weekly earnings - median - 20 days,A Primary,928.85
2019-06-02,Weekly earnings - median - 20 days,B Goods Producing,1090.87
2019-06-02,Weekly earnings - median - 20 days,C Services,934.0
2019-06-02,Weekly earnings - median - 20 days,Z No Match,523.91
2019-06-02,Weekly earnings - upper quartile - 20 days,Total,1379.28
2019-06-02,Weekly earnings - upper quartile - 20 days,A Primary,1285.0
2019-06-02,Weekly earnings - upper quartile - 20 days,B Goods Producing,1435.29
2019-06-02,Weekly earnings - upper quartile - 20 days,C Services,1373.64
2019-06-02,Weekly earnings - upper quartile - 20 days,Z No Match,903.78
2019-06-02,Weekly earnings - lower quartile - 20 days,Total,616.52
2019-06-02,Weekly earnings - lower quartile - 20 days,A Primary,600.0
2019-06-02,Weekly earnings - lower quartile - 20 days,B Goods Producing,828.0
2019-06-02,Weekly earnings - lower quartile - 20 days,C Services,558.67
2019-06-02,Weekly earnings - lower quartile - 20 days,Z No Match,215.46
2019-06-09,Number of paid jobs - 20 days,Total,1855820.0
2019-06-09,Number of paid jobs - 20 days,A Primary,75510.0
2019-06-09,Number of paid jobs - 20 days,B Goods Producing,344530.0
2019-06-09,Number of paid jobs - 20 days,C Services,1417940.0
2019-06-09,Number of paid jobs - 20 days,Z No Match,17840.0
2019-06-09,Weekly earnings - median - 20 days,Total,978.7
2019-06-09,Weekly earnings - median - 20 days,A Primary,944.72
2019-06-09,Weekly earnings - median - 20 days,B Goods Producing,1102.76
2019-06-09,Weekly earnings - median - 20 days,C Services,950.0
2019-06-09,Weekly earnings - median - 20 days,Z No Match,553.88
2019-06-09,Weekly earnings - upper quartile - 20 days,Total,1387.5
2019-06-09,Weekly earnings - upper quartile - 20 days,A Primary,1269.24
2019-06-09,Weekly earnings - upper quartile - 20 days,B Goods Producing,1444.0
2019-06-09,Weekly earnings - upper quartile - 20 days,C Services,1382.21
2019-06-09,Weekly earnings - upper quartile - 20 days,Z No Match,928.02
2019-06-09,Weekly earnings - lower quartile - 20 days,Total,629.02
2019-06-09,Weekly earnings - lower quartile - 20 days,A Primary,620.15
2019-06-09,Weekly earnings - lower quartile - 20 days,B Goods Producing,837.0
2019-06-09,Weekly earnings - lower quartile - 20 days,C Services,570.5
2019-06-09,Weekly earnings - lower quartile - 20 days,Z No Match,231.0
2019-06-16,Number of paid jobs - 20 days,Total,1851010.0
2019-06-16,Number of paid jobs - 20 days,A Primary,75080.0
2019-06-16,Number of paid jobs - 20 days,B Goods Producing,342580.0
2019-06-16,Number of paid jobs - 20 days,C Services,1414410.0
2019-06-16,Number of paid jobs - 20 days,Z No Match,18930.0
2019-06-16,Weekly earnings - median - 20 days,Total,974.29
2019-06-16,Weekly earnings - median - 20 days,A Primary,948.06
2019-06-16,Weekly earnings - median - 20 days,B Goods Producing,1107.8
2019-06-16,Weekly earnings - median - 20 days,C Services,942.31
2019-06-16,Weekly earnings - median - 20 days,Z No Match,562.5
2019-06-16,Weekly earnings - upper quartile - 20 days,Total,1384.62
2019-06-16,Weekly earnings - upper quartile - 20 days,A Primary,1286.54
2019-06-16,Weekly earnings - upper quartile - 20 days,B Goods Producing,1452.64
2019-06-16,Weekly earnings - upper quartile - 20 days,C Services,1374.5
2019-06-16,Weekly earnings - upper quartile - 20 days,Z No Match,945.0
2019-06-16,Weekly earnings - lower quartile - 20 days,Total,625.5
2019-06-16,Weekly earnings - lower quartile - 20 days,A Primary,623.59
2019-06-16,Weekly earnings - lower quartile - 20 days,B Goods Producing,840.0
2019-06-16,Weekly earnings - lower quartile - 20 days,C Services,566.5
2019-06-16,Weekly earnings - lower quartile - 20 days,Z No Match,241.42
2019-06-23,Number of paid jobs - 20 days,Total,1847560.0
2019-06-23,Number of paid jobs - 20 days,A Primary,75860.0
2019-06-23,Number of paid jobs - 20 days,B Goods Producing,343250.0
2019-06-23,Number of paid jobs - 20 days,C Services,1407740.0
2019-06-23,Number of paid jobs - 20 days,Z No Match,20710.0
2019-06-23,Weekly earnings - median - 20 days,Total,969.71
2019-06-23,Weekly earnings - median - 20 days,A Primary,961.46
2019-06-23,Weekly earnings - median - 20 days,B Goods Producing,1107.39
2019-06-23,Weekly earnings - median - 20 days,C Services,936.0
2019-06-23,Weekly earnings - median - 20 days,Z No Match,574.53
2019-06-23,Weekly earnings - upper quartile - 20 days,Total,1383.75
2019-06-23,Weekly earnings - upper quartile - 20 days,A Primary,1297.53
2019-06-23,Weekly earnings - upper quartile - 20 days,B Goods Producing,1453.12
2019-06-23,Weekly earnings - upper quartile - 20 days,C Services,1369.33
2019-06-23,Weekly earnings - upper quartile - 20 days,Z No Match,946.1
2019-06-23,Weekly earnings - lower quartile - 20 days,Total,622.5
2019-06-23,Weekly earnings - lower quartile - 20 days,A Primary,658.7
2019-06-23,Weekly earnings - lower quartile - 20 days,B Goods Producing,840.0
2019-06-23,Weekly earnings - lower quartile - 20 days,C Services,561.6
2019-06-23,Weekly earnings - lower quartile - 20 days,Z No Match,245.56
2019-06-30,Number of paid jobs - 20 days,Total,1851380.0
2019-06-30,Number of paid jobs - 20 days,A Primary,76170.0
2019-06-30,Number of paid jobs - 20 days,B Goods Producing,342220.0
2019-06-30,Number of paid jobs - 20 days,C Services,1410730.0
2019-06-30,Number of paid jobs - 20 days,Z No Match,22260.0
2019-06-30,Weekly earnings - median - 20 days,Total,972.49
2019-06-30,Weekly earnings - median - 20 days,A Primary,961.54
2019-06-30,Weekly earnings - median - 20 days,B Goods Producing,1106.25
2019-06-30,Weekly earnings - median - 20 days,C Services,941.21
2019-06-30,Weekly earnings - median - 20 days,Z No Match,561.14
2019-06-30,Weekly earnings - upper quartile - 20 days,Total,1387.0
2019-06-30,Weekly earnings - upper quartile - 20 days,A Primary,1296.76
2019-06-30,Weekly earnings - upper quartile - 20 days,B Goods Producing,1456.3
2019-06-30,Weekly earnings - upper quartile - 20 days,C Services,1378.5
2019-06-30,Weekly earnings - upper quartile - 20 days,Z No Match,935.99
2019-06-30,Weekly earnings - lower quartile - 20 days,Total,626.07
2019-06-30,Weekly earnings - lower quartile - 20 days,A Primary,660.0
2019-06-30,Weekly earnings - lower quartile - 20 days,B Goods Producing,838.17
2019-06-30,Weekly earnings - lower quartile - 20 days,C Services,569.46
2019-06-30,Weekly earnings - lower quartile - 20 days,Z No Match,243.54
2019-07-07,Number of paid jobs - 20 days,Total,1848220.0
2019-07-07,Number of paid jobs - 20 days,A Primary,75240.0
2019-07-07,Number of paid jobs - 20 days,B Goods Producing,342960.0
2019-07-07,Number of paid jobs - 20 days,C Services,1411050.0
2019-07-07,Number of paid jobs - 20 days,Z No Match,18970.0
2019-07-07,Weekly earnings - median - 20 days,Total,970.13
2019-07-07,Weekly earnings - median - 20 days,A Primary,944.38
2019-07-07,Weekly earnings - median - 20 days,B Goods Producing,1095.44
2019-07-07,Weekly earnings - median - 20 days,C Services,942.31
2019-07-07,Weekly earnings - median - 20 days,Z No Match,556.07
2019-07-07,Weekly earnings - upper quartile - 20 days,Total,1385.52
2019-07-07,Weekly earnings - upper quartile - 20 days,A Primary,1268.85
2019-07-07,Weekly earnings - upper quartile - 20 days,B Goods Producing,1442.31
2019-07-07,Weekly earnings - upper quartile - 20 days,C Services,1380.0
2019-07-07,Weekly earnings - upper quartile - 20 days,Z No Match,893.02
2019-07-07,Weekly earnings - lower quartile - 20 days,Total,619.5
2019-07-07,Weekly earnings - lower quartile - 20 days,A Primary,622.59
2019-07-07,Weekly earnings - lower quartile - 20 days,B Goods Producing,826.92
2019-07-07,Weekly earnings - lower quartile - 20 days,C Services,562.03
2019-07-07,Weekly earnings - lower quartile - 20 days,Z No Match,246.0
2019-07-14,Number of paid jobs - 20 days,Total,1843920.0
2019-07-14,Number of paid jobs - 20 days,A Primary,76380.0
2019-07-14,Number of paid jobs - 20 days,B Goods Producing,341660.0
2019-07-14,Number of paid jobs - 20 days,C Services,1405800.0
2019-07-14,Number of paid jobs - 20 days,Z No Match,20080.0
2019-07-14,Weekly earnings - median - 20 days,Total,977.32
2019-07-14,Weekly earnings - median - 20 days,A Primary,958.61
2019-07-14,Weekly earnings - median - 20 days,B Goods Producing,1096.15
2019-07-14,Weekly earnings - median - 20 days,C Services,950.05
2019-07-14,Weekly earnings - median - 20 days,Z No Match,531.0
2019-07-14,Weekly earnings - upper quartile - 20 days,Total,1389.5
2019-07-14,Weekly earnings - upper quartile - 20 days,A Primary,1280.0
2019-07-14,Weekly earnings - upper quartile - 20 days,B Goods Producing,1442.31
2019-07-14,Weekly earnings - upper quartile - 20 days,C Services,1384.65
2019-07-14,Weekly earnings - upper quartile - 20 days,Z No Match,875.0
2019-07-14,Weekly earnings - lower quartile - 20 days,Total,630.44
2019-07-14,Weekly earnings - lower quartile - 20 days,A Primary,650.11
2019-07-14,Weekly earnings - lower quartile - 20 days,B Goods Producing,829.28
2019-07-14,Weekly earnings - lower quartile - 20 days,C Services,576.0
2019-07-14,Weekly earnings - lower quartile - 20 days,Z No Match,237.42
2019-07-21,Number of paid jobs - 20 days,Total,1861580.0
2019-07-21,Number of paid jobs - 20 days,A Primary,76080.0
2019-07-21,Number of paid jobs - 20 days,B Goods Producing,342720.0
2019-07-21,Number of paid jobs - 20 days,C Services,1420080.0
2019-07-21,Number of paid jobs - 20 days,Z No Match,22710.0
2019-07-21,Weekly earnings - median - 20 days,Total,974.7
2019-07-21,Weekly earnings - median - 20 days,A Primary,944.0
2019-07-21,Weekly earnings - median - 20 days,B Goods Producing,1092.0
2019-07-21,Weekly earnings - median - 20 days,C Services,950.0
2019-07-21,Weekly earnings - median - 20 days,Z No Match,542.06
2019-07-21,Weekly earnings - upper quartile - 20 days,Total,1402.5
2019-07-21,Weekly earnings - upper quartile - 20 days,A Primary,1261.86
2019-07-21,Weekly earnings - upper quartile - 20 days,B Goods Producing,1442.0
2019-07-21,Weekly earnings - upper quartile - 20 days,C Services,1405.98
2019-07-21,Weekly earnings - upper quartile - 20 days,Z No Match,869.68
2019-07-21,Weekly earnings - lower quartile - 20 days,Total,623.0
2019-07-21,Weekly earnings - lower quartile - 20 days,A Primary,628.16
2019-07-21,Weekly earnings - lower quartile - 20 days,B Goods Producing,825.0
2019-07-21,Weekly earnings - lower quartile - 20 days,C Services,569.75
2019-07-21,Weekly earnings - lower quartile - 20 days,Z No Match,264.6
2019-07-28,Number of paid jobs - 20 days,Total,1878500.0
2019-07-28,Number of paid jobs - 20 days,A Primary,76940.0
2019-07-28,Number of paid jobs - 20 days,B Goods Producing,343050.0
2019-07-28,Number of paid jobs - 20 days,C Services,1434160.0
2019-07-28,Number of paid jobs - 20 days,Z No Match,24360.0
2019-07-28,Weekly earnings - median - 20 days,Total,980.0
2019-07-28,Weekly earnings - median - 20 days,A Primary,960.0
2019-07-28,Weekly earnings - median - 20 days,B Goods Producing,1100.0
2019-07-28,Weekly earnings - median - 20 days,C Services,953.25
2019-07-28,Weekly earnings - median - 20 days,Z No Match,532.96
2019-07-28,Weekly earnings - upper quartile - 20 days,Total,1407.16
2019-07-28,Weekly earnings - upper quartile - 20 days,A Primary,1281.25
2019-07-28,Weekly earnings - upper quartile - 20 days,B Goods Producing,1445.0
2019-07-28,Weekly earnings - upper quartile - 20 days,C Services,1410.08
2019-07-28,Weekly earnings - upper quartile - 20 days,Z No Match,867.31
2019-07-28,Weekly earnings - lower quartile - 20 days,Total,625.0
2019-07-28,Weekly earnings - lower quartile - 20 days,A Primary,646.05
2019-07-28,Weekly earnings - lower quartile - 20 days,B Goods Producing,832.5
2019-07-28,Weekly earnings - lower quartile - 20 days,C Services,569.57
2019-07-28,Weekly earnings - lower quartile - 20 days,Z No Match,210.33
2019-08-04,Number of paid jobs - 20 days,Total,1873450.0
2019-08-04,Number of paid jobs - 20 days,A Primary,76940.0
2019-08-04,Number of paid jobs - 20 days,B Goods Producing,343150.0
2019-08-04,Number of paid jobs - 20 days,C Services,1425590.0
2019-08-04,Number of paid jobs - 20 days,Z No Match,27780.0
2019-08-04,Weekly earnings - median - 20 days,Total,975.0
2019-08-04,Weekly earnings - median - 20 days,A Primary,954.32
2019-08-04,Weekly earnings - median - 20 days,B Goods Producing,1098.9
2019-08-04,Weekly earnings - median - 20 days,C Services,948.02
2019-08-04,Weekly earnings - median - 20 days,Z No Match,600.55
2019-08-04,Weekly earnings - upper quartile - 20 days,Total,1396.15
2019-08-04,Weekly earnings - upper quartile - 20 days,A Primary,1269.22
2019-08-04,Weekly earnings - upper quartile - 20 days,B Goods Producing,1442.31
2019-08-04,Weekly earnings - upper quartile - 20 days,C Services,1396.0
2019-08-04,Weekly earnings - upper quartile - 20 days,Z No Match,920.0
2019-08-04,Weekly earnings - lower quartile - 20 days,Total,620.71
2019-08-04,Weekly earnings - lower quartile - 20 days,A Primary,646.05
2019-08-04,Weekly earnings - lower quartile - 20 days,B Goods Producing,831.84
2019-08-04,Weekly earnings - lower quartile - 20 days,C Services,564.19
2019-08-04,Weekly earnings - lower quartile - 20 days,Z No Match,300.0
2019-08-11,Number of paid jobs - 20 days,Total,1852270.0
2019-08-11,Number of paid jobs - 20 days,A Primary,77740.0
2019-08-11,Number of paid jobs - 20 days,B Goods Producing,342530.0
2019-08-11,Number of paid jobs - 20 days,C Services,1405400.0
2019-08-11,Number of paid jobs - 20 days,Z No Match,26600.0
2019-08-11,Weekly earnings - median - 20 days,Total,972.0
2019-08-11,Weekly earnings - median - 20 days,A Primary,962.0
2019-08-11,Weekly earnings - median - 20 days,B Goods Producing,1100.0
2019-08-11,Weekly earnings - median - 20 days,C Services,942.53
2019-08-11,Weekly earnings - median - 20 days,Z No Match,611.92
2019-08-11,Weekly earnings - upper quartile - 20 days,Total,1384.0
2019-08-11,Weekly earnings - upper quartile - 20 days,A Primary,1286.5
2019-08-11,Weekly earnings - upper quartile - 20 days,B Goods Producing,1442.31
2019-08-11,Weekly earnings - upper quartile - 20 days,C Services,1378.5
2019-08-11,Weekly earnings - upper quartile - 20 days,Z No Match,920.0
2019-08-11,Weekly earnings - lower quartile - 20 days,Total,622.05
2019-08-11,Weekly earnings - lower quartile - 20 days,A Primary,652.24
2019-08-11,Weekly earnings - lower quartile - 20 days,B Goods Producing,836.23
2019-08-11,Weekly earnings - lower quartile - 20 days,C Services,564.2
2019-08-11,Weekly earnings - lower quartile - 20 days,Z No Match,301.12
2019-08-18,Number of paid jobs - 20 days,Total,1883740.0
2019-08-18,Number of paid jobs - 20 days,A Primary,77020.0
2019-08-18,Number of paid jobs - 20 days,B Goods Producing,342350.0
2019-08-18,Number of paid jobs - 20 days,C Services,1437210.0
2019-08-18,Number of paid jobs - 20 days,Z No Match,27160.0
2019-08-18,Weekly earnings - median - 20 days,Total,980.0
2019-08-18,Weekly earnings - median - 20 days,A Primary,963.9
2019-08-18,Weekly earnings - median - 20 days,B Goods Producing,1105.36
2019-08-18,Weekly earnings - median - 20 days,C Services,951.92
2019-08-18,Weekly earnings - median - 20 days,Z No Match,580.8
2019-08-18,Weekly earnings - upper quartile - 20 days,Total,1395.0
2019-08-18,Weekly earnings - upper quartile - 20 days,A Primary,1276.37
2019-08-18,Weekly earnings - upper quartile - 20 days,B Goods Producing,1446.11
2019-08-18,Weekly earnings - upper quartile - 20 days,C Services,1392.56
2019-08-18,Weekly earnings - upper quartile - 20 days,Z No Match,889.2
2019-08-18,Weekly earnings - lower quartile - 20 days,Total,625.06
2019-08-18,Weekly earnings - lower quartile - 20 days,A Primary,660.0
2019-08-18,Weekly earnings - lower quartile - 20 days,B Goods Producing,840.0
2019-08-18,Weekly earnings - lower quartile - 20 days,C Services,567.81
2019-08-18,Weekly earnings - lower quartile - 20 days,Z No Match,298.08
2019-08-25,Number of paid jobs - 20 days,Total,1889700.0
2019-08-25,Number of paid jobs - 20 days,A Primary,78600.0
2019-08-25,Number of paid jobs - 20 days,B Goods Producing,342760.0
2019-08-25,Number of paid jobs - 20 days,C Services,1441220.0
2019-08-25,Number of paid jobs - 20 days,Z No Match,27120.0
2019-08-25,Weekly earnings - median - 20 days,Total,973.08
2019-08-25,Weekly earnings - median - 20 days,A Primary,970.2
2019-08-25,Weekly earnings - median - 20 days,B Goods Producing,1107.0
2019-08-25,Weekly earnings - median - 20 days,C Services,942.0
2019-08-25,Weekly earnings - median - 20 days,Z No Match,594.0
2019-08-25,Weekly earnings - upper quartile - 20 days,Total,1396.18
2019-08-25,Weekly earnings - upper quartile - 20 days,A Primary,1304.91
2019-08-25,Weekly earnings - upper quartile - 20 days,B Goods Producing,1450.0
2019-08-25,Weekly earnings - upper quartile - 20 days,C Services,1390.34
2019-08-25,Weekly earnings - upper quartile - 20 days,Z No Match,909.03
2019-08-25,Weekly earnings - lower quartile - 20 days,Total,618.38
2019-08-25,Weekly earnings - lower quartile - 20 days,A Primary,649.94
2019-08-25,Weekly earnings - lower quartile - 20 days,B Goods Producing,840.0
2019-08-25,Weekly earnings - lower quartile - 20 days,C Services,560.43
2019-08-25,Weekly earnings - lower quartile - 20 days,Z No Match,285.0
2019-09-01,Number of paid jobs - 20 days,Total,1877380.0
2019-09-01,Number of paid jobs - 20 days,A Primary,78470.0
2019-09-01,Number of paid jobs - 20 days,B Goods Producing,343150.0
2019-09-01,Number of paid jobs - 20 days,C Services,1426340.0
2019-09-01,Number of paid jobs - 20 days,Z No Match,29420.0
2019-09-01,Weekly earnings - median - 20 days,Total,978.08
2019-09-01,Weekly earnings - median - 20 days,A Primary,973.73
2019-09-01,Weekly earnings - median - 20 days,B Goods Producing,1107.0
2019-09-01,Weekly earnings - median - 20 days,C Services,948.0
2019-09-01,Weekly earnings - median - 20 days,Z No Match,576.92
2019-09-01,Weekly earnings - upper quartile - 20 days,Total,1400.5
2019-09-01,Weekly earnings - upper quartile - 20 days,A Primary,1304.31
2019-09-01,Weekly earnings - upper quartile - 20 days,B Goods Producing,1450.0
2019-09-01,Weekly earnings - upper quartile - 20 days,C Services,1400.0
2019-09-01,Weekly earnings - upper quartile - 20 days,Z No Match,900.0
2019-09-01,Weekly earnings - lower quartile - 20 days,Total,620.0
2019-09-01,Weekly earnings - lower quartile - 20 days,A Primary,655.5
2019-09-01,Weekly earnings - lower quartile - 20 days,B Goods Producing,840.0
2019-09-01,Weekly earnings - lower quartile - 20 days,C Services,563.57
2019-09-01,Weekly earnings - lower quartile - 20 days,Z No Match,285.12
2019-09-08,Number of paid jobs - 20 days,Total,1856420.0
2019-09-08,Number of paid jobs - 20 days,A Primary,78870.0
2019-09-08,Number of paid jobs - 20 days,B Goods Producing,343440.0
2019-09-08,Number of paid jobs - 20 days,C Services,1407590.0
2019-09-08,Number of paid jobs - 20 days,Z No Match,26520.0
2019-09-08,Weekly earnings - median - 20 days,Total,981.54
2019-09-08,Weekly earnings - median - 20 days,A Primary,961.54
2019-09-08,Weekly earnings - median - 20 days,B Goods Producing,1103.36
2019-09-08,Weekly earnings - median - 20 days,C Services,957.0
2019-09-08,Weekly earnings - median - 20 days,Z No Match,501.67
2019-09-08,Weekly earnings - upper quartile - 20 days,Total,1405.0
2019-09-08,Weekly earnings - upper quartile - 20 days,A Primary,1303.5
2019-09-08,Weekly earnings - upper quartile - 20 days,B Goods Producing,1447.4
2019-09-08,Weekly earnings - upper quartile - 20 days,C Services,1406.55
2019-09-08,Weekly earnings - upper quartile - 20 days,Z No Match,825.0
2019-09-08,Weekly earnings - lower quartile - 20 days,Total,623.01
2019-09-08,Weekly earnings - lower quartile - 20 days,A Primary,619.98
2019-09-08,Weekly earnings - lower quartile - 20 days,B Goods Producing,838.47
2019-09-08,Weekly earnings - lower quartile - 20 days,C Services,570.01
2019-09-08,Weekly earnings - lower quartile - 20 days,Z No Match,185.78
2019-09-15,Number of paid jobs - 20 days,Total,1852980.0
2019-09-15,Number of paid jobs - 20 days,A Primary,76750.0
2019-09-15,Number of paid jobs - 20 days,B Goods Producing,343870.0
2019-09-15,Number of paid jobs - 20 days,C Services,1407230.0
2019-09-15,Number of paid jobs - 20 days,Z No Match,25130.0
2019-09-15,Weekly earnings - median - 20 days,Total,982.35
2019-09-15,Weekly earnings - median - 20 days,A Primary,961.54
2019-09-15,Weekly earnings - median - 20 days,B Goods Producing,1110.94
2019-09-15,Weekly earnings - median - 20 days,C Services,956.0
2019-09-15,Weekly earnings - median - 20 days,Z No Match,446.3
