Iwi_affiliation_code,Iwi_affiliation_description,Estimated_count
101,Te Aupōuri,11847
102,Ngāti Kahu,11577
103,Ngāti Kurī,8994
104,Ngāpuhi,165201
105,Ngāpuhi ki Whaingaroa-Ngāti Kahu ki Whaingaroa,4740
106,Te Rarawa,23280
107,Ngāi Takoto,1680
108,Ngāti Wai,8022
109,Ngāti Whātua (not Ōrākei or Kaipara),9081
110,Te Kawerau ā Maki,201
111,Te Uri-o-Hau,1314
112,Te Roroa,1659
113,Ngāti Whātua o Kaipara,7326
114,Ngāti Whātua o Ōrākei,3573
115,Ngāi Tai ki Tāmaki  ,693
116,Ngāti Hine (Te Tai Tokerau),9384
117,Te Paatu,390
118,Ngāti Manuhiri,297
119,Ngati Rehua,372
201,Ngāti Hako,1929
202,Ngāti Hei,630
203,Ngāti Maru (Hauraki),5331
204,Ngāti Paoa,4803
205,Patukirikiri,60
206,Ngāti Porou ki Harataunga ki Mataora,2076
207,Ngāti Pūkenga ki Waiau,780
208,Ngāti Rāhiri Tumutumu,375
210,Ngāti Tamaterā,3189
211,Ngāti Tara Tokanui,834
212,Ngāti Whanaunga,891
301,Ngāti Haua (Waikato),7275
302,Ngāti Maniapoto,45930
303,Raukawa (Waikato),8631
304,Waikato,51888
305,Ngāti Te Ata,1611
306,Ngāti Hīkairo ,1845
307,Rereahu,1206
308,Ngāti Tiipa,1425
309,Ngāti Korokī Kahukura,1500
310,Ngāti Tamaoho,519
311,Te Ākitai-Waiohua,135
401,Ngāti Pikiao (Te Arawa),9264
402,Ngāti Rangiteaorere (Te Arawa),456
403,Ngāti Rangitihi (Te Arawa),2469
404,Ngāti Rangiwewehi (Te Arawa),3021
405,Tapuika (Te Arawa),2535
406,Ngāti Tarāwhai (Te Arawa),417
407,Tūhourangi (Te Arawa),2976
408,Uenuku-Kōpako (Te Arawa),522
409,Waitaha (Te Arawa),1188
410,Ngāti Whakaue (Te Arawa),8775
411,Ngāti Tūwharetoa (ki Taupō),44448
412,Ngāti Tahu-Ngāti Whaoa (Te Arawa),2463
413,Ngāti Mākino,591
414,Ngāti Kearoa / Ngāti Tuarā,435
415,Ngāti Rongomai (Te Arawa),606
501,Ngāti Pūkenga,2949
502,Ngāi Te Rangi ,17205
503,Ngāti Ranginui,11967
504,Ngāti Awa,21486
505,Ngāti Manawa,2928
506,Ngāi Tai (Tauranga Moana/Mātaatua),2805
507,Tūhoe,46479
508,Whakatōhea,16095
509,Te Whānau-ā-Apanui,16689
510,Ngāti Whare,1533
511,Ngā Pōtiki ā Tamapahore,249
512,Te Upokorehe,531
513,Ngāti Tūwharetoa ki Kawerau ,2655
601,Ngāti Porou,92349
602,Te Aitanga-a-Māhaki,8121
603,Rongowhakaata,6531
604,Ngāi Tāmanuhiri,2163
605,Te Aitanga ā Hauiti,2622
701,Rongomaiwahine (Te Māhia),5931
702,Ngāti Kahungunu ki Te Wairoa,25026
703,Ngāti Kahungunu ki Heretaunga,21318
704,Ngāti Kahungunu ki Wairarapa,11514
706,Rangitāne (Te Matau-a-Māui/Hawke's Bay/Wairarapa),2238
707,Ngāti Kahungunu ki Te Whanganui-a-Orotu,2130
708,Ngāti Kahungunu ki Tamatea,1902
709,Ngāti Kahungunu ki Tamakinui a Rua,1077
710,Ngāti Pāhauwera,3030
711,Ngāti Rākaipaaka,1884
712,Ngāti Hineuru,390
713,Maungaharuru Tangitū,180
714,Rangitāne o Tamaki nui ā Rua,558
715,Ngāti Ruapani ki Waikaremoana,930
716,Te Hika o Pāpāuma,246
801,Te Atiawa (Taranaki),20937
802,Ngāti Maru (Taranaki),1608
803,Ngāti Mutunga (Taranaki),3486
804,Ngā Rauru,5568
805,Ngā Ruahine,6678
806,Ngāti Ruanui,9606
807,Ngāti Tama (Taranaki),1920
808,Taranaki,8049
809,Tangāhoe,306
810,Pakakohi,438
901,Ngāti Apa (Rangitīkei),4131
902,Te Ati Haunui-a-Pāpārangi,15105
903,Ngāti Haua (Taumarunui),1299
904,Ngāti Hauiti (Rangitīkei),1407
905,Ngāti Whitikaupeka (Rangitīkei),519
906,Ngāi Te Ohuake (Rangitīkei),171
907,Ngāti Tamakōpiri (Rangitīkei),249
908,"Ngāti Rangi (Ruapehu, Whanganui)",1452
909,"Uenuku (Ruapehu, Waimarino)",975
910,"Tamahaki (Ruapehu, Waimarino)",234
911,"Tamakana (Ruapehu, Waimarino)",111
1001,Te Atiawa (Te Whanganui-a-Tara/Wellington),3306
1002,Muaūpoko,3375
1003,Rangitāne (Manawatū),2364
1004,Ngāti Raukawa (Horowhenua/Manawatū),22854
1005,Ngāti Toarangatira (Te Whanganui-a-Tara/Wellington),5034
1006,Te Atiawa ki Whakarongotai,759
1007,Ngāti Tama ki Te Upoko o Te Ika (Te Whanganui-a-Tara/Wellington),258
1008,Ngāti Kauwhata,1734
1009,Ngāti Tukorehe ,792
1101,Te Atiawa (Te Waipounamu/South Island),3483
1102,Ngāti Koata,1842
1103,Ngāti Kuia,2745
1104,Kāti Māmoe,3792
1105,Moriori,996
1106,Ngāti Mutunga (Wharekauri/Chatham Islands),2271
1107,Rangitāne (Te Waipounamu/South Island),1848
1108,Ngāti Rārua,1380
1109,Ngāi Tahu / Kāi Tahu,74082
1110,Ngāti Tama (Te Waipounamu/South Island),558
1111,Ngāti Toarangatira (Te Waipounamu/South Island),909
1112,Waitaha (Te Waipounamu/South Island),1704
1113,Ngāti Apa ki Te Rā Tō,1197
2001,"Tainui, iwi not named",21867
2002,"Te Arawa, iwi not named",32760
2003,"Tākitimu, iwi not named",81
2004,"Aotea, iwi not named",75
2005,"Mātaatua, iwi not named",672
2006,"Mahuru, iwi not named",C
2007,"Māmari, iwi not named",C
2008,"Ngātokimatawhaorua, iwi not named",18
2009,"Nukutere, iwi not named",C
2010,"Tokomaru, iwi not named",9
2011,"Kurahaupō, iwi not named",18
2012,"Muriwhenua, iwi not named",162
2013,"Hauraki / Pare Hauraki, iwi not named",819
2014,"Tūranganui a Kiwa, iwi not named",6
2015,"Te Tauihu o Te Waka a Māui, iwi not named",30
2016,"Tauranga Moana, iwi not named",669
2017,"Horouta, iwi not named",9
2018,"Mōkai Pātea, iwi not named ",54
2101,"Te Atiawa, region not known",2016
2102,"Ngāti Haua, region not known",972
2103,"Ngāti Maru, region not known",783
2104,"Ngāti Mutunga, region not known",402
2105,"Rangitāne, region not known",903
2106,"Ngāti Raukawa, region not known",4458
2107,"Ngāti Tama, region not known",207
2108,"Ngāti Toa, region not known",1464
2109,"Waitaha, region not known",522
2110,"Ngāti Apa, region not known",579
2111,"Ngāi Tai, region not known",477
2112,"Ngāti Kahungunu, region not known",18666
2113,"Ngāti Tūwharetoa, region not known",C
2201,Hapū affiliated to more than one iwi,5697
2301,"Te Tai Tokerau/Tāmaki-makaurau Region, Iwi not named",2799
2302,"Hauraki Region, Iwi not named",72
2303,"Waikato/Te Rohe Pōtae Region, Iwi not named",1068
2304,"Te Arawa/Taupō Region, Iwi not named",846
2305,"Tauranga Moana/Mātaatua Region, Iwi not named",186
2306,"Te Tai Rāwhiti Region, Iwi not named",1125
2307,"Te Matau-a-Māui/Wairarapa Region, Iwi not named",432
2308,"Taranaki Region, Iwi not named",84
2309,"Whanganui/Rangitīkei Region, Iwi not named",12
2310,"Manawatū/Horowhenua/Te Whanganui-a-Tara Region, Iwi not named",282
2311,"Te Waipounamu/Wharekauri Region, Iwi not named",477
4444,Don't Know,136422
