year,Characteristic,P05,P25,P50,P75,P95,sortorder
2020,totlf,2860.0,2886.0,2904.0,2922.0,2950.0,1
2023,totlf,2858.0,2916.0,2963.0,3011.0,3073.0,1
2028,totlf,2874.0,3016.0,3110.0,3208.0,3356.0,1
2033,totlf,2899.0,3099.0,3239.0,3387.0,3598.0,1
2038,totlf,2941.0,3175.0,3343.0,3528.0,3810.0,1
2043,totlf,2950.0,3226.0,3434.0,3656.0,4012.0,1
2048,totlf,2914.0,3285.0,3515.0,3775.0,4143.0,1
2053,totlf,2897.0,3313.0,3578.0,3876.0,4280.0,1
2058,totlf,2882.0,3318.0,3621.0,3933.0,4424.0,1
2063,totlf,2823.0,3315.0,3654.0,3994.0,4557.0,1
2068,totlf,2797.0,3318.0,3683.0,4057.0,4667.0,1
2073,totlf,2754.0,3299.0,3704.0,4107.0,4738.0,1
2020,anngrowth,,,,,,2
2023,anngrowth,-27.0,4.0,26.0,46.0,81.0,2
2028,anngrowth,-28.0,5.0,28.0,53.0,88.0,2
2033,anngrowth,-37.0,-1.0,24.0,51.0,90.0,2
2038,anngrowth,-47.0,-6.0,19.0,44.0,86.0,2
2043,anngrowth,-43.0,-8.0,18.0,42.0,77.0,2
2048,anngrowth,-48.0,-12.0,15.0,41.0,82.0,2
2053,anngrowth,-59.0,-17.0,11.0,36.0,74.0,2
2058,anngrowth,-60.0,-22.0,7.0,33.0,78.0,2
2063,anngrowth,-64.0,-23.0,6.0,36.0,80.0,2
2068,anngrowth,-66.0,-25.0,6.0,36.0,80.0,2
2073,anngrowth,-63.0,-26.0,3.0,35.0,80.0,2
2020,anngrowrate,,,,,,3
2023,anngrowrate,-0.9,0.1,0.9,1.6,2.7,3
2028,anngrowrate,-1.0,0.2,0.9,1.7,2.8,3
2033,anngrowrate,-1.2,0.0,0.7,1.6,2.8,3
2038,anngrowrate,-1.4,-0.2,0.6,1.3,2.5,3
2043,anngrowrate,-1.3,-0.2,0.5,1.2,2.2,3
2048,anngrowrate,-1.4,-0.3,0.4,1.1,2.3,3
2053,anngrowrate,-1.7,-0.5,0.3,1.0,2.1,3
2058,anngrowrate,-1.8,-0.6,0.2,0.9,2.1,3
2063,anngrowrate,-1.8,-0.6,0.2,1.0,2.1,3
2068,anngrowrate,-1.9,-0.7,0.2,1.0,2.2,3
2073,anngrowrate,-1.8,-0.7,0.1,0.9,2.0,3
2020,age15_24,413.0,418.0,422.0,425.0,431.0,4
2023,age15_24,391.0,404.0,415.0,425.0,441.0,4
2028,age15_24,390.0,421.0,441.0,461.0,495.0,4
2033,age15_24,398.0,433.0,459.0,484.0,523.0,4
2038,age15_24,377.0,414.0,441.0,470.0,515.0,4
2043,age15_24,353.0,396.0,427.0,460.0,516.0,4
2048,age15_24,333.0,387.0,426.0,467.0,534.0,4
2053,age15_24,321.0,382.0,429.0,475.0,554.0,4
2058,age15_24,312.0,378.0,435.0,490.0,579.0,4
2063,age15_24,305.0,380.0,442.0,503.0,604.0,4
2068,age15_24,296.0,377.0,444.0,509.0,618.0,4
2073,age15_24,283.0,367.0,439.0,513.0,631.0,4
2020,age25_44,1203.0,1211.0,1216.0,1221.0,1228.0,5
2023,age25_44,1207.0,1233.0,1252.0,1271.0,1299.0,5
2028,age25_44,1198.0,1269.0,1317.0,1364.0,1442.0,5
2033,age25_44,1175.0,1282.0,1356.0,1434.0,1550.0,5
2038,age25_44,1142.0,1285.0,1374.0,1469.0,1619.0,5
2043,age25_44,1137.0,1292.0,1394.0,1503.0,1685.0,5
2048,age25_44,1139.0,1309.0,1415.0,1542.0,1713.0,5
2053,age25_44,1126.0,1303.0,1419.0,1549.0,1719.0,5
2058,age25_44,1074.0,1269.0,1397.0,1530.0,1725.0,5
2063,age25_44,1033.0,1243.0,1389.0,1528.0,1753.0,5
2068,age25_44,1012.0,1236.0,1399.0,1554.0,1806.0,5
2073,age25_44,999.0,1238.0,1414.0,1592.0,1866.0,5
2020,age45_64,1065.0,1073.0,1078.0,1084.0,1091.0,6
2023,age45_64,1061.0,1077.0,1088.0,1099.0,1114.0,6
