Series reference,Description,Period,Previously published,Revised
PPIQ.SQU900000,PPI output index - All industries ,2020.06,1183.0,1184.0
PPIQ.SQU900001,PPI output index - All industries excl OOD,2020.06,1180.0,1181.0
PPIQ.SQUC76745,PPI published output commodity - Transport support services,2020.06,1400.0,1603.0
PPIQ.SQUCC3100,PPI output index level 3 - Wood product manufacturing,2020.06,1169.0,1170.0
PPIQ.SQUCC3110,PPI output index level 4 - Wood product manufacturing,2020.06,1169.0,1170.0
PPIQ.SQUFF0000,PPI output index level 1 - Wholesale trade,2020.06,1132.0,1133.0
PPIQ.SQUFF1000,PPI output index level 2 - Wholesale trade,2020.06,1132.0,1133.0
PPIQ.SQUFF1100,PPI output index level 3 - Wholesale trade,2020.06,1132.0,1133.0
PPIQ.SQUFF1110,PPI output index level 4 - Basic material wholesaling,2020.06,1147.0,1149.0
PPIQ.SQUFF1160,PPI output index level 4 - Commission based wholesaling,2020.06,1106.0,1112.0
PPIQ.SQUII0000,PPI output index level 1 - Transport, postal and warehousing,2020.06,1231.0,1249.0
PPIQ.SQUII1000,PPI output index level 2 - Transport, postal and warehousing,2020.06,1231.0,1249.0
PPIQ.SQUII1100,PPI output index level 3 - Road transport,2020.06,1170.0,1174.0
PPIQ.SQUII1110,PPI output index level 4 - Road transport,2020.06,1170.0,1174.0
PPIQ.SQUII1200,PPI output index level 3 - Rail, water, air and other transport,2020.06,1237.0,1238.0
PPIQ.SQUII1300,PPI output index level 3 - Postal, courier transport support, and warehousing,2020.06,1269.0,1318.0
PPIQ.SQUMN2000,PPI output index level 2 - Administrative and support services,2020.06,1187.0,1188.0
PPIQ.SQUMN2100,PPI output index level 3 - Administrative and Support Services,2020.06,1187.0,1188.0
PPIQ.SQURS2000,PPI output index level 2 - Other services,2020.06,1270.0,1271.0
PPIQ.SQURS2100,PPI output index level 3 - Other Services,2020.06,1270.0,1271.0
PPIQ.SQN800000,PPI input index - All industries excl admin, healh, education,2020.06,1152.0,1153.0
PPIQ.SQN800001,PPI input index - All industries excl admin, healh, education, OOD,2020.06,1152.0,1153.0
PPIQ.SQN900000,PPI input index - All industries ,2020.06,1153.0,1154.0
PPIQ.SQN900001,PPI input index - All industries excl OOD,2020.06,1152.0,1153.0
PPIQ.SQNC76745,PPI published input commodity - Transport support services,2020.06,1415.0,1568.0
PPIQ.SQNCC0000,PPI input index level 1 - Manufacturing,2020.06,1102.0,1103.0
PPIQ.SQNCC1000,PPI input index level 2 - Food, beverage and tobacco product manufacturing,2020.06,1165.0,1166.0
PPIQ.SQNCC1100,PPI input index level 3 - Meat and meat product manufacturing,2020.06,1260.0,1264.0
PPIQ.SQNCC111X,PPI input index level 4 - Meat and meat product manufacturing,2020.06,1260.0,1264.0
PPIQ.SQNCC2000,PPI input index level 2 - Textile, leather, clothing and footwear manufacturing,2020.06,956.0,957.0
PPIQ.SQNCC2100,PPI input index level 3 - Textile, leather, clothing and footwear manufacturing,2020.06,956.0,957.0
PPIQ.SQNCC211X,PPI input index level 4 - Textile and leather manufacturing,2020.06,903.0,904.0
PPIQ.SQNCC212X,PPI input index level 4 - Clothing, knitted products and footwear manufacturing,2020.06,1212.0,1213.0
PPIQ.SQNCC3000,PPI input index level 2 - Wood and paper products manufacturing,2020.06,1143.0,1144.0
