date,estimate_type,tenure,households
30 Jun 1991,as at,total,1252600.0
30 Sep 1991,as at,total,1256200.0
31 Dec 1991,as at,total,1260000.0
31 Mar 1992,as at,total,1264000.0
30 Jun 1992,as at,total,1268200.0
30 Sep 1992,as at,total,1271900.0
31 Dec 1992,as at,total,1275800.0
31 Mar 1993,as at,total,1279700.0
30 Jun 1993,as at,total,1284000.0
30 Sep 1993,as at,total,1287900.0
31 Dec 1993,as at,total,1291900.0
31 Mar 1994,as at,total,1296400.0
30 Jun 1994,as at,total,1300800.0
30 Sep 1994,as at,total,1305100.0
31 Dec 1994,as at,total,1310100.0
31 Mar 1995,as at,total,1315600.0
30 Jun 1995,as at,total,1321400.0
30 Sep 1995,as at,total,1326200.0
31 Dec 1995,as at,total,1330800.0
31 Mar 1996,as at,total,1335300.0
30 Jun 1996,as at,total,1340200.0
30 Sep 1996,as at,total,1344300.0
31 Dec 1996,as at,total,1348800.0
31 Mar 1997,as at,total,1352800.0
30 Jun 1997,as at,total,1357000.0
30 Sep 1997,as at,total,1360900.0
31 Dec 1997,as at,total,1365500.0
31 Mar 1998,as at,total,1370800.0
30 Jun 1998,as at,total,1375600.0
30 Sep 1998,as at,total,1379800.0
31 Dec 1998,as at,total,1383400.0
31 Mar 1999,as at,total,1387000.0
30 Jun 1999,as at,total,1390900.0
30 Sep 1999,as at,total,1395100.0
31 Dec 1999,as at,total,1400100.0
31 Mar 2000,as at,total,1405700.0
30 Jun 2000,as at,total,1410400.0
30 Sep 2000,as at,total,1414200.0
31 Dec 2000,as at,total,1418000.0
31 Mar 2001,as at,total,1421800.0
30 Jun 2001,as at,total,1425200.0
30 Sep 2001,as at,total,1429400.0
31 Dec 2001,as at,total,1434200.0
31 Mar 2002,as at,total,1439300.0
30 Jun 2002,as at,total,1444600.0
30 Sep 2002,as at,total,1449500.0
31 Dec 2002,as at,total,1455500.0
31 Mar 2003,as at,total,1462300.0
30 Jun 2003,as at,total,1470200.0
30 Sep 2003,as at,total,1476200.0
31 Dec 2003,as at,total,1482900.0
31 Mar 2004,as at,total,1490700.0
30 Jun 2004,as at,total,1498400.0
30 Sep 2004,as at,total,1506200.0
31 Dec 2004,as at,total,1514200.0
31 Mar 2005,as at,total,1520800.0
30 Jun 2005,as at,total,1528000.0
30 Sep 2005,as at,total,1534700.0
31 Dec 2005,as at,total,1540100.0
31 Mar 2006,as at,total,1546300.0
30 Jun 2006,as at,total,1552600.0
30 Sep 2006,as at,total,1557300.0
31 Dec 2006,as at,total,1561600.0
31 Mar 2007,as at,total,1566900.0
30 Jun 2007,as at,total,1571600.0
30 Sep 2007,as at,total,1576200.0
31 Dec 2007,as at,total,1581100.0
31 Mar 2008,as at,total,1586000.0
30 Jun 2008,as at,total,1590400.0
30 Sep 2008,as at,total,1594200.0
31 Dec 2008,as at,total,1598200.0
31 Mar 2009,as at,total,1601400.0
30 Jun 2009,as at,total,1604000.0
30 Sep 2009,as at,total,1606100.0
31 Dec 2009,as at,total,1608600.0
31 Mar 2010,as at,total,1611400.0
30 Jun 2010,as at,total,1614600.0
30 Sep 2010,as at,total,1617400.0
31 Dec 2010,as at,total,1620500.0
31 Mar 2011,as at,total,1623400.0
30 Jun 2011,as at,total,1626000.0
30 Sep 2011,as at,total,1628200.0
31 Dec 2011,as at,total,1630400.0
31 Mar 2012,as at,total,1633300.0
30 Jun 2012,as at,total,1636000.0
30 Sep 2012,as at,total,1638900.0
31 Dec 2012,as at,total,1641700.0
31 Mar 2013,as at,total,1645000.0
30 Jun 2013,as at,total,1648500.0
30 Sep 2013,as at,total,1653200.0
31 Dec 2013,as at,total,1657600.0
31 Mar 2014,as at,total,1663000.0
30 Jun 2014,as at,total,1668600.0
30 Sep 2014,as at,total,1674900.0
31 Dec 2014,as at,total,1680400.0
31 Mar 2015,as at,total,1686700.0
30 Jun 2015,as at,total,1693100.0
30 Sep 2015,as at,total,1700000.0
31 Dec 2015,as at,total,1705800.0
31 Mar 2016,as at,total,1712300.0
30 Jun 2016,as at,total,1719800.0
30 Sep 2016,as at,total,1727600.0
31 Dec 2016,as at,total,1734100.0
31 Mar 2017,as at,total,1741900.0
30 Jun 2017,as at,total,1750300.0
30 Sep 2017,as at,total,1758200.0
31 Dec 2017,as at,total,1765300.0
31 Mar 2018,as at,total,1772900.0
30 Jun 2018,as at,total,1781700.0
30 Sep 2018,as at,total,1788600.0
31 Dec 2018,as at,total,1794900.0
31 Mar 2019,as at,total,1802600.0
30 Jun 2019,as at,total,1809900.0
30 Sep 2019,as at,total,1817200.0
31 Dec 2019,as at,total,1824800.0
31 Mar 2020,as at,total,1832800.0
30 Jun 2020,as at,total,1841400.0
30 Sep 2020,as at,total,1849800.0
31 Dec 2020,as at,total,1857300.0
31 Mar 2021,as at,total,1865300.0
30 Jun 2021,as at,total,1874100.0
