period,status,sex,age,population
2008-06-30,F,female,0-14,436700.0
2008-06-30,F,female,0-4,146740.0
2008-06-30,F,female,10-14,148020.0
2008-06-30,F,female,15-19,156530.0
2008-06-30,F,female,15-39,745200.0
2008-06-30,F,female,20-24,144350.0
2008-06-30,F,female,25-29,137430.0
2008-06-30,F,female,30-34,142060.0
2008-06-30,F,female,35-39,164810.0
2008-06-30,F,female,40-44,163300.0
2008-06-30,F,female,40-64,700900.0
2008-06-30,F,female,45-49,164900.0
2008-06-30,F,female,5-9,141960.0
2008-06-30,F,female,50-54,141130.0
2008-06-30,F,female,55-59,123900.0
2008-06-30,F,female,60-64,107630.0
2008-06-30,F,female,65-69,84980.0
2008-06-30,F,female,65+,293600.0
2008-06-30,F,female,70-74,65270.0
2008-06-30,F,female,75-79,56030.0
2008-06-30,F,female,80-84,44640.0
2008-06-30,F,female,85-89,27940.0
2008-06-30,F,female,90+,14710.0
2008-06-30,F,female,median,37.18
2008-06-30,F,female,total,2176330.0
2008-09-30,F,female,0-14,437100.0
2008-09-30,F,female,0-4,147570.0
2008-09-30,F,female,10-14,147630.0
2008-09-30,F,female,15-19,157000.0
2008-09-30,F,female,15-39,745500.0
2008-09-30,F,female,20-24,144690.0
2008-09-30,F,female,25-29,137780.0
2008-09-30,F,female,30-34,141380.0
2008-09-30,F,female,35-39,164650.0
2008-09-30,F,female,40-44,162950.0
2008-09-30,F,female,40-64,704100.0
2008-09-30,F,female,45-49,165700.0
2008-09-30,F,female,5-9,141930.0
2008-09-30,F,female,50-54,142200.0
2008-09-30,F,female,55-59,124470.0
2008-09-30,F,female,60-64,108810.0
2008-09-30,F,female,65-69,85620.0
2008-09-30,F,female,65+,294700.0
2008-09-30,F,female,70-74,65720.0
2008-09-30,F,female,75-79,56050.0
2008-09-30,F,female,80-84,44690.0
2008-09-30,F,female,85-89,27990.0
2008-09-30,F,female,90+,14650.0
2008-09-30,F,female,median,37.25
2008-09-30,F,female,total,2181480.0
2008-12-31,F,female,0-14,437400.0
2008-12-31,F,female,0-4,148210.0
2008-12-31,F,female,10-14,146930.0
2008-12-31,F,female,15-19,156670.0
2008-12-31,F,female,15-39,745500.0
2008-12-31,F,female,20-24,144910.0
2008-12-31,F,female,25-29,138610.0
2008-12-31,F,female,30-34,141200.0
2008-12-31,F,female,35-39,164110.0
2008-12-31,F,female,40-44,163040.0
2008-12-31,F,female,40-64,707700.0
2008-12-31,F,female,45-49,166040.0
2008-12-31,F,female,5-9,142300.0
2008-12-31,F,female,50-54,143210.0
2008-12-31,F,female,55-59,124920.0
2008-12-31,F,female,60-64,110470.0
2008-12-31,F,female,65-69,86240.0
2008-12-31,F,female,65+,296400.0
2008-12-31,F,female,70-74,66480.0
2008-12-31,F,female,75-79,55900.0
2008-12-31,F,female,80-84,44750.0
2008-12-31,F,female,85-89,28320.0
2008-12-31,F,female,90+,14730.0
2008-12-31,F,female,median,37.32
2008-12-31,F,female,total,2187030.0
2009-03-31,F,female,0-14,438300.0
2009-03-31,F,female,0-4,148780.0
2009-03-31,F,female,10-14,146810.0
2009-03-31,F,female,15-19,156810.0
2009-03-31,F,female,15-39,745900.0
2009-03-31,F,female,20-24,145570.0
2009-03-31,F,female,25-29,139040.0
2009-03-31,F,female,30-34,140890.0
2009-03-31,F,female,35-39,163600.0
2009-03-31,F,female,40-44,162910.0
2009-03-31,F,female,40-64,710900.0
2009-03-31,F,female,45-49,166610.0
2009-03-31,F,female,5-9,142700.0
2009-03-31,F,female,50-54,144160.0
2009-03-31,F,female,55-59,125520.0
2009-03-31,F,female,60-64,111670.0
2009-03-31,F,female,65-69,86810.0
2009-03-31,F,female,65+,298200.0
2009-03-31,F,female,70-74,67110.0
2009-03-31,F,female,75-79,55890.0
2009-03-31,F,female,80-84,44840.0
2009-03-31,F,female,85-89,28730.0
2009-03-31,F,female,90+,14840.0
2009-03-31,F,female,median,37.38
2009-03-31,F,female,total,2193280.0
2009-06-30,F,female,0-14,439100.0
2009-06-30,F,female,0-4,149420.0
2009-06-30,F,female,10-14,146990.0
2009-06-30,F,female,15-19,156720.0
2009-06-30,F,female,15-39,745000.0
2009-06-30,F,female,20-24,145730.0
2009-06-30,F,female,25-29,139000.0
2009-06-30,F,female,30-34,140450.0
2009-06-30,F,female,35-39,163110.0
2009-06-30,F,female,40-44,163090.0
2009-06-30,F,female,40-64,714100.0
2009-06-30,F,female,45-49,166830.0
2009-06-30,F,female,5-9,142670.0
2009-06-30,F,female,50-54,145240.0
2009-06-30,F,female,55-59,126280.0
2009-06-30,F,female,60-64,112710.0
2009-06-30,F,female,65-69,87610.0
2009-06-30,F,female,65+,299700.0
2009-06-30,F,female,70-74,67440.0
2009-06-30,F,female,75-79,55920.0
2009-06-30,F,female,80-84,44890.0
2009-06-30,F,female,85-89,28990.0
2009-06-30,F,female,90+,14850.0
2009-06-30,F,female,median,37.46
2009-06-30,F,female,total,2197930.0
2009-09-30,F,female,0-14,439900.0
2009-09-30,F,female,0-4,150430.0
2009-09-30,F,female,10-14,147030.0
2009-09-30,F,female,15-19,157120.0
2009-09-30,F,female,15-39,746500.0
2009-09-30,F,female,20-24,146790.0
2009-09-30,F,female,25-29,139760.0
2009-09-30,F,female,30-34,140320.0
2009-09-30,F,female,35-39,162470.0
2009-09-30,F,female,40-44,163350.0
2009-09-30,F,female,40-64,717900.0
2009-09-30,F,female,45-49,167220.0
2009-09-30,F,female,5-9,142420.0
2009-09-30,F,female,50-54,146380.0
2009-09-30,F,female,55-59,126860.0
2009-09-30,F,female,60-64,114090.0
2009-09-30,F,female,65-69,88030.0
2009-09-30,F,female,65+,301100.0
2009-09-30,F,female,70-74,68190.0
2009-09-30,F,female,75-79,55940.0
2009-09-30,F,female,80-84,44840.0
2009-09-30,F,female,85-89,29350.0
2009-09-30,F,female,90+,14790.0
2009-09-30,F,female,median,37.51
2009-09-30,F,female,total,2205360.0
2009-12-31,F,female,0-14,440700.0
2009-12-31,F,female,0-4,151510.0
2009-12-31,F,female,10-14,147020.0
2009-12-31,F,female,15-19,156620.0
2009-12-31,F,female,15-39,747700.0
2009-12-31,F,female,20-24,147930.0
2009-12-31,F,female,25-29,140890.0
2009-12-31,F,female,30-34,140290.0
2009-12-31,F,female,35-39,161980.0
2009-12-31,F,female,40-44,163410.0
2009-12-31,F,female,40-64,721600.0
2009-12-31,F,female,45-49,167790.0
2009-12-31,F,female,5-9,142180.0
2009-12-31,F,female,50-54,147290.0
