year,resource,variable,units,magnitude,source,data_value,flag
2007.0,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,86690.0,R
2007.0,Biogas,Generation,Gigawatt hours,Actual,MBIE,224.0,F
2007.0,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2007.0,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,NaN,F
2007.0,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,NaN,F
2007.0,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5201.0,R
2007.0,Coal,Generation,Gigawatt hours,Actual,MBIE,4786.0,F
2007.0,Gas,Generation,Gigawatt hours,Actual,MBIE,8634.0,F
2007.0,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,1242291.0,R
2007.0,Geothermal,Generation,Gigawatt hours,Actual,MBIE,3210.0,F
2007.0,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.08,F
2007.0,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,NaN,F
2007.0,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,NaN,F
2007.0,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,74537.0,R
2007.0,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9383706.0,R
2007.0,Hydro,Generation,Gigawatt hours,Actual,MBIE,24249.0,F
2007.0,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.58,F
2007.0,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,NaN,F
2007.0,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,NaN,F
2007.0,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,563022.0,R
2007.0,Oil,Generation,Gigawatt hours,Actual,MBIE,3.0,F
2007.0,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,1.1063169E7,R
2007.0,Renewable,Generation,Gigawatt hours,Actual,MBIE,28589.0,F
2007.0,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.68,F
2007.0,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,NaN,F
2007.0,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,NaN,F
2007.0,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,663790.0,R
2007.0,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.68,F
2007.0,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,326.0,F
2007.0,Solar,Generation,Gigawatt hours,Actual,MBIE,1.0,F
2007.0,Solar,Gigawatt hours,Number,Proportion,MBIE,0.0,F
2007.0,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,NaN,F
2007.0,Solar,Other changes,Dollars,Thousands,Environmental Accounts,NaN,F
2007.0,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,20.0,F
2007.0,Total generation,Generation,Gigawatt hours,Actual,MBIE,42083.0,F
2007.0,Total generation,Prices,Number,Average,Electricity Authority,60.0,F
2007.0,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,977086.0,R
2007.0,Waste heat,Generation,Gigawatt hours,Actual,MBIE,71.0,F
2007.0,Wind,Closing stock,Dollars,Thousands,Environmental Accounts,233652.0,R
2007.0,Wind,Generation,Gigawatt hours,Actual,MBIE,604.0,F
2007.0,Wind,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2007.0,Wind,Opening stock,Dollars,Thousands,Environmental Accounts,NaN,F
2007.0,Wind,Other changes,Dollars,Thousands,Environmental Accounts,NaN,F
2007.0,Wind,Resource rent,Dollars,Thousands,Environmental Accounts,14019.0,R
2007.0,Wood,Closing stock,Dollars,Thousands,Environmental Accounts,116505.0,R
2007.0,Wood,Generation,Gigawatt hours,Actual,MBIE,301.0,F
2007.0,Wood,Gigawatt hours,Number,Proportion,MBIE,0.01,F
2007.0,Wood,Opening stock,Dollars,Thousands,Environmental Accounts,NaN,F
2007.0,Wood,Other changes,Dollars,Thousands,Environmental Accounts,NaN,F
2007.0,Wood,Resource rent,Dollars,Thousands,Environmental Accounts,6990.0,R
2008.0,Biogas,Closing stock,Dollars,Thousands,Environmental Accounts,83934.0,R
2008.0,Biogas,Generation,Gigawatt hours,Actual,MBIE,205.0,F
2008.0,Biogas,Gigawatt hours,Number,Proportion,MBIE,0.0,F
2008.0,Biogas,Opening stock,Dollars,Thousands,Environmental Accounts,86690.0,R
2008.0,Biogas,Other changes,Dollars,Thousands,Environmental Accounts,-2756.0,R
2008.0,Biogas,Resource rent,Dollars,Thousands,Environmental Accounts,5036.0,R
2008.0,Coal,Generation,Gigawatt hours,Actual,MBIE,3245.0,F
2008.0,Gas,Generation,Gigawatt hours,Actual,MBIE,11551.0,F
2008.0,Geothermal,Closing stock,Dollars,Thousands,Environmental Accounts,1398360.0,R
2008.0,Geothermal,Generation,Gigawatt hours,Actual,MBIE,3417.0,F
2008.0,Geothermal,Gigawatt hours,Number,Proportion,MBIE,0.08,F
2008.0,Geothermal,Opening stock,Dollars,Thousands,Environmental Accounts,1242291.0,R
2008.0,Geothermal,Other changes,Dollars,Thousands,Environmental Accounts,156069.0,R
2008.0,Geothermal,Resource rent,Dollars,Thousands,Environmental Accounts,83902.0,R
2008.0,Hydro,Closing stock,Dollars,Thousands,Environmental Accounts,9255132.0,R
2008.0,Hydro,Generation,Gigawatt hours,Actual,MBIE,22616.0,F
2008.0,Hydro,Gigawatt hours,Number,Proportion,MBIE,0.53,F
2008.0,Hydro,Opening stock,Dollars,Thousands,Environmental Accounts,9383706.0,R
2008.0,Hydro,Other changes,Dollars,Thousands,Environmental Accounts,-128574.0,R
2008.0,Hydro,Resource rent,Dollars,Thousands,Environmental Accounts,555308.0,R
2008.0,Oil,Generation,Gigawatt hours,Actual,MBIE,27.0,F
2008.0,Renewable,Closing stock,Dollars,Thousands,Environmental Accounts,1.1292208E7,R
2008.0,Renewable,Generation,Gigawatt hours,Actual,MBIE,27594.0,F
2008.0,Renewable,Gigawatt hours,Number,Proportion,MBIE,0.65,F
2008.0,Renewable,Opening stock,Dollars,Thousands,Environmental Accounts,1.1063169E7,R
2008.0,Renewable,Other changes,Dollars,Thousands,Environmental Accounts,229039.0,R
2008.0,Renewable,Resource rent,Dollars,Thousands,Environmental Accounts,677532.0,R
2008.0,Renewable,Resource rent,Number,Proportion,Environmental Accounts,0.65,F
2008.0,Solar,Closing stock,Dollars,Thousands,Environmental Accounts,1385.0,R
2008.0,Solar,Generation,Gigawatt hours,Actual,MBIE,3.0,F
2008.0,Solar,Gigawatt hours,Number,Proportion,MBIE,0.0,F
2008.0,Solar,Opening stock,Dollars,Thousands,Environmental Accounts,326.0,F
2008.0,Solar,Other changes,Dollars,Thousands,Environmental Accounts,1059.0,R
2008.0,Solar,Resource rent,Dollars,Thousands,Environmental Accounts,83.0,F
2008.0,Total generation,Generation,Gigawatt hours,Actual,MBIE,42464.0,F
2008.0,Total generation,Prices,Number,Average,Electricity Authority,70.0,F
2008.0,Total generation,Resource rent,Dollars,Thousands,Environmental Accounts,1042654.0,R
