SER_REF,TIME_REF,DATA_VAL,STATUS,UNITS,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Unnamed: 10
CPIM.SE1041F,2006.11,1000.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2006.12,995.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2007.01,1007.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2007.02,1012.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2007.03,1020.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2007.04,1023.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2007.05,1045.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2007.06,1033.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2007.07,1037.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2007.08,1058.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2007.09,1051.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2007.1,1051.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2007.11,1063.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2007.12,1064.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2008.01,1050.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2008.02,1082.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2008.03,1076.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2008.04,1083.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2008.05,1085.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2008.06,1070.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2008.07,1071.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2008.08,1056.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2008.09,1069.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2008.1,1064.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2008.11,1059.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2008.12,1057.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2009.01,1061.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2009.02,1071.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2009.03,1068.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2009.04,1059.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2009.05,1058.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2009.06,1073.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2009.07,1057.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2009.08,1063.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
CPIM.SE1041F,2009.09,1062.0,FINAL,Index,CPI,CPI Monthly Rents (Broad Regions),Auckland,Actual rentals for housing,Flow,?
