name,year,a0014,a1539,a4064,a6500,atot,p0014,p1539,p4064,p6500,medage
Far North district,2018,14500,17600,22800,13000,67900,21.4,25.9,33.6,19.1,42.8
Far North district,2019,14600,18000,23100,13600,69300,21.1,26.0,33.3,19.6,42.9
Far North district,2020,14900,18500,23400,14200,71000,20.9,26.1,33.0,20.0,43.1
Whangārei district,2018,19500,26600,30300,17800,94100,20.7,28.2,32.2,18.9,41.1
Whangārei district,2019,19700,27300,30700,18400,96000,20.5,28.4,31.9,19.1,41.1
Whangārei district,2020,19900,28100,31100,19200,98300,20.3,28.6,31.6,19.5,41.1
Kaipara district,2018,4600,5900,8100,5200,23700,19.2,24.8,33.9,22.1,45.7
Kaipara district,2019,4600,6100,8200,5500,24400,19.0,24.9,33.5,22.7,46.1
Kaipara district,2020,4800,6200,8300,5900,25200,19.1,24.5,33.1,23.4,46.4
Auckland,2018,324100,630300,503400,197000,1654800,19.6,38.1,30.4,11.9,34.6
Auckland,2019,328100,638900,509900,203500,1680500,19.5,38.0,30.3,12.1,34.8
Auckland,2020,331800,651800,520400,213400,1717500,19.3,37.9,30.3,12.4,35.1
Rodney local board area,2018,13600,19400,24700,11400,69100,19.6,28.0,35.8,16.6,42.0
Rodney local board area,2019,13900,20000,25300,12000,71200,19.5,28.1,35.5,16.8,41.9
Rodney local board area,2020,14300,20900,26000,12600,73700,19.3,28.3,35.3,17.1,41.9
Hibiscus and Bays local board area,2018,20000,32900,36600,18900,108500,18.4,30.4,33.7,17.4,41.0
Hibiscus and Bays local board area,2019,20700,33400,37400,19500,111000,18.6,30.1,33.7,17.6,40.9
Hibiscus and Bays local board area,2020,21200,34400,38400,20300,114300,18.5,30.1,33.6,17.8,41.0
Upper Harbour local board area,2018,12000,25900,21000,8000,66800,18.0,38.7,31.4,11.9,35.7
Upper Harbour local board area,2019,12300,26400,21400,8500,68600,18.0,38.5,31.2,12.3,36.2
Upper Harbour local board area,2020,12900,27200,22000,9200,71300,18.0,38.2,30.9,12.9,36.5
Kaipātiki local board area,2018,17000,37900,27300,10700,92900,18.3,40.8,29.4,11.5,34.7
Kaipātiki local board area,2019,17100,38000,27500,10900,93400,18.3,40.7,29.4,11.6,35.0
Kaipātiki local board area,2020,17100,38500,27900,11200,94700,18.1,40.6,29.4,11.9,35.2
Devonport-Takapuna local board area,2018,10600,20300,20000,9600,60500,17.5,33.6,33.1,15.9,39.2
Devonport-Takapuna local board area,2019,10600,20200,20000,9800,60600,17.4,33.3,33.0,16.2,39.5
Devonport-Takapuna local board area,2020,10600,20300,20200,10200,61400,17.2,33.1,33.0,16.7,39.8
Henderson-Massey local board area,2018,27600,48000,36100,12900,124600,22.2,38.5,29.0,10.3,33.1
Henderson-Massey local board area,2019,28000,48600,36700,13100,126300,22.1,38.5,29.0,10.4,33.4
Henderson-Massey local board area,2020,28300,49700,37500,13500,129000,22.0,38.5,29.0,10.5,33.6
Waitākere Ranges local board area,2018,11500,18200,18800,5700,54200,21.2,33.6,34.7,10.4,36.7
Waitākere Ranges local board area,2019,11500,18300,19000,5900,54700,21.1,33.4,34.7,10.7,36.9
Waitākere Ranges local board area,2020,11600,18500,19200,6100,55500,20.9,33.3,34.7,11.0,37.1
Aotea/Great Barrier local board area,2018,140,190,410,230,960,14.2,19.7,42.2,23.9,52.4
Aotea/Great Barrier local board area,2019,150,210,390,240,980,15.1,20.9,39.7,24.3,51.3
Aotea/Great Barrier local board area,2020,150,220,390,240,1000,14.8,22.1,38.9,24.1,51.3
Waiheke local board area,2018,1460,2390,3570,1950,9360,15.6,25.5,38.1,20.8,46.4
Waiheke local board area,2019,1420,2500,3560,2030,9510,15.0,26.3,37.4,21.3,46.7
Waiheke local board area,2020,1390,2570,3590,2110,9660,14.4,26.6,37.2,21.8,47.2
Waitematā local board area,2018,8100,50400,22900,7000,88500,9.2,57.0,25.9,7.9,31.5
Waitematā local board area,2019,8000,51100,23200,7400,89700,9.0,56.9,25.9,8.2,31.8
Waitematā local board area,2020,8000,51000,23900,7800,90700,8.8,56.3,26.3,8.6,32.4
Whau local board area,2018,15700,33700,24700,10000,84100,18.7,40.1,29.3,11.9,34.3
Whau local board area,2019,15900,34000,25000,10300,85200,18.7,39.9,29.4,12.1,34.6
Whau local board area,2020,16000,34500,25500,10700,86700,18.4,39.8,29.4,12.4,35.0
Albert-Eden local board area,2018,17100,43800,32400,10400,103700,16.5,42.2,31.2,10.0,34.1
Albert-Eden local board area,2019,16900,44000,32500,10700,104000,16.2,42.3,31.2,10.3,34.2
Albert-Eden local board area,2020,16600,44700,32800,11200,105300,15.8,42.4,31.1,10.7,34.5
Puketāpapa local board area,2018,10500,25400,17700,7300,60900,17.2,41.6,29.1,12.0,33.8
Puketāpapa local board area,2019,10600,25700,17700,7600,61600,17.2,41.7,28.8,12.4,34.0
Puketāpapa local board area,2020,10700,25900,17900,8000,62500,17.1,41.4,28.7,12.9,34.3
Ōrākei local board area,2018,15700,28200,30000,13800,87700,17.9,32.2,34.2,15.8,39.9
Ōrākei local board area,2019,15600,28400,30000,14300,88300,17.7,32.2,34.0,16.2,40.1
Ōrākei local board area,2020,15400,28800,30300,14800,89300,17.3,32.2,33.9,16.6,40.4
Maungakiekie-Tamaki local board area,2018,15800,33800,22400,8500,80500,19.6,41.9,27.9,10.6,33.1
Maungakiekie-Tamaki local board area,2019,15900,34300,22700,8800,81700,19.5,42.0,27.8,10.7,33.3
Maungakiekie-Tamaki local board area,2020,16000,35000,23000,9200,83100,19.2,42.1,27.7,11.0,33.6
Howick local board area,2018,28400,52300,48700,20100,149400,19.0,35.0,32.6,13.4,37.3
Howick local board area,2019,28700,52800,49400,20800,151700,18.9,34.8,32.6,13.7,37.5
Howick local board area,2020,29100,53700,50700,22000,155500,18.7,34.5,32.6,14.1,37.9
Māngere-Ōtāhuhu local board area,2018,21400,32300,22100,7000,82700,25.9,39.0,26.7,8.4,29.1
Māngere-Ōtāhuhu local board area,2019,21600,32900,22500,7100,84100,25.6,39.1,26.8,8.5,29.4
Māngere-Ōtāhuhu local board area,2020,21600,33600,23100,7500,85800,25.2,39.2,26.9,8.8,29.8
Ōtara-Papatoetoe local board area,2018,21600,38500,23100,7400,90500,23.8,42.5,25.5,8.1,29.2
Ōtara-Papatoetoe local board area,2019,22000,39200,23500,7500,92200,23.8,42.5,25.5,8.2,29.5
Ōtara-Papatoetoe local board area,2020,22300,40100,24000,7900,94200,23.6,42.6,25.5,8.3,29.8
Manurewa local board area,2018,25500,40300,26800,8300,100900,25.3,40.0,26.6,8.2,29.6
Manurewa local board area,2019,26000,41300,27300,8600,103200,25.2,40.0,26.4,8.3,29.8
Manurewa local board area,2020,26600,42600,27900,9000,106100,25.1,40.1,26.3,8.5,30.2
Papakura local board area,2018,14300,23900,16700,6300,61100,23.4,39.1,27.3,10.3,31.8
Papakura local board area,2019,14900,24800,17100,6500,63400,23.6,39.2,27.0,10.3,31.9
Papakura local board area,2020,15600,26200,17800,6800,66300,23.5,39.4,26.8,10.2,32.2
Franklin local board area,2018,16100,22600,27400,11600,77700,20.7,29.0,35.3,15.0,40.2
Franklin local board area,2019,16300,23000,27900,12100,79300,20.6,29.0,35.2,15.2,40.3
Franklin local board area,2020,16600,23600,28400,12800,81300,20.4,29.0,34.9,15.7,40.5
Thames-Coromandel district,2018,4600,6200,10400,9500,30700,14.9,20.3,34.0,30.9,53.4
Thames-Coromandel district,2019,4600,6300,10500,9900,31300,14.8,20.2,33.5,31.5,53.8
Thames-Coromandel district,2020,4700,6500,10600,10400,32200,14.5,20.1,32.9,32.5,54.3
Hauraki district,2018,3800,5100,6900,4800,20700,18.5,24.6,33.6,23.3,46.6
Hauraki district,2019,3900,5200,6900,5000,21000,18.5,24.6,32.9,24.0,46.9
Hauraki district,2020,3900,5300,7000,5200,21400,18.4,24.6,32.5,24.5,47.2
Waikato district,2018,18000,23600,26800,9800,78200,23.1,30.2,34.3,12.5,37.3
Waikato district,2019,18300,24400,27300,10300,80400,22.8,30.4,34.0,12.8,37.4
Waikato district,2020,18700,25300,27900,10900,82900,22.6,30.6,33.6,13.2,37.4
Matamata-Piako district,2018,7100,10400,11000,6900,35300,20.0,29.4,31.0,19.6,40.6
Matamata-Piako district,2019,7100,10500,11000,7100,35800,19.8,29.5,30.8,19.9,40.6
Matamata-Piako district,2020,7100,10700,11100,7400,36300,19.6,29.6,30.5,20.4,40.8
Hamilton city,2018,35400,67600,46000,19500,168600,21.0,40.1,27.3,11.6,32.1
Hamilton city,2019,36100,69200,46900,20100,172300,20.9,40.2,27.2,11.7,32.3
Hamilton city,2020,36700,70800,48000,21000,176500,20.8,40.1,27.2,11.9,32.6
Waipa district,2018,11200,16100,18000,9700,55000,20.4,29.3,32.7,17.6,40.2
Waipa district,2019,11500,16400,18200,10100,56300,20.4,29.2,32.4,18.0,40.3
Waipa district,2020,11700,16900,18500,10700,57800,20.3,29.3,32.0,18.4,40.4
Ōtorohanga district,2018,2350,3400,3250,1550,10500,22.5,32.3,30.7,14.6,36.0
Ōtorohanga district,2019,2350,3400,3250,1600,10600,22.4,32.0,30.6,14.9,36.2
Ōtorohanga district,2020,2350,3450,3200,1650,10700,21.9,32.4,30.2,15.5,36.4
South Waikato district,2018,5700,7400,7700,4000,24800,22.9,29.8,31.1,16.2,37.3
South Waikato district,2019,5700,7500,7800,4100,25100,22.6,30.0,30.9,16.5,37.3
South Waikato district,2020,5700,7700,7800,4300,25400,22.5,30.2,30.5,16.7,37.2
Waitomo district,2018,2110,2940,3100,1490,9630,21.9,30.5,32.2,15.4,37.9
Waitomo district,2019,2100,2920,3100,1520,9650,21.8,30.3,32.1,15.8,38.2
Waitomo district,2020,2070,2950,3110,1580,9710,21.3,30.4,32.0,16.3,38.6
Taupō district,2018,7800,11000,12500,7300,38600,20.2,28.5,32.3,19.0,41.1
Taupō district,2019,7800,11200,12600,7700,39300,19.9,28.5,32.1,19.5,41.4
Taupō district,2020,7800,11400,12800,8000,40100,19.5,28.5,32.0,20.0,41.7
Western Bay of Plenty district,2018,9800,14000,18500,11100,53400,18.3,26.3,34.7,20.8,44.9
Western Bay of Plenty district,2019,9900,14400,18800,11700,54800,18.1,26.3,34.2,21.4,45.1
Western Bay of Plenty district,2020,10100,15000,19000,12400,56600,17.9,26.5,33.6,21.9,45.3
Tauranga city,2018,28200,42700,43500,27600,142000,19.9,30.0,30.7,19.4,40.1
Tauranga city,2019,28900,44100,44500,28700,146200,19.8,30.2,30.4,19.7,40.1
Tauranga city,2020,29600,46000,45700,30000,151300,19.6,30.4,30.2,19.8,40.0
Rotorua district,2018,16400,24400,23400,10600,74800,22.0,32.6,31.3,14.2,36.1
Rotorua district,2019,16600,24800,23600,10800,75800,21.8,32.7,31.1,14.3,36.1
Rotorua district,2020,16800,25400,23900,11200,77300,21.7,32.9,30.9,14.4,36.1
Whakatāne district,2018,8200,10600,12000,6300,37100,22.2,28.5,32.3,17.1,39.4
Whakatāne district,2019,8300,10700,12000,6600,37600,22.1,28.6,31.8,17.5,39.4
Whakatāne district,2020,8400,11000,12000,6900,38200,22.0,28.7,31.3,17.9,39.3
Kawerau district,2018,1760,2130,2100,1470,7460,23.6,28.6,28.1,19.7,37.8
Kawerau district,2019,1780,2150,2130,1550,7600,23.4,28.3,28.0,20.4,38.4
Kawerau district,2020,1800,2170,2140,1630,7750,23.2,28.0,27.7,21.1,38.8
Ōpōtiki district,2018,2140,2720,3120,1680,9670,22.1,28.2,32.3,17.4,39.7
Ōpōtiki district,2019,2180,2790,3150,1730,9850,22.1,28.4,32.0,17.6,39.5
Ōpōtiki district,2020,2200,2850,3200,1750,10000,22.0,28.6,31.7,17.6,39.3
Gisborne district,2018,11600,15000,15400,7500,49500,23.4,30.4,31.0,15.2,36.6
Gisborne district,2019,11700,15200,15500,7800,50100,23.3,30.4,30.8,15.5,36.6
Gisborne district,2020,11700,15500,15600,8000,50700,23.0,30.4,30.7,15.8,36.8
Wairoa district,2018,2020,2480,2740,1490,8720,23.2,28.4,31.4,17.1,38.4
Wairoa district,2019,2050,2510,2730,1530,8810,23.2,28.5,30.9,17.3,38.5
Wairoa district,2020,2070,2550,2740,1600,8960,23.1,28.4,30.6,17.9,38.6
Hastings district,2018,18100,25500,27100,14000,84700,21.4,30.1,32.0,16.5,38.7
Hastings district,2019,18200,26100,27300,14500,86100,21.1,30.3,31.7,16.8,38.7
Hastings district,2020,18400,27000,27600,15000,88000,20.9,30.6,31.4,17.1,38.7
Napier city,2018,12500,18500,20600,12600,64200,19.5,28.7,32.1,19.7,41.6
Napier city,2019,12600,18800,20800,12900,65200,19.4,28.9,31.9,19.8,41.6
Napier city,2020,12600,19400,21000,13300,66300,19.1,29.2,31.7,20.0,41.6
Central Hawke's Bay district,2018,3050,3650,5100,2850,14650,20.8,25.0,34.7,19.5,43.6
Central Hawke's Bay district,2019,3100,3700,5050,3000,14900,20.9,25.0,34.0,20.1,43.7
Central Hawke's Bay district,2020,3200,3800,5100,3150,15250,20.9,25.0,33.4,20.6,43.7
New Plymouth district,2018,16800,24600,27200,14700,83300,20.2,29.5,32.7,17.7,40.3
New Plymouth district,2019,17100,24800,27400,15200,84600,20.3,29.4,32.3,18.0,40.3
New Plymouth district,2020,17200,25500,27700,15700,86100,20.0,29.6,32.2,18.2,40.3
Stratford district,2018,2070,2890,3090,1670,9710,21.3,29.7,31.8,17.2,39.2
Stratford district,2019,2100,2870,3100,1740,9810,21.4,29.2,31.6,17.7,39.3
Stratford district,2020,2140,2870,3120,1750,9880,21.7,29.0,31.6,17.7,39.2
South Taranaki district,2018,6300,8400,9200,4400,28300,22.2,29.8,32.4,15.6,38.4
South Taranaki district,2019,6300,8400,9200,4600,28500,22.2,29.5,32.3,16.0,38.6
South Taranaki district,2020,6300,8400,9300,4700,28700,22.0,29.2,32.4,16.4,38.9
Ruapehu district,2018,2800,3800,4200,1950,12750,21.8,29.7,33.1,15.4,38.6
Ruapehu district,2019,2800,3750,4200,2050,12750,21.8,29.2,32.8,16.2,39.0
Ruapehu district,2020,2750,3700,4200,2150,12800,21.4,29.0,32.6,16.9,39.6
Whanganui district,2018,9100,13100,15100,9500,46800,19.5,28.0,32.3,20.3,42.5
Whanganui district,2019,9200,13200,15100,9800,47300,19.5,27.9,31.9,20.8,42.6
Whanganui district,2020,9300,13500,15100,10200,48100,19.3,28.0,31.4,21.3,42.6
Rangitikei district,2018,3150,4400,5000,2850,15450,20.6,28.4,32.5,18.5,41.0
Rangitikei district,2019,3150,4500,5000,2950,15550,20.2,28.9,32.0,18.8,41.0
Rangitikei district,2020,3150,4600,5000,3000,15750,20.0,29.1,31.7,19.2,40.9
Manawatū district,2018,6400,8900,10400,5500,31100,20.5,28.6,33.3,17.7,40.8
Manawatū district,2019,6500,9000,10300,5800,31600,20.6,28.5,32.7,18.2,40.9
