name,erp18,erp19,erp20,avann1819num,avann1819per,chg1920num,chg1920per
Far North district,67900,69300,71000,1300,2.0,1800,2.6
Whangārei district,94100,96000,98300,1800,2.0,2400,2.5
Kaipara district,23700,24400,25200,600,2.7,800,3.2
Auckland,1654800,1680500,1717500,25700,1.6,37000,2.2
Rodney local board area,69100,71200,73700,2100,3.0,2500,3.6
Hibiscus and Bays local board area,108500,111000,114300,2500,2.3,3400,3.0
Upper Harbour local board area,66800,68600,71300,1700,2.6,2800,4.0
Kaipātiki local board area,92900,93400,94700,600,0.6,1200,1.3
Devonport-Takapuna local board area,60500,60600,61400,100,0.2,700,1.2
Henderson-Massey local board area,124600,126300,129000,1700,1.3,2700,2.1
Waitākere Ranges local board area,54200,54700,55500,500,0.8,800,1.4
Aotea/Great Barrier local board area,960,980,1000,20,1.7,20,1.7
Waiheke local board area,9360,9510,9660,160,1.7,150,1.5
Waitematā local board area,88500,89700,90700,1200,1.4,1000,1.1
Whau local board area,84100,85200,86700,1200,1.4,1500,1.7
Albert-Eden local board area,103700,104000,105300,300,0.3,1300,1.3
Puketāpapa local board area,60900,61600,62500,700,1.1,900,1.5
Ōrākei local board area,87700,88300,89300,500,0.6,1000,1.2
Maungakiekie-Tamaki local board area,80500,81700,83100,1200,1.4,1400,1.8
Howick local board area,149400,151700,155500,2200,1.5,3800,2.5
Māngere-Ōtāhuhu local board area,82700,84100,85800,1300,1.6,1800,2.1
Ōtara-Papatoetoe local board area,90500,92200,94200,1600,1.8,2000,2.2
Manurewa local board area,100900,103200,106100,2300,2.3,2900,2.8
Papakura local board area,61100,63400,66300,2300,3.8,2900,4.6
Franklin local board area,77700,79300,81300,1600,2.1,2100,2.6
Thames-Coromandel district,30700,31300,32200,600,2.1,800,2.6
Hauraki district,20700,21000,21400,400,1.7,400,1.9
Waikato district,78200,80400,82900,2200,2.8,2500,3.1
Matamata-Piako district,35300,35800,36300,400,1.2,500,1.5
Hamilton city,168600,172300,176500,3700,2.2,4200,2.5
Waipa district,55000,56300,57800,1300,2.4,1500,2.7
Ōtorohanga district,10500,10600,10700,50,0.7,100,0.9
South Waikato district,24800,25100,25400,300,1.0,400,1.4
Waitomo district,9630,9650,9710,20,0.2,60,0.6
Taupō district,38600,39300,40100,700,1.9,800,2.0
Western Bay of Plenty district,53400,54800,56600,1400,2.6,1700,3.1
Tauranga city,142000,146200,151300,4200,2.9,5100,3.5
Rotorua district,74800,75800,77300,1000,1.4,1500,2.0
Whakatāne district,37100,37600,38200,500,1.3,600,1.6
Kawerau district,7460,7600,7750,140,1.9,150,2.0
Ōpōtiki district,9670,9850,10000,200,1.9,150,1.7
Gisborne district,49500,50100,50700,600,1.2,600,1.2
Wairoa district,8720,8810,8960,90,1.0,150,1.7
Hastings district,84700,86100,88000,1400,1.6,1800,2.1
Napier city,64200,65200,66300,1000,1.5,1100,1.7
Central Hawke's Bay district,14650,14900,15250,250,1.7,300,2.1
New Plymouth district,83300,84600,86100,1300,1.6,1500,1.8
Stratford district,9710,9810,9880,100,1.0,70,0.7
South Taranaki district,28300,28500,28700,200,0.7,200,0.7
Ruapehu district,12750,12750,12800,0,0.0,50,0.5
Whanganui district,46800,47300,48100,600,1.2,800,1.6
Rangitikei district,15450,15550,15750,100,0.7,200,1.2
Manawatū district,31100,31600,32100,500,1.6,500,1.6
Palmerston North city,88300,89100,90400,800,0.9,1200,1.4
Tararua district,18450,18650,18900,200,1.0,250,1.3
Horowhenua district,34500,35300,36100,700,2.1,800,2.3
Kapiti Coast district,55200,56000,57000,800,1.5,1100,1.9
Porirua city,58900,59800,61000,900,1.6,1200,2.1
Upper Hutt city,45400,46100,47100,800,1.7,900,2.0
Lower Hutt city,108600,109800,111800,1200,1.1,2000,1.8
Wellington city,211200,213100,216200,2000,0.9,3000,1.4
Masterton district,26400,26900,27500,500,1.9,600,2.3
Carterton district,9510,9710,9960,200,2.1,250,2.5
South Wairarapa district,10900,11100,11400,200,1.7,300,2.7
Tasman district,54000,55100,56400,1100,2.0,1300,2.3
Nelson city,52700,53600,54600,900,1.7,1000,1.9
Marlborough district,48700,49400,50200,600,1.3,800,1.7
Kaikoura district,4060,4120,4220,70,1.6,90,2.2
Buller district,9850,9720,9610,-130,-1.4,-110,-1.1
Grey district,13750,13750,13800,0,-0.1,100,0.6
Westland district,8830,8840,8920,10,0.1,80,0.9
Hurunui district,12950,13100,13300,100,0.9,250,1.8
Waimakariri district,61300,62800,64700,1500,2.4,1900,3.0
Christchurch city,383800,387700,394700,3900,1.0,7000,1.8
Selwyn district,63300,66300,69700,3000,4.7,3400,5.2
Ashburton district,34600,35000,35400,400,1.0,400,1.1
Timaru district,47600,47900,48400,300,0.7,400,0.9
Mackenzie district,5100,5270,5420,170,3.3,150,2.9
Waimate district,8120,8180,8240,50,0.6,70,0.8
Chatham Islands territory,690,710,760,30,4.0,50,6.5
Waitaki district,22900,23200,23500,300,1.2,300,1.4
