NZ Port,Citizenship,Count,Year
Akaroa,Australia,73145.0,2015.0
Akaroa,Austria,125.0,2015.0
Akaroa,Belgium,158.0,2015.0
Akaroa,Brazil,314.0,2015.0
Akaroa,Canada,4522.0,2015.0
Akaroa,China, Peoples Republic of,1507.0,2015.0
Akaroa,Denmark,143.0,2015.0
Akaroa,France,266.0,2015.0
Akaroa,Germany,1202.0,2015.0
Akaroa,Hong Kong (Special Admin Reg),417.0,2015.0
Akaroa,India,118.0,2015.0
Akaroa,Ireland,176.0,2015.0
Akaroa,Israel,243.0,2015.0
Akaroa,Italy,234.0,2015.0
Akaroa,Japan,845.0,2015.0
Akaroa,Malaysia,342.0,2015.0
Akaroa,Mexico,439.0,2015.0
Akaroa,Netherlands,383.0,2015.0
Akaroa,New Zealand,6294.0,2015.0
Akaroa,Philippines,145.0,2015.0
Akaroa,Russia,281.0,2015.0
Akaroa,Singapore,193.0,2015.0
Akaroa,South Africa,209.0,2015.0
Akaroa,Spain,105.0,2015.0
Akaroa,Sweden,276.0,2015.0
Akaroa,Switzerland,423.0,2015.0
Akaroa,Taiwan,177.0,2015.0
Akaroa,United Kingdom,8782.0,2015.0
Akaroa,United States of America,25142.0,2015.0
Auckland,Australia,92859.0,2015.0
Auckland,Austria,384.0,2015.0
Auckland,Belgium,328.0,2015.0
Auckland,Brazil,392.0,2015.0
Auckland,Canada,6010.0,2015.0
Auckland,Chile,124.0,2015.0
Auckland,China, Peoples Republic of,2324.0,2015.0
Auckland,Denmark,285.0,2015.0
Auckland,Finland,105.0,2015.0
Auckland,France,1445.0,2015.0
Auckland,Germany,4244.0,2015.0
Auckland,Hong Kong (Special Admin Reg),549.0,2015.0
Auckland,India,217.0,2015.0
Auckland,Ireland,266.0,2015.0
Auckland,Israel,266.0,2015.0
Auckland,Italy,702.0,2015.0
Auckland,Japan,1451.0,2015.0
Auckland,Korea, Republic of,156.0,2015.0
Auckland,Malaysia,441.0,2015.0
Auckland,Mexico,509.0,2015.0
Auckland,Netherlands,560.0,2015.0
Auckland,New Zealand,18642.0,2015.0
Auckland,Norway,150.0,2015.0
Auckland,Philippines,207.0,2015.0
Auckland,Portugal,101.0,2015.0
Auckland,Russia,372.0,2015.0
Auckland,Singapore,260.0,2015.0
Auckland,South Africa,365.0,2015.0
Auckland,Spain,303.0,2015.0
Auckland,Sweden,354.0,2015.0
Auckland,Switzerland,901.0,2015.0
Auckland,Taiwan,246.0,2015.0
Auckland,United Kingdom,11575.0,2015.0
Auckland,United States of America,30840.0,2015.0
Bay of Islands,Australia,30910.0,2015.0
Bay of Islands,Austria,183.0,2015.0
Bay of Islands,Canada,2490.0,2015.0
Bay of Islands,China, Peoples Republic of,350.0,2015.0
Bay of Islands,Denmark,183.0,2015.0
Bay of Islands,France,314.0,2015.0
Bay of Islands,Germany,2987.0,2015.0
Bay of Islands,Hong Kong (Special Admin Reg),210.0,2015.0
Bay of Islands,Ireland,110.0,2015.0
Bay of Islands,Israel,130.0,2015.0
Bay of Islands,Italy,103.0,2015.0
Bay of Islands,Japan,181.0,2015.0
Bay of Islands,Malaysia,118.0,2015.0
Bay of Islands,Mexico,105.0,2015.0
Bay of Islands,Netherlands,226.0,2015.0
Bay of Islands,New Zealand,1873.0,2015.0
Bay of Islands,Russia,150.0,2015.0
Bay of Islands,Singapore,109.0,2015.0
Bay of Islands,South Africa,111.0,2015.0
Bay of Islands,Sweden,170.0,2015.0
Bay of Islands,Switzerland,401.0,2015.0
Bay of Islands,United Kingdom,5526.0,2015.0
Bay of Islands,United States of America,11070.0,2015.0
Dunedin,Australia,76722.0,2015.0
Dunedin,Austria,158.0,2015.0
Dunedin,Belgium,138.0,2015.0
Dunedin,Brazil,309.0,2015.0
Dunedin,Canada,4203.0,2015.0
Dunedin,China, Peoples Republic of,1521.0,2015.0
Dunedin,Denmark,143.0,2015.0
Dunedin,France,271.0,2015.0
Dunedin,Germany,1623.0,2015.0
Dunedin,Hong Kong (Special Admin Reg),444.0,2015.0
Dunedin,India,123.0,2015.0
Dunedin,Ireland,185.0,2015.0
Dunedin,Israel,248.0,2015.0
Dunedin,Italy,245.0,2015.0
Dunedin,Japan,857.0,2015.0
Dunedin,Malaysia,356.0,2015.0
Dunedin,Mexico,438.0,2015.0
Dunedin,Netherlands,372.0,2015.0
Dunedin,New Zealand,6251.0,2015.0
Dunedin,Philippines,148.0,2015.0
Dunedin,Russia,287.0,2015.0
Dunedin,Singapore,195.0,2015.0
Dunedin,South Africa,228.0,2015.0
Dunedin,Spain,110.0,2015.0
Dunedin,Sweden,283.0,2015.0
Dunedin,Switzerland,452.0,2015.0
Dunedin,Taiwan,180.0,2015.0
