DepartmentFamily,Entity,Date,ExpenseType,ExpenseArea,Supplier,PaymentNumber,InvoiceDistributionAmount,InvoiceDescription,SupplierPostCode,ExpenditureType
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-04,EXP - PURCHASE OF GOODS/SERVICES- OTHER - PROGRAMME EXP - LOCAL AUTHORITY GRANTS,REGULATORY DELIVERY,TRADING STANDARDS INSTITUTE (GRANTS),1011715016,325026.93,Feed Off. Costs 2020/21 Prog delivery (inland/ports). Feed Official Controls funding 2020/21. To deliver a programme of Official Controls (inland inspections/sampling & ports work) in 2020/21. (FS225002),SS15 6TH,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-18,EXP - PURCHASE OF GOODS/SERVICES - SHARED SERV OUTSRCG- CIVIL SERV PENSION ADMIN,FINANCE,LONDON PENSIONS FUND AUTHORITY,1011715151,250000.0,SOP1-724486-173305-173858-LPFA VOLUNTARY ERS,EC3N 4LP,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-02,Redacted under s43 FOI Act,OPERATIONAL DELIVERY,Redacted under s43 FOI Act,1011714983,159260.0,Redacted under s43 FOI Act,Redacted under s43 FOI Act,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-26,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT SERVICE DELIVERY,COREAZURE LTD,1011715215,95613.49,IT24 Var 2 - Azure CSP ? Consumption Dec 20 & Jan 21,EC1N 8TS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-03,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,SCIENTIFIC METHODS AND LABORATORY POLICY,HAMPSHIRE SCIENTIFIC SERVICE HAMPSHIRE COUNTY COUNCIL,1011714994,82468.1,Covid-19 surveillance sampling programme,SO23 8UB,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-24,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Surveillance,COGNIZANT WORLDWIDE LTD,1011715198,76138.0,Supply of Data Science Capability January 2021,W2 6BD,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-12,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,SCIENTIFIC METHODS AND LABORATORY POLICY,PUBLIC HEALTH ENGLAND,2012700939,69153.83,FS516010 - National Reference Laboratory for Microbiology,NW9 5EQ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-04,EXP - PURCHASE OF GOODS/SERVICES- OTHER - PROGRAMME EXP - LOCAL AUTHORITY GRANTS,REGULATORY DELIVERY,TRADING STANDARDS INSTITUTE (GRANTS),1011715016,60847.42,Feed Off. Costs 2020/21 Prog delivery (FH@PP). Feed Official Controls funding 2020/21. To deliver a programme of Official Controls (Food Hygiene at Primary Production) in 2020/21. (FS211003),SS15 6TH,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-26,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,"SCIENCE STRATEGY, CAPABILITY AND RESEARCH",CSC COMPUTER SCIENCES LTD,1011715223,60000.0,series of mapping workshops co-created with you and your colleagues to establish the core FSA scenarios ,GU11 1PZ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-03,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,Surveillance,DUN & BRADSTREET LTD,1011714995,55000.0,FS430657 Supply of UK Food Industry Data set,SL7 1AJ,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-25,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,RISK ASSESSMENT - RESEARCH AND DEVELOPMENT,ANIMAL & PLANT HEALTH AGENCY,2012700946,46281.86,"EU Harmonised Survey of AMR in Retail Meats (APHA, Year 6)",YO1 7PX,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-24,Redacted under s43 FOI Act,OPERATIONAL DELIVERY,Redacted under s43 FOI Act,1011715204,38168.0,Redacted under s43 FOI Act,Redacted under s43 FOI Act,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-25,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,REGULATORY DELIVERY,C E F A S,2012700948,36559.08,Shellfish Biotoxin Analysis,NR33 0HT,PROGRAMME
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-03,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS - COMPUTER HARDWARE,IT SERVICE DELIVERY,COREAZURE LTD,1011714990,36185.0,IT24 Datacentre and Hosting,EC1N 8TS,ADMIN
FOOD STANDARDS AGENCY - Westminster,FOOD STANDARDS AGENCY - Westminster,2021-02-26,EXP - PURCHASE OF GOODS/SERVICES - OTHER - PROGRAMME EXPENDITURE,"SCIENCE STRATEGY, CAPABILITY AND RESEARCH",UNIVERSITY OF SHEFFIELD,1011715222,34181.0,2 year research fellowshipFS900086,S10 2TN,PROGRAMME
