Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Department Family,Date Paid,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Inclusive,
Crown Prosecution Service ,02/08/19,Crown Court Graduated Fee Scheme,Mersey Cheshire Complex Casework Unit,Harrington Street Chambers,1088338/NP,"£40,123.42",Y,
Crown Prosecution Service ,02/08/19,Crown Court Graduated Fee Scheme,South East Complex Casework Unit,23 Essex Street Chambers,172046-ALG - TRIAL,"£30,428.22",Y,
Crown Prosecution Service ,02/08/19,Crown Court Very High Cost Cases Full Scheme,South East Complex Casework Unit,Foundry Chambers (9-12 Bell Yard),186134/RJ,"£43,267.26",Y,
Crown Prosecution Service ,02/08/19,Landlord service charge,Estate and FM: Programme,Ministry Of Justice,2311566,"£207,607.73",Y,
Crown Prosecution Service ,02/08/19,Landlord service charge,Estate and FM: Administration,Ministry Of Justice,2311566,"£42,522.07",Y,
Crown Prosecution Service ,02/08/19,Facilities management,Estate and FM: Programme,Ministry Of Justice,2314769,"£30,923.16",Y,
Crown Prosecution Service ,02/08/19,Recoverable VAT control,Balance Sheet,Ministry Of Justice,2314769,"£6,184.63",Y,
Crown Prosecution Service ,02/08/19,IT services,ERP Project: Programme,Accenture (UK) Ltd London,3003437233,"£69,105.02",Y,
Crown Prosecution Service ,02/08/19,Legal Consultancy Advice,Litigation,Government Legal Department,470420,"£33,621.90",Y,
Crown Prosecution Service ,02/08/19,Data Communications,PSN Services Contract,CenturyLink,82422296/967778,"£63,926.22",Y,
Crown Prosecution Service ,02/08/19,IT services,Architecture Contractors,GovNow London,FLY/CPS/0032,"£74,010.60",Y,
Crown Prosecution Service ,02/08/19,IT services,Finance Operations,CGI IT UK Ltd,GB014019731rekey,"£30,658.40",Y,
Crown Prosecution Service ,02/08/19,IT services,Analysis and Delivery: non CMS,CGI IT UK Ltd,GB014022117,"£71,466.48",Y,
Crown Prosecution Service ,02/08/19,Crown Court Graduated Fee Scheme,Cymru Wales Complex Casework Unit,Farrar's Building,PL/161033,"£27,444.53",Y,
Crown Prosecution Service ,05/08/19,Crown Court Graduated Fee Scheme,London North Complex Casework Unit,QEB Hollis Whiteman Chambers,103974/JE/1,"£87,779.36",Y,
Crown Prosecution Service ,05/08/19,Crown Court Graduated Fee Scheme,North West Complex Casework Unit,Exchange Chambers - Manchester,514335 AMS,"£27,085.87",Y,
Crown Prosecution Service ,05/08/19,Crown Court Graduated Fee Scheme,North West Complex Casework Unit,Exchange Chambers - Manchester,514335 MR,"£40,141.32",Y,
Crown Prosecution Service ,05/08/19,External Training,Leadership and Management Development,CILEX Law School Ltd,CLS246261,"£28,080.00",Y,
Crown Prosecution Service ,05/08/19,Crown Court Graduated Fee Scheme,London North Complex Casework Unit,6 Kings Bench Walk- Chambers of D Fisher & D Perry,PJA-POPOOLA+96354,"£46,966.00",Y,
Crown Prosecution Service ,06/08/19,Crown Court Graduated Fee Scheme,London South Crown Court Unit,Nine Bedford Row (9 Bedford Row),136880pm,"£33,195.18",Y,
Crown Prosecution Service ,06/08/19,Crown Court Graduated Fee Scheme,London South Complex Casework Unit,Red Lion Chambers (18 RLC),151800IM,"£46,054.26",Y,
Crown Prosecution Service ,06/08/19,Crown Court Graduated Fee Scheme,London South Complex Casework Unit,Red Lion Chambers (18 RLC),151800SRE2,"£32,629.63",Y,
Crown Prosecution Service ,06/08/19,IT non capital software licences,ERP Project: Programme,Oracle Corporation UK Ltd,1700058,"£60,120.90",Y,
Crown Prosecution Service ,06/08/19,Crown Court Graduated Fee Scheme,South East Crown Court,23 Essex Street Chambers,174056-KL,"£39,223.62",Y,
Crown Prosecution Service ,06/08/19,Transcriptions and Translation,Other Corporate Programme Payments,AVR Transcription Ltd Bolton,33659-VID.072,"£49,783.32",Y,
Crown Prosecution Service ,06/08/19,IT services,End User Computing Contract,WIPRO Holdings London,82995141,"£166,813.02",Y,
Crown Prosecution Service ,06/08/19,Crown Court Graduated Fee Scheme,Counter Terrorism Unit: Internal Funding,6 Kings Bench Walk- Chambers of D Fisher & D Perry,96101 Sapient,"£30,078.40",Y,
Crown Prosecution Service ,06/08/19,Overseas Hotels,Private Office,Clarity Travel Management,CPSHQ0174,"£2,663.00",Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,ERP Project: Admin,Clarity Travel Management,CPSHQ0174,£392.35,Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,HR Strategy and Inclusion,Clarity Travel Management,CPSHQ0174,"£1,060.90",Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,Service Transition,Clarity Travel Management,CPSHQ0174,£273.50,Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,Solutions Development,Clarity Travel Management,CPSHQ0174,£182.60,Y,
Crown Prosecution Service ,06/08/19,UK Hotels,Operations: Delivery,Clarity Travel Management,CPSHQ0174,"£3,759.12",Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,Operations: Delivery,Clarity Travel Management,CPSHQ0174,"£2,778.05",Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,Resourcing,Clarity Travel Management,CPSHQ0174,"£1,073.05",Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,Operations: Digital,Clarity Travel Management,CPSHQ0174,£302.70,Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,Corporate HR,Clarity Travel Management,CPSHQ0174,£730.80,Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,Operations: Business Support,Clarity Travel Management,CPSHQ0174,"£1,201.10",Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,HR Operations,Clarity Travel Management,CPSHQ0174,£284.20,Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,Strategic Financial Planning,Clarity Travel Management,CPSHQ0174,£321.30,Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,IT Stewardship,Clarity Travel Management,CPSHQ0174,£349.50,Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,Learning and Development General,Clarity Travel Management,CPSHQ0174,£892.80,Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,Analysis and Delivery,Clarity Travel Management,CPSHQ0174,£411.00,Y,
Crown Prosecution Service ,06/08/19,UK Hotels,IT Stewardship,Clarity Travel Management,CPSHQ0174,£586.50,Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,Corporate Communication,Clarity Travel Management,CPSHQ0174,£96.10,Y,
Crown Prosecution Service ,06/08/19,UK Hotels,HR Operations,Clarity Travel Management,CPSHQ0174,£98.01,Y,
Crown Prosecution Service ,06/08/19,UK Hotels,Learning and Development General,Clarity Travel Management,CPSHQ0174,£89.50,Y,
Crown Prosecution Service ,06/08/19,UK Hotels,Operations: Business Support,Clarity Travel Management,CPSHQ0174,£383.50,Y,
Crown Prosecution Service ,06/08/19,UK Hotels,ERP Project: Admin,Clarity Travel Management,CPSHQ0174,£448.28,Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,Lesbian Gay Bisexual and Transgender Network,Clarity Travel Management,CPSHQ0174,£325.20,Y,
Crown Prosecution Service ,06/08/19,UK National rail travel,DTUS,Clarity Travel Management,CPSHQ0174,£422.90,Y,
