CONTRACT LIST ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
NR,CONTRACT NAME,SUPPLIER NAME,START DATE,END DATE, 
1,MOBILE SERVICES ,VODAFONE ,Apr-10,Apr-12, 
2,WAREHOUSING AND STORAGE SERVICES ,E.CHRISTIAN & COMPANY LTD (TRADING AS EC GROUP) ,Mar-10,Jun-12, 
3,IT SECURITY CONSULTANCY ,QUO IMUS LIMITED (QI Consulting) ,Apr-10,Mar-11, 
4,BACK OFFICE ADMIN SOFTWARE ,ALITO/AGRESSO (LOGICA) ,Mar-09,Sep-14, 
5,AML- ANTI MONEY LAUNDERING ,CIVICA SERVICES LTD ,Jun-09,Mar-12, 
6,RESEARCH SERVICES FRAMEWORK ,VARIOUS ,Sep-09,Oct-13, 
7,FACILITIES MANAGEMENT - MULTI ACTIVITY CONTRACT ,EUROPA ,Jan-09,Sep-11, 
8,EDUCATIONAL TOOLKIT ,"LLU+, LONDON SOUTH BANK UNIVERSITY ",Dec-08,Dec-11, 
9,LEASE - FLEETBANK HOUSE 2009-2023 ,THE CITY OF LONDON REAL PROPERTY COMPANY LIMITED ,Dec-07,Dec-23, 
10,INTELLIGENT MANAGEMENT SYSTEM ,MEMEX TECHNOLOGY LIMITED ,Oct-09,Oct-14, 
11,CONSUMER DIRECT - CASE HANDLING SYSTEM (CHS) ,CIVICA SERVICES LTD ,Jul-09,Nov-10, 
12,EDD CONTRACT ,SPECIALIST COMPUTER CENTERS Plc ,Dec-09,Dec-10, 
13,HR & PROCUREMENT LEGAL SERVICES ,BURGES SALMON LLP ,Nov-09,May-13, 
14,SCS EXEC RECRUITMENT ,VEREDUS ,Sep-09,Mar-11, 
15,INTERNAL AUDIT SERVICES ,PRICE WATERHOUSE COOPERS ,Apr-10,Apr-11, 
16,STRATEGIC SERVICES AGREEMENT INCLUDING PROMOD ,LOGICA UK LIMITED ,Jun-05,May-11, 
17,LIFT MAINTENANCE CONTRACT ,OTIS LTD ,Feb-05,Feb-15, 
18,VIDEO NEWS RELEASE ,MEDIA ZOO LTD ,Jul-08,Jul-11, 
19,NATIONAL AND REGIONAL MEDIA MONITORING SERVICES ,EDS MEDIA (PRECISE) ,Mar-09,Feb-12, 
20,PROVISION OF OCCUPATIONAL HEALTH CARE SERVICES ,MEDIGOLD ,Mar-09,Mar-12, 
21,MEDIATION & INVESTIGATION SERVICES ,CONFLICT MANAGEMENT PLUS Ltd ,Jun-09,Jun-12, 
22,EAST OF ENGLAND CONSUMER DIRECT ,VERTEX DATA SCIENCES Ltd ,Oct-09,Apr-11, 
23,SOUTH WEST CONSUMER DIRECT ,SWERCOTS Ltd ,Oct-09,Apr-11, 
24,SOUTH EAST CONSUMER DIRECT ,TRADING STANDARDS SOUTH EAST Ltd ,Oct-09,Apr-11, 
25,EAST MIDLANDS CONSUMER DIRECT ,LINCOLNSHIRE COUNTY COUNCIL ,Oct-09,Apr-11, 
26,WEST MIDLANDS CONSUMER DIRECT ,COVENTRY COUNTY COUNCIL ,Oct-09,Apr-11, 
27,WALES CONSUMER DIRECT ,CARDIFF CITY COUNCIL ,Oct-09,Apr-11, 
28,NORTH WEST CONSUMER DIRECT ,CUMBRIA COUNTY COUNCIL ,Oct-09,Apr-11, 
29,SCOTLAND CONSUMER DIRECT ,WESTERN ISLES COUNCIL ,Oct-09,Apr-11, 
30,YORKSHIRE AND HUMBER CONSUMER DIRECT ,WAKEFIELD METROPOLITAN COUNTY COUNCIL ,Oct-09,Apr-11, 
31,STATIONERY CONTRACT ,BANNER BUSINESS SERVICES LTD ,Aug-10,Aug-12, 
32,CONSUMER BEHAVIOURAL BIASES IN COMPETITION ,LONDON ECONOMICS ,Sep-10,Jan-11, 
