TRANSACTION ID,MERCHANT NAME,MCC,DATE,AMOUNT,MERCHANT DETAILS
3.61989252E8,MC DIGITAL DEVICES,5964.0,26/02/2015,2892.0,CATALOG MERCHANT
3.59384554E8,MARKS & SPENCER,5411.0,12/02/2015,2100.0,GROCERY STORES
3.56954192E8,BPP PROF EDUCATION,8220.0,30/01/2015,1650.0,COLLEGES/UNIV/JC/PROFESSION
3.59529715E8,TEKTRADERS LIMITED,5045.0,12/02/2015,977.94,COMPUTERS/PERIPHERALS/SOFTWARE
3.59094807E8,KEY TRAVEL,4722.0,11/02/2015,721.3,TRAVEL AGENCIES
3.5778827E8,FALCON SELF DRIVE LTD,7512.0,04/02/2015,640.0,OTHER CAR RENTALS
3.61631991E8,BAHRAIN SHERATON HOTEL,3503.0,23/02/2015,532.86,SHERATON
3.58072574E8,EBUYER (UK) LTD,5722.0,04/02/2015,524.94,HOUSEHOLD APPLIANCE STORES
3.61926486E8,EBUYER (UK) LTD,5722.0,24/02/2015,524.94,HOUSEHOLD APPLIANCE STORES
3.58265524E8,DON RUFFLES LTD,5943.0,06/02/2015,501.6,STATIONERY STORES
3.57930815E8,WWW.ICO.GOV.UK,9399.0,05/02/2015,500.0,GOV T SERV - DEFAULT
