CPS - Key Performance Measures,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
,,,,,,,,,,,,,,,,,
Measure,16/17-Q1,16/17-Q2,16/17-Q3,16/17-Q4,,,,,,,,,,,,,
Magistrates' Court - Conviction Rate,84.7%,84.2%,84.6%,85.5%,,,,,,,,,,,,,
Magistrates' Court - Percentage of GPs at 1st hearing,70.9%,70.3%,69.2%,69.4%,,,,,,,,,,,,,
Magistrates' Court - Average number of hearings per case (guilty pleas),1.71,1.70,1.69,1.66,,,,,,,,,,,,,
Magistrates' Court - Average number of hearings per case (contests),2.93,2.96,2.92,2.87,,,,,,,,,,,,,
Magistrates' Court - Prosecutions dropped at 3rd or subsequent hearing,29.3%,30.2%,30.3%,28.4%,,,,,,,,,,,,,
Crown Court - Conviction Rate,79.2%,78.3%,78.8%,79.0%,,,,,,,,,,,,,
Crown Court - Guitly Plea at 1st Hearing,38.9%,39.4%,40.2%,41.3%,,,,,,,,,,,,,
Crown Court - Average number of hearings per case (guilty pleas),3.74,3.69,3.62,3.52,,,,,,,,,,,,,
Crown Court - Average number of hearings per case (contests),5.47,5.30,5.17,5.02,,,,,,,,,,,,,
Crown Court - Timely Compliance with Judges' Order and Court Directions,81.8%,83.2%,84.5%,87.7%,,,,,,,,,,,,,
Violence against Women - Rolling Annual Rape Conviction Rate,57.2%,57.6%,58.0%,57.6%,,,,,,,,,,,,,
Violence against Women - Domestic Violence Conviction Rate,75.8%,75.2%,75.5%,76.4%,,,,,,,,,,,,,
Hate Crime - Conviction Rate,83.1%,83.3%,83.2%,83.4%,,,,,,,,,,,,,
Sickness Absence - Average Working Days Lost (days per person),8.2,8.2,8.2,7.7,,,,,,,,,,,,,
Employee Engagement Index*,52.0%,52.0%,58.0%,58.0%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Source:  Data for all measures is sourced from CMS/MIS except for Average Working Days Lost which is sourced from iTrent/ePayFact,,,,,,,,,,,,,,,,,
All data relates to the performance of the 13 CPS Areas ,,,,,,,,,,,,,,,,,
*Data updated annually following publication of the Civil Service Staff Survey,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1.  CPS data are available through its Case Management System (CMS) and associated Management Information System (MIS).  The CPS collects data to assist in the effective management of its prosecution functions.  The CPS does not collect data that constitutes official statistics as defined in the Statistics and Registration Service Act 2007.  ,,,,,,,,,,,,,,,,,
"2.  These data have been drawn from the CPS’s administrative IT system, which (as with any large scale recording system) is subject to possible errors with data entry and processing. The figures are provisional and subject to change as more information is recorded by the CPS.  We are committed to improving the quality of our data and from mid-June 2015 introduced a new data assurance regime which may explain some unexpected variance in some future data sets.",,,,,,,,,,,,,,,,,
"3.  The official statistics relating to crime and policing are maintained by the Home Office (HO) and the official statistics relating to sentencing, criminal court proceedings, offenders brought to justice, the courts and the judiciary are maintained by the Ministry of Justice (MOJ).",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
