met type,date,mean/sum,min,max,%complete,comments
Air Temperature,18/06/2009,10.91,8.0,12.9,50,
Air Temperature,19/06/2009,10.24,7.7,14.0,100,
Air Temperature,20/06/2009,11.13,7.4,15.1,100,
Air Temperature,21/06/2009,12.59,7.5,17.0,100,
Air Temperature,22/06/2009,14.97,10.9,20.2,100,
Air Temperature,23/06/2009,17.3,11.4,23.0,100,
Air Temperature,24/06/2009,15.63,10.9,20.6,100,
Air Temperature,25/06/2009,13.89,10.9,18.5,100,
Air Temperature,26/06/2009,13.55,10.0,18.0,100,
Air Temperature,27/06/2009,14.05,13.1,15.3,100,
Air Temperature,28/06/2009,14.65,12.7,17.8,100,
Air Temperature,29/06/2009,16.14,13.3,20.8,100,
Air Temperature,30/06/2009,17.31,13.4,22.3,100,
Air Temperature,01/07/2009,20.26,15.0,26.1,100,
Air Temperature,02/07/2009,20.81,14.7,25.7,100,
Air Temperature,03/07/2009,14.96,11.9,18.9,100,
Air Temperature,04/07/2009,15.72,11.4,19.9,100,
Air Temperature,05/07/2009,15.13,11.1,19.8,100,
Air Temperature,06/07/2009,14.03,11.2,17.8,100,
Air Temperature,07/07/2009,12.63,10.8,15.0,100,
Air Temperature,08/07/2009,11.88,9.0,15.0,100,
Air Temperature,09/07/2009,11.34,6.0,15.2,100,
Air Temperature,10/07/2009,11.64,5.8,16.7,100,
Air Temperature,11/07/2009,13.58,8.8,18.7,100,
Air Temperature,12/07/2009,13.24,11.5,15.5,100,
Air Temperature,13/07/2009,13.63,8.1,18.2,100,
Air Temperature,14/07/2009,13.34,9.0,17.3,100,
Air Temperature,15/07/2009,14.05,9.5,19.0,100,
Air Temperature,16/07/2009,14.25,11.4,18.3,100,
Air Temperature,17/07/2009,11.34,10.6,12.4,100,
Air Temperature,18/07/2009,12.32,10.8,15.4,100,
Air Temperature,19/07/2009,12.83,9.9,16.1,100,
Air Temperature,20/07/2009,12.6,9.0,16.8,100,
Air Temperature,21/07/2009,11.76,5.8,15.2,100,
Air Temperature,22/07/2009,12.49,6.5,16.5,100,
Air Temperature,23/07/2009,14.34,11.8,18.0,100,
Air Temperature,24/07/2009,12.76,10.4,15.3,100,
Air Temperature,25/07/2009,11.8,6.1,17.0,100,
Air Temperature,26/07/2009,11.76,5.2,17.2,100,
Air Temperature,27/07/2009,12.54,10.1,14.4,100,
Air Temperature,28/07/2009,12.31,9.1,14.8,100,
Air Temperature,29/07/2009,12.99,10.9,16.0,100,
Air Temperature,30/07/2009,11.68,9.4,14.3,100,
Air Temperature,31/07/2009,12.21,7.4,16.1,100,
Air Temperature,01/08/2009,13.28,10.8,16.9,100,
Air Temperature,02/08/2009,12.7,10.7,15.5,100,
Air Temperature,03/08/2009,14.04,7.8,18.7,100,
Air Temperature,04/08/2009,16.06,14.1,19.1,100,
Air Temperature,05/08/2009,15.58,10.2,19.6,100,
Air Temperature,06/08/2009,13.01,4.9,19.8,100,
Air Temperature,07/08/2009,14.55,9.9,20.6,100,
Air Temperature,08/08/2009,14.03,8.6,18.0,100,
Air Temperature,09/08/2009,14.95,12.4,19.3,100,
Air Temperature,10/08/2009,14.44,11.6,17.3,100,
Air Temperature,11/08/2009,12.7,8.9,15.8,100,
Air Temperature,12/08/2009,12.95,9.6,15.6,100,
Air Temperature,13/08/2009,12.73,7.3,17.8,100,
Air Temperature,14/08/2009,12.24,8.2,15.6,100,
Air Temperature,15/08/2009,14.55,11.7,15.6,100,
Air Temperature,16/08/2009,12.98,11.6,15.6,100,
Air Temperature,17/08/2009,13.2,11.2,15.8,100,
Air Temperature,18/08/2009,13.17,9.7,15.0,100,
Air Temperature,19/08/2009,16.7,14.4,19.4,100,
Air Temperature,20/08/2009,15.43,11.7,18.2,100,
Air Temperature,21/08/2009,11.28,9.5,14.4,100,
Air Temperature,22/08/2009,11.83,9.3,15.8,100,
Air Temperature,23/08/2009,14.35,10.6,16.2,100,
Air Temperature,24/08/2009,13.18,6.6,16.1,100,
Air Temperature,25/08/2009,11.61,7.0,16.1,100,
Air Temperature,26/08/2009,11.8,5.5,16.7,100,
Air Temperature,27/08/2009,12.74,9.7,15.5,100,
Air Temperature,28/08/2009,10.59,8.8,13.3,100,
