met type,date,mean/sum,min,max,%complete,comments
Air Temperature,08/07/2009,11.27,9.3,12.5,46,
Air Temperature,09/07/2009,10.28,8.9,11.9,100,
Air Temperature,10/07/2009,11.78,8.8,15.2,100,
Air Temperature,11/07/2009,13.97,11.5,16.6,100,
Air Temperature,12/07/2009,14.14,12.4,16.9,100,
Air Temperature,13/07/2009,14.8,13.0,18.6,100,
Air Temperature,14/07/2009,14.25,12.8,16.8,100,
Air Temperature,15/07/2009,15.04,13.2,17.5,100,
Air Temperature,16/07/2009,13.85,12.9,15.9,100,
Air Temperature,17/07/2009,13.11,11.8,14.0,100,
Air Temperature,18/07/2009,13.47,12.0,16.0,100,
Air Temperature,19/07/2009,13.28,12.0,14.7,100,
Air Temperature,20/07/2009,13.27,11.1,15.7,100,
Air Temperature,21/07/2009,14.17,11.9,16.2,100,
Air Temperature,22/07/2009,13.89,13.2,15.1,100,
Air Temperature,23/07/2009,14.09,13.1,15.4,100,
Air Temperature,24/07/2009,13.75,12.2,16.2,100,
Air Temperature,25/07/2009,14.04,11.8,17.0,100,
Air Temperature,26/07/2009,12.37,10.2,13.7,100,
Air Temperature,27/07/2009,12.73,10.8,15.4,100,
Air Temperature,28/07/2009,12.07,10.7,13.6,100,
Air Temperature,29/07/2009,12.4,10.6,13.9,100,
Air Temperature,30/07/2009,11.35,9.7,13.9,100,
Air Temperature,31/07/2009,11.58,9.8,14.4,100,
Air Temperature,01/08/2009,12.72,10.3,15.1,100,
Air Temperature,02/08/2009,11.73,9.3,14.7,100,
Air Temperature,03/08/2009,12.9,10.8,14.5,100,
Air Temperature,04/08/2009,15.03,13.7,16.1,100,
Air Temperature,05/08/2009,14.12,11.5,17.3,100,
Air Temperature,06/08/2009,13.36,10.1,17.4,100,
Air Temperature,07/08/2009,12.81,9.3,16.0,100,
Air Temperature,08/08/2009,12.15,8.7,15.4,100,
Air Temperature,09/08/2009,13.43,10.0,17.0,100,
Air Temperature,10/08/2009,13.68,12.1,15.5,100,
Air Temperature,11/08/2009,15.26,11.8,19.7,100,
Air Temperature,12/08/2009,15.02,13.8,16.0,100,
Air Temperature,13/08/2009,13.67,10.0,17.2,100,
Air Temperature,14/08/2009,12.54,9.2,14.9,100,
Air Temperature,15/08/2009,14.53,13.1,15.8,100,
Air Temperature,16/08/2009,12.54,11.0,14.9,100,
Air Temperature,17/08/2009,13.06,11.6,15.2,100,
Air Temperature,18/08/2009,14.14,11.7,17.4,100,
Air Temperature,19/08/2009,15.78,13.9,19.1,100,
Air Temperature,20/08/2009,13.8,10.6,16.5,100,
Air Temperature,21/08/2009,11.02,9.2,14.3,100,
Air Temperature,22/08/2009,12.63,9.1,16.2,100,
Air Temperature,23/08/2009,13.95,12.9,15.2,100,
Air Temperature,24/08/2009,11.99,10.1,14.4,100,
Air Temperature,25/08/2009,11.31,9.7,13.7,100,
Air Temperature,26/08/2009,13.5,11.3,15.7,100,
Air Temperature,27/08/2009,12.29,10.7,14.2,100,
Air Temperature,28/08/2009,9.79,8.4,11.5,100,
Air Temperature,29/08/2009,10.2,8.4,13.0,100,
Air Temperature,30/08/2009,12.46,9.1,15.2,100,
Air Temperature,31/08/2009,14.39,11.1,15.8,100,
Air Temperature,01/09/2009,11.47,10.4,13.0,100,
Air Temperature,02/09/2009,11.66,10.3,13.2,100,
Air Temperature,03/09/2009,9.92,8.6,11.8,100,
Air Temperature,04/09/2009,9.97,8.4,12.1,100,
Air Temperature,05/09/2009,10.4,8.9,12.4,100,
Air Temperature,06/09/2009,11.46,9.7,13.1,100,
Air Temperature,07/09/2009,14.07,12.4,16.6,100,
Air Temperature,08/09/2009,14.02,9.8,15.6,100,
Air Temperature,09/09/2009,12.38,8.9,18.4,100,
Air Temperature,10/09/2009,12.67,9.2,16.8,100,
Air Temperature,11/09/2009,12.89,7.9,17.4,100,
Air Temperature,12/09/2009,13.54,9.4,19.1,100,
Air Temperature,13/09/2009,13.03,10.2,17.1,100,
Air Temperature,14/09/2009,10.3,8.5,12.6,100,
Air Temperature,15/09/2009,11.19,8.7,14.7,100,
Air Temperature,16/09/2009,10.93,7.7,14.0,100,
Air Temperature,17/09/2009,9.48,6.9,11.8,100,
Air Temperature,18/09/2009,11.72,7.5,15.9,100,
Air Temperature,19/09/2009,12.95,10.5,15.0,100,
Air Temperature,20/09/2009,11.13,8.2,15.9,100,
Air Temperature,21/09/2009,10.64,7.8,13.0,100,
Air Temperature,22/09/2009,12.27,10.7,14.1,100,
Air Temperature,23/09/2009,11.07,10.0,12.7,100,
Air Temperature,24/09/2009,9.89,7.9,12.4,100,
Air Temperature,25/09/2009,9.86,7.6,11.8,100,
Air Temperature,26/09/2009,10.38,7.9,13.4,100,
Air Temperature,27/09/2009,10.77,7.6,13.1,100,
Air Temperature,28/09/2009,11.45,10.8,12.4,100,
Air Temperature,29/09/2009,11.43,10.7,12.2,100,
Air Temperature,30/09/2009,11.7,9.7,13.6,100,
Air Temperature,01/10/2009,9.32,7.2,10.9,100,
Air Temperature,02/10/2009,8.83,7.0,10.5,100,
Air Temperature,03/10/2009,9.5,7.0,11.2,100,
Air Temperature,04/10/2009,7.63,5.5,10.0,100,
Air Temperature,05/10/2009,8.9,6.0,11.8,100,
Air Temperature,06/10/2009,13.72,10.7,15.2,100,
Air Temperature,07/10/2009,6.69,5.1,9.6,100,
Air Temperature,08/10/2009,6.68,3.2,10.3,100,
Air Temperature,09/10/2009,7.57,4.4,10.9,100,
Air Temperature,10/10/2009,10.35,9.0,12.4,100,
Air Temperature,11/10/2009,9.55,6.8,11.8,100,
Air Temperature,12/10/2009,7.92,5.0,12.9,100,
Air Temperature,13/10/2009,8.69,6.3,12.8,100,
Air Temperature,14/10/2009,10.42,8.0,13.9,100,
Air Temperature,15/10/2009,10.6,8.5,13.1,100,
Air Temperature,16/10/2009,9.31,4.5,11.7,100,
Air Temperature,17/10/2009,5.02,2.2,8.7,100,
Air Temperature,18/10/2009,6.19,3.8,8.3,100,
Air Temperature,19/10/2009,7.36,6.2,9.1,100,
Air Temperature,20/10/2009,7.36,5.5,9.7,100,
Air Temperature,21/10/2009,9.0,7.2,11.2,100,
Air Temperature,22/10/2009,9.43,8.3,11.3,100,
Air Temperature,23/10/2009,9.75,8.6,10.9,100,
Air Temperature,24/10/2009,11.26,9.2,13.6,100,
Air Temperature,25/10/2009,9.65,9.1,10.9,100,
Air Temperature,26/10/2009,9.77,7.6,11.7,100,
Air Temperature,27/10/2009,12.05,10.7,13.8,100,
Air Temperature,28/10/2009,11.2,9.4,12.6,100,
Air Temperature,29/10/2009,11.38,9.6,13.2,100,
Air Temperature,30/10/2009,11.46,9.9,12.9,100,
Air Temperature,31/10/2009,11.6,10.4,13.3,100,
Air Temperature,01/11/2009,8.58,4.4,13.1,100,
Air Temperature,02/11/2009,5.61,4.7,7.6,100,
Air Temperature,03/11/2009,7.03,4.2,9.0,100,
Air Temperature,04/11/2009,5.55,4.3,6.7,100,
Air Temperature,05/11/2009,6.18,5.4,6.5,100,
Air Temperature,06/11/2009,5.86,3.1,8.0,100,
Air Temperature,07/11/2009,4.24,2.5,6.1,100,
Air Temperature,08/11/2009,4.81,3.3,6.5,100,
Air Temperature,09/11/2009,3.92,2.4,6.6,100,
Air Temperature,10/11/2009,5.1,4.2,6.4,100,
Air Temperature,11/11/2009,4.9,3.2,6.5,100,
Air Temperature,12/11/2009,7.6,6.1,9.4,100,
Air Temperature,13/11/2009,7.59,5.7,11.1,100,
Air Temperature,14/11/2009,6.85,4.8,9.7,100,
Air Temperature,15/11/2009,7.35,5.7,8.5,100,
Air Temperature,16/11/2009,7.36,6.8,8.6,100,
Air Temperature,17/11/2009,6.63,5.2,7.7,100,
Air Temperature,18/11/2009,9.25,7.8,10.3,100,
Air Temperature,19/11/2009,9.98,9.6,10.2,100,
Air Temperature,20/11/2009,8.64,7.0,10.8,100,
Air Temperature,21/11/2009,9.19,6.5,11.6,100,
Air Temperature,22/11/2009,5.36,4.2,7.0,100,
Air Temperature,23/11/2009,8.79,5.6,11.9,100,
Air Temperature,24/11/2009,10.88,7.9,12.0,100,
Air Temperature,25/11/2009,7.9,6.7,9.7,100,
Air Temperature,26/11/2009,5.98,5.1,7.1,100,
Air Temperature,27/11/2009,5.44,4.7,6.9,100,
Air Temperature,28/11/2009,3.63,2.2,4.9,100,
Air Temperature,29/11/2009,5.91,5.1,6.4,100,
Air Temperature,30/11/2009,4.04,2.2,5.6,100,
Air Temperature,01/12/2009,3.56,1.8,6.6,100,
Air Temperature,02/12/2009,7.01,6.4,7.7,100,
Air Temperature,03/12/2009,4.23,2.6,6.6,100,
Air Temperature,04/12/2009,4.74,3.1,7.4,100,
Air Temperature,05/12/2009,7.8,6.1,9.8,100,
Air Temperature,06/12/2009,6.75,5.2,10.3,100,
Air Temperature,07/12/2009,5.65,3.6,7.2,100,
Air Temperature,08/12/2009,6.99,5.0,9.9,100,
Air Temperature,09/12/2009,8.35,7.6,8.8,100,
Air Temperature,10/12/2009,6.31,4.9,8.5,100,
Air Temperature,11/12/2009,3.42,0.8,4.7,100,
Air Temperature,12/12/2009,4.29,3.5,6.3,100,
Air Temperature,13/12/2009,5.34,2.1,8.9,100,
Air Temperature,14/12/2009,6.85,5.9,7.9,100,
Air Temperature,15/12/2009,6.88,4.8,8.6,100,
Air Temperature,16/12/2009,6.97,4.5,9.4,100,
Air Temperature,17/12/2009,5.5,-0.1,8.9,100,
Air Temperature,18/12/2009,-0.23,-2.4,2.8,100,
Air Temperature,19/12/2009,3.05,-2.0,7.9,100,
Air Temperature,20/12/2009,4.95,-0.5,8.8,100,
