Organisation name,Organisation type,"Main, parent or sponsoring department: ",Payroll staff,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Number of non-payroll staff (contingent labour and consultants/consultancy),Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Grand Total (workforce numbers),Unnamed: 28,Payroll staff costs,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Non-Payroll staff (contingent labour/consultancy - CCL) costs,Unnamed: 37,Unnamed: 38,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Office of Fair Trading,Non-Ministerial Deparment,None,68,65.47,100,93.87,164,155.94,226,202.65,40,38.15,0,0,598,556,20,20,7,7,8,8,0,0,35,35,633,591,"£25,291,217.52","£729,895.00","£533,547.00","£44,755.00","£5,264,262.00","£2,342,063.00","£34,205,739.52","2,025,152.72",,"£2,025,152.72","£36,230,892,24 ",Baseline
,,,66,63.47,98,93.76,163,157.44,228,214.87,40,37.26,0,0,595,567,22,22,8,8,9,9,0,0,39,39,634,595,"£1,943,931.48","£58,337.00",,"£2,131.02","£412,227.00","£181,719.30","£2,598,345.80","£97,848.00",,"£97,848.00","£2,696,193.80",April. Agency cost for April and May are average of two months as accruals of April were posted in May.
,,,67,64.64,97,93.15,164,158.53,226,211.27,38,36.46,0,0,592,564,23,23,7,7,4,4,0,0,34,34,600,575,"£1,952,136.94","£58,124.00",,"£1,642.21","£407,877.33","£183,223.05","£2,603,003.53","£97,848.00",,"£97,848.00","£2,700,851.53",May. Agency cost for April and May are average of two months as accruals of April were posted in May.
,,,67,65.64,97,95.15,165,159.70,225,214.20,38,36.46,0,0,592,571,26,26,7,7,4,4,0,0,37,37,611,590,"£1,954,637.53","£57,280.49","£127,503.00",,"£414,740.44","£200,379.88","£2,754,541.34","£175,738.00",,"£175,738.00","£2,930,279.34",June. Agency cost is what has been paid in the month.
,,,75,74.08,97,94.95,163,156.89,221,210.21,38,36.46,0,0,594,573,27,27,5,5,7,7,0,0,39,39,633,612,"£1,925,021.42","£61,045.78",,"£2,117.13","£401,547.20","£180,224.92","£2,569,956.45","£225,349.15",,"£225,349.15","£2,795,305.60",July. Agency cost is what has been paid in the month.
,,,76,75.08,96,93.95,161,154.89,220,208.81,37,35.26,0,0,590,568,38,38,7,7,8,8,0,0,53,53,643,621,"£1,929,208.09","£58,255.82",,"£13,665.26","£403,513.47","£183,964.02","£2,588,606.66","£146,448.00",,"£146,448.00","£2,735,054.66",August. Agency cost is what has been paid in the month.
,,,73,72.08,89,86.95,162,155.73,222,210.81,37,35.26,0,0,583,561,48,48,10,10,8,8,0,0,66,66,649,627,"£1,976,130.07","£59,212.90","£374,051.00","£3,106.27","£403,054.76","£229,032.07","£3,044,587.07","£210,546.00",,"£210,546.00","£3,255,133.07",September. Agency cost is what has been paid in the month.
,,,64,63.25,86,82.94,163,158.30,224,211.18,37,35.02,0,0,574,551,58,58,7,7,10,10,0,0,75,75,649,626,"£1,829,022.00","£59,172.34","£28,580.88","£11,048.09","£400,664.44","£183,205.90","£2,511,693.65","£262,766.00",,"£262,766.00","£2,774,459.65",October. Agency cost is what has been paid in this month.
,,,65,64.14,85,82.94,164,159.30,224,210.18,37,35.02,0,0,575,552,61,61,8,8,11,11,0,0,80,80,655,632,"£1,940,025.64","£58,749.67","£2,183.00","£4,331.56","£403,802.26","£178,553.36","£2,587,645.49","£219,667.40",,"£219,667.40","£2,807,312.89",November. Agency cost is what has been paid in this month.
,,,65,64.14,81,78.94,158,153.59,224,211.98,37,35.02,0,0,565,544,60,60,9,9,11,11,0,0,80,80,645,624,"£1,831,418.54","£59,985.90",,£993.84,"£426,136.56","£176,018.10","£2,494,552.94","£124,157.22",,"£124,157.22","£2,618,710.16",December. Agency cost is what has been paid in this month.
,,,62,61.14,82,80.06,159,154.59,223,209.98,37,34.59,0,0,563,540,72,72,10,10,11,11,0,0,93,93,656,633,"£1,944,063.53","£58,804.71",,"£3,513.71","£404,663.40","£179,250.21","£2,590,295.56","£226,643.23",,"£226,643.23","£2,816,938.79",January.Contingent cost is what has been paid in this month
,,,60,59.25,81,79.06,160,155.58,222,210.58,37,34.59,0,0,560,539,74,74,13,13,13,13,0,0,100,100,660,639,"£1,874,768.14","£59,435.86",,"£15,434.71","£407,322.78","£182,165.21","£2,539,126.70","£363,963.57",,"£363,963.57","£2,903,090.27",February. Contingent cost is what has been paid in this month
,,,58,57.25,80,78.06,168,162.98,225,213.27,38,35.59,0,0,569,547,62,62,13,13,11,11,0,0,86,86,655,633,"£2,099,511.66","£58,208.79",£0.00,"£23,171.94","£411,847.53","£184,813.93","£2,777,553.85","£581,908.33",,"£581,908.00","£3,359,462.18",March. Contingent cost is what has been paid in this month
,,,52,51.25,88,85.45,165,159.98,230,217.87,38,35.8,0,0,573,550,69,69,12,12,10,10,0,0,91,91,664,641,"£1,977,466.52","£57,557.52","£14,732.56","£10,922.16","£413,887.17","£186,669.48","£2,661,235.41","£291,344.77",,"£291,344.77","£2,952,580.18",April. Contingent cost is what has been paid in this month
,,,49,48.25,89,86.86,163,157.98,227,216.1,35,33.01,0,0,563,542,56,56,6,6,8,8,0,0,70,70,633,612,"£1,877,943.48","£57,723.17",£0.00,£0.00,"£399,856.55","£182,242.45","£2,517,765.65","£231,458.23",,"£231,458.23","£2,749,223.88",May. Contingent cost is what has been paid in this month
,,,52,51.08,88,83.24,162,156.63,239,224.97,35,33.44,0,0,576,549,56,56,8,8,7,7,0,0,71,71,647,620,"£1,829,949.93","£58,225.28","£89,900.00","£1,276.33","£412,715.90","£184,605.15","£2,576,672.59","£284,388.12",,"£284,388.12","£2,861,060.71",June.Contingent cost is what has been paid in the month.
,,,58,57.08,90,86.2,162,156.96,237,226.3,35,33.4,0,0,582,560,62,62,7,7,6,6,0,0,75,75,657,635,"£1,919,903.40","£53,299.74",£0.00,"£4,766.68","£406,325.27","£181,050.09","£2,565,345.18","£302,255.50",,"£302,255.50","£2,867,600.61",31 July 2012. Contingent cost is what has been paid in the month.
,,,58,57.25,85,83.23,158,153.55,238,226.73,35,33.45,0,0,574,554,68,68,9,9,12,12,0,0,89,89,663,643,"£1,892,124.51","£55,342.15",£0.00,"£2,135.55","£405,918.83","£188,080.41","£2,543,601.45","£515,502.36",,"£515,502.36","£3,059,103.81",31 August. Contingent cost is what has been paid in the month.
,,,54,53.25,86,83.73,151,146.01,240,229.33,34,32.46,0,0,565,545,68,68,7,7,10,10,0,0,85,85,650,630,"£1,924,388.05","£53,486.56","£367,806.00",£608.78,"£407,654.50","£227,090.91","£2,981,034.80","£290,246.64",,"£290,246.64","£3,271,281.44",30 September 2012. Contingent cost is what has been paid in the month.
,,,53,51.25,85,82.13,149,144.21,240,230.11,33,31.46,0,0,560,540,67,67,6,6,13,13,0,0,86,86,646,626,"£1,917,215.86","£54,830.17","£3,116.35","£2,331.76","£411,361.30","£181,399.10","£2,570,254.54","£477,756.50",,"£477,756.50","£3,048,011.04",31 October 2012. Contingent cost is what has been paid in the month.
