Number and types of applications by all account customers,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
Metrics, ,,,,,,,,,,,
Calendar Month,Jul-21,,,,,,,,,,,
Account Customer,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total
Total,4309,8714,8706,330434,174517,1946,39715,25,22368,973204,220892,1784830
15K LIMITED,0,0,0,0,0,0,0,0,0,1,0,1
174 LAW,0,0,0,1,0,0,0,0,0,0,0,1
192.COM LTD,0,0,0,0,0,0,0,0,0,470,0,470
1PLUS1 LOANS LIMITED,0,0,0,0,0,0,0,0,0,38,0,38
1PM (UK) LIMITED,0,0,0,1,0,0,0,0,0,36,0,37
1ST CHOICE PROPERTY SOLUTIONSLTD,0,0,0,0,0,0,0,0,0,2,1,3
1ST CREDIT LTD,0,0,0,30,0,0,0,0,0,890,4,924
1ST LOCATE,0,0,0,0,0,0,0,0,0,2765,0,2765
1ST STOP FINANCIAL,0,0,0,5,0,0,0,0,0,0,0,5
2020 HOME LOANS LIMITED,0,0,0,0,0,0,0,0,0,0,2,2
3 J'S SURVEYORS & VALUERS LIMITED,0,0,0,0,0,0,0,0,0,1,0,1
360 LAW SERVICES LIMITED,0,0,0,4,1,0,0,0,0,0,0,5
365 BUSINESS FINANCE LTD,0,0,0,0,0,0,0,0,0,8,0,8
3HR CORPORATE SOLICITORS LIMITED,0,0,0,15,7,0,0,0,0,2,1,25
3I REAL ESTATES LIMITED,0,0,0,0,0,0,0,0,0,1,1,2
3K LAW LIMITED,0,0,0,0,0,0,0,0,0,8,0,8
4M PROPERTIES GROUP LTD,0,0,0,0,0,0,0,0,0,2,0,2
4MOMENTUM LIMITED,0,0,0,0,0,0,0,0,0,7,0,7
4SYTE LTD,0,0,0,0,0,0,0,0,0,3,0,3
7 LEGAL AND FINANCE LIMITED,0,0,0,0,1,0,3,0,1,4,1,10
828 LAW,0,0,1,8,13,0,3,0,2,12,5,44
A & J MUCKLOW GROUP PLC,0,0,0,0,0,0,0,0,0,3,0,3
A & L GOODBODY NORTHERN IRELAND,0,0,0,1,0,0,0,0,0,25,18,44
A & M ENERGY SOLUTIONS LTD,0,0,0,0,0,0,0,0,0,9,0,9
A & N MEDIA FINANCE SERVICES LTD,0,0,0,0,0,0,0,0,0,3,0,3
A & N MEDIA FINANCE SERVICES LTD,0,0,0,0,0,0,0,0,0,5,0,5
A & P MARNEY LTD,0,0,0,0,0,0,0,0,0,17,1,18
A & P SOLICITORS LIMITED,0,0,0,2,1,0,0,0,0,2,0,5
A D FIRTH & CO,0,0,0,0,2,0,0,0,1,5,1,9
A D S BUILDING SERVICES,0,0,0,0,0,0,0,0,0,28,0,28
A E P ZALESKI,0,0,0,0,0,0,0,0,0,10,6,16
A F BARKER & CO,0,3,2,20,31,0,8,0,1,39,14,118
A FUTURE INVESTMENTS (KENT) LIMITE,0,0,0,0,0,0,0,0,0,0,3,3
A H BUTLER,0,0,0,0,0,0,0,0,0,1,0,1
A J CARELESS LIMITED,1,1,0,15,3,0,0,0,0,27,12,59
A K GULATI & CO,0,0,0,1,0,1,0,0,0,8,2,12
A KAY PIETRON & PALUCH,0,0,0,0,2,0,0,0,0,3,0,5
A M DAVIES,0,0,0,2,0,0,0,0,0,10,0,12
A P BASSETT SOLICITORS,0,0,0,7,1,0,2,0,0,15,6,31
A P MALAM,0,0,0,12,5,0,2,0,0,17,6,42
A R BROWN & CO,1,2,1,21,2,0,0,0,0,62,23,112
A R T WILLS,0,0,0,2,0,0,0,0,0,11,0,13
A S CROXSON,0,0,0,0,0,0,0,0,0,4,1,5
A S EXCELLENCE SOLICITORS LTD,0,0,0,0,0,0,0,0,0,3,0,3
A S K LEGAL,0,2,0,30,57,0,6,0,1,58,35,189
A S SOLICITORS,0,0,0,2,0,0,0,0,0,7,1,10
A SHADE GREENER (BOILERS) LLP,0,0,0,38,0,0,0,0,0,38,0,76
A SHADE GREENER LTD,0,0,0,0,0,0,0,0,0,13,0,13
A SHADE GREENER MAINTENANCE LTD,0,7,0,62,0,0,0,0,0,510,40,619
A V RILLO & CO,4,3,4,176,315,0,20,0,8,565,190,1285
A YOUNG CHARTERED SURV/LAND AGENT,0,0,0,0,0,0,0,0,0,1,1,2
A-Z LAW SOLICITORS,0,0,0,0,0,0,0,0,0,7,2,9
A.C.S.L. LTD,0,0,0,33,0,0,0,0,0,1,1,35
A.P. BERKELEY LTD,0,0,0,1,11,0,0,0,0,11,2,25
A.S MATTHEWS LTD (OFFICE ACCOUNT),0,1,0,4,5,0,0,0,1,33,8,52
A.S.H (UK) PROCESS SERVERS LIMITED,0,0,0,0,0,0,0,0,0,2,0,2
A.T.M. LAW,0,2,1,4,0,0,0,0,0,4,3,14
A.VINCENT SOLICITORS LTD,0,0,0,0,0,0,0,0,0,3,2,5
A&R SOLICITORS LTD,0,0,0,1,0,0,0,0,0,0,0,1
A&T LEGAL LTD,0,0,0,2,0,0,0,0,0,0,0,2
A2 SOLICITORS LLP,0,1,0,13,8,0,0,0,0,40,27,89
A2DOMINION HOUSING,0,1,0,5,1,0,0,0,0,201,145,353
AA PROJECTS LTD,0,0,0,0,0,0,0,0,0,14,0,14
AA SOLICITORS LTD,1,0,0,2,0,0,0,0,0,0,0,3
AAH PHARMACEUTICALS LTD,0,0,0,25,0,0,0,0,0,16,0,41
AAH PLANNING CONSULTANTS LTD,0,0,0,0,0,0,0,0,0,69,5,74
AARDVARK LEGAL SERVICES LIMITED,0,0,0,1,0,0,0,0,0,13,4,18
