CODE,TREE,LOCALITY,SPECIES,LATITUDE,LONGITUDE,ALTITUDE,COUNTRY,ORIGIN,STAND,EXTRACTION #,HAPLOTYPE,Colour
P4-001,1.0,Dinnet,Intermediate,57.074,-2.899,165.0,Scotland,autochthonus,Forest,DIN1,10,White
P4-001,2.0,Dinnet,Quercus robur,57.074,-2.899,165.0,Scotland,autochthonus,Forest,DIN2,10,White
P4-001,3.0,Dinnet,Intermediate,57.074,-2.899,165.0,Scotland,autochthonus,Forest,DIN3,10,White
P4-001,4.0,Dinnet,-,57.074,-2.899,165.0,Scotland,autochthonus,Forest,DIN4,10,White
P4-001,5.0,Dinnet,Intermediate,57.074,-2.899,165.0,Scotland,autochthonus,Forest,DIN5,10,White
P4-002,1.0,Chatelherault,-,55.762,-4.011,76.0,Scotland,autochthonus,Forest,CHAT1,9,Orange
P4-002,2.0,Chatelherault,-,55.762,-4.011,76.0,Scotland,autochthonus,Forest,CHAT2,9,Orange
P4-002,3.0,Chatelherault,-,55.762,-4.011,76.0,Scotland,autochthonus,Forest,CHAT3,9,Orange
P4-002,4.0,Chatelherault,-,55.762,-4.011,76.0,Scotland,autochthonus,Forest,CHAT4,9,Orange
P4-002,5.0,Chatelherault,-,55.762,-4.011,76.0,Scotland,autochthonus,Forest,CHAT5,9,Orange
P4-003,1.0,Mains Estate,-,55.939,-4.347,100.0,Scotland,autochthonus,Forest,MAIN1,9,Orange
P4-003,2.0,Mains Estate,-,55.939,-4.347,100.0,Scotland,autochthonus,Forest,MAIN2,9,Orange
P4-003,3.0,Mains Estate,-,55.939,-4.347,100.0,Scotland,autochthonus,Forest,MAIN3,10,White
P4-003,4.0,Mains Estate,-,55.939,-4.347,100.0,Scotland,autochthonus,Forest,MAIN4,9,Orange
P4-003,5.0,Mains Estate,-,55.939,-4.347,100.0,Scotland,autochthonus,Forest,MAIN5,9,Orange
P4-004,1.0,Muir of Dinnet,Quercus petraea,57.065,-2.932,180.0,Scotland,autochthonus,Forest,DIN6,10,White
P4-004,2.0,Muir of Dinnet,-,57.065,-2.932,180.0,Scotland,autochthonus,Forest,DIN7,10,White
P4-004,3.0,Muir of Dinnet,Intermediate,57.065,-2.932,180.0,Scotland,autochthonus,Forest,DIN8,10,White
