Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
HM Procurator General and Treasury Solicitor,Attorney General's Office ,09/01/2014,Maintenance: IT Service,Attorney General's Office,Capita Secure Information Solutions,25207,"31,793.83",Payment relating to IT services and support,DL1 9HN,,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,09/01/2014,Solicitor's Agents Fees,Litigation Division,Allen & Overy LLP,600166,"43,259.95",Payment for professional services,E1 6AD,,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,10/01/2014,Welfare: Child Care Proj. Chg,Corporate Resources,Computershare  Vouchers Services,144735,"2,065.98",Payment for provision of service for Childcare Voucher Scheme,WS13 8SX,,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,10/01/2014,Child Care Proj:Sacrifice Pay,Corporate Resources,Computershare  Vouchers Services,144735,"34,433.00",Payment for voucher funding for Childcare Voucher Scheme,WS13 8SX,,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,10/01/2014,Counsel Fees,Litigation Division,Mr Rory Phillips QC,600625,"25,668.00",Payment to Counsel,WC1R 5NT,,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,10/01/2014,Provision of Legal Services,Litigation Division,Field Fisher Waterhouse LLP,600634,"77,665.09",Payment for professional services,EC3N 2AA,,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,14/01/2014,Accommodation: Service Charges,Corporate Resources,Jones Lang Lasalle,144763,"9,448.20",Payment of service charges ,BS8 9AQ,,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,14/01/2014,Accommodation: Rent,Corporate Resources,Jones Lang Lasalle,144763,"16,380.00",Payment of rent,BS8 9AQ,,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,14/01/2014,Redfern Travel Account,Corporate Resources,Redfern Travel Ltd,144767,"27,098.00",Payments for travel,BD1 3AZ,,,,Administration
HM Procurator General and Treasury Solicitor,Attorney General's Office ,14/01/2014,Accommodation: Custody Guards,Attorney General's Office,Amey Community Limited,25229,"18,949.80",Payment for Security guards,SW1P 4DR,,,,Administration
HM Procurator General and Treasury Solicitor,Attorney General's Office ,14/01/2014,Maintenance: Accommodation,Attorney General's Office,Amey Community Limited,25229,"4,103.10","Payment for planned, preventative maintenance (PPM)",SW1P 4DR,,,,Administration
HM Procurator General and Treasury Solicitor,Attorney General's Office ,14/01/2014,Cleaning: Office,Attorney General's Office,Amey Community Limited,25229,"3,633.50",Payment for cleaning,SW1P 4DR,,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,15/01/2014,Agency Staff: Legal,Litigation Division,Capita Resourcing Ltd (Staff),144843,"131,028.25",Payments for interim legal professionals,SL6 1DP,,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,15/01/2014,Agency Staff: Legal,Employment Group ,Capita Resourcing Ltd (Staff),144843,"6,339.40",Payments for interim legal professionals,SL6 1DP,,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,15/01/2014,Agency Staff: Legal,Defra Legal,Capita Resourcing Ltd (Staff),144843,"2,250.13",Payments for interim legal professionals,SL6 1DP,,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,15/01/2014,Agency Staff: Legal,Litigation Division,Capita Resourcing Ltd (Staff),144844,"125,104.61",Payments for interim legal professionals,SL6 1DP,,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,15/01/2014,Agency Staff: Legal,Employment Group ,Capita Resourcing Ltd (Staff),144844,"7,177.84",Payments for interim legal professionals,SL6 1DP,,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,15/01/2014,Agency Staff: Legal,Defra Legal,Capita Resourcing Ltd (Staff),144844,"1,483.13",Payments for interim legal professionals,SL6 1DP,,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,15/01/2014,Agency Staff: Legal,Litigation Division,Capita Resourcing Ltd (Staff),144845,"145,501.34",Payments for interim legal professionals,SL6 1DP,,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,15/01/2014,Agency Staff: Legal,Employment Group ,Capita Resourcing Ltd (Staff),144845,"26,907.47",Payments for interim legal professionals,SL6 1DP,,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,15/01/2014,Agency Staff: Legal,Defra Legal,Capita Resourcing Ltd (Staff),144845,"1,281.49",Payments for interim legal professionals,SL6 1DP,,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,15/01/2014,Agency Staff: Legal,Litigation Division,Capita Resourcing Ltd (Staff),144846,"39,957.76",Payments for interim legal professionals,SL6 1DP,,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,15/01/2014,Agency Staff: Legal,Employment Group ,Capita Resourcing Ltd (Staff),144846,"3,815.87",Payments for interim legal professionals,SL6 1DP,,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,15/01/2014,Agency Staff: Legal,Defra Legal,Capita Resourcing Ltd (Staff),144846,885.47,Payments for interim legal professionals,SL6 1DP,,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,15/01/2014,Expert Report,Litigation Division,Pricewaterhouse Coopers,600970,"63,213.05",Payment relating to professional services or study offering an expert opinion in relation to a legal case,E14 9SQ,,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,17/01/2014,Advisory Counsel Fees,Planning Inspectorate Legal,Celina Colquhoun,144907,"32,325.00",Payment to Counsel,B4 6DR,,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,21/01/2014,Fixed Assets: Acquisitions,Corporate Resources,Elite / Thomson Reuters,144926,"183,600.00",Payment relating to purchase of software licences,EC3 N1DL,,,,Programme
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,21/01/2014,Counsel Fees,Litigation Division,Mr. John Cavanagh QC,601553,"30,000.00",Payment to Counsel,EC4Y 7EQ,,,,Administration
HM Procurator General and Treasury Solicitor,The Treasury Solicitor's Department,21/01/2014,Law Stationers/Copy Documents,Litigation Division,Legastat Ltd.,601661,"31,254.00",Payment for provision of e disclosure services,WC2A 2JB,,,,Administration
