Transactions: Date,Merchant Name,Transactions Amount Gross,Account Codes,Description,Unnamed: 5,Unnamed: 6,Unnamed: 7
10/03/2015,WWW.POSTURITE.CO.UK      , 649.20 ,2230.0,Welfare:Reasonable Adjustments,,,
11/03/2015,CIVIL SERVICE LEARNING   , 618.00 ,2435.0,Training: External Courses,,,
11/03/2015,FINANCIAL TIMES LTD      , 572.00 ,2812.0,Publications: Subscriptions,,,
10/03/2015,SPARROWS NEWSAGENTS      ," 1,581.00 ",2815.0,Publications: Newspapers,,,
12/03/2015,CIVIL SERVICE LEARNING   , 618.00 ,2435.0,Training: External Courses,,,
13/03/2015,UKELA                    , 995.00 ,2435.0,Training: External Courses,,,
13/03/2015,CIVIL SERVICE LEARNING   , 939.60 ,2435.0,Training: External Courses,,,
18/03/2015,ORANGE (A/PM/01)         , 542.40 ,3105.0,Commnctns: Mobile Telephones,,,
18/03/2015,"Amazon Svcs Europe,SAR   ", 972.00 ,3408.0,Non-Capital It: ,,,
19/03/2015,"Amazon Svcs Europe,SAR   ", 723.88 ,3408.0,Non-Capital It: ,,,
20/03/2015,PRODUCTION GEAR LT       ," 1,083.00 ",2472.0,Communications & Marketing,,,
20/03/2015,"Amazon Svcs Europe,SAR   ", 987.32 ,3408.0,Non-Capital It: ,,,
24/03/2015,OSMOND GROUP LTD         , 916.37 ,2230.0,Welfare:Reasonable Adjustments,,,
24/03/2015,WWW.CADLINE.CO.UK        , 714.00 ,2435.0,Training: External Courses,,,
25/03/2015,THE COLOR COMPANY        ," 1,464.00 ",2474.0,Supporting Client Care: Bpd,,,
25/03/2015,OSMOND GROUP LTD         , 551.40 ,2230.0,Welfare:Reasonable Adjustments,,,
25/03/2015,OSMOND GROUP LTD         , 836.87 ,2230.0,Welfare:Reasonable Adjustments,,,
26/03/2015,WWW.MISCO.CO.UK          , 791.94 ,3445.0,Consumables It,,,
27/03/2015,WWW.ACOO.CO.UK           , 598.80 ,3305.0,Consumables: Office Machinery,,,
31/03/2015,GEN COUNCIL OF           , 536.00 ,3621.0,Subscriptions: Bar Council,,,
,," 16,690.78 ",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
