Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Hire of Agency Staff - Non-Specific Programme activity,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",ADECCO UK LTD,100361,"1,044.32",,B37 7YE,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Hire of Agency Staff - Non-Specific Programme activity,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",ADECCO UK LTD,104290,"1,118.99",,B37 7YE,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,12/10/2015,Telecoms - Non-Specific Programme activity,Investment Development - Global Operations,VODAFONE LTD,104674,4.8,,RG14 5FF,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,02/10/2015,Other Media Costs - Non-Specific Programme activity,Investment Development - Strategy & Policy,WILLIAMS LEA LTD,105871,"3,655.58",,EC1M 4NA,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,13/10/2015,Other Professional Services - First Time Exporter Credits,Trade Group - Service Delivery,MARK REED,109861,200,,IP25 7DB,GRANT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Training And Development Expenditure - Non-Specific Programme activity,Investment Development - Strategy & Policy,PARTNERSHIP MEDIA GROUP LTD T/A GOVNET COMMUNICATIONS,111592,395,,M1 6PP,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,29/10/2015,Catering and Hospitality Expenditure - Sector Events - Abroad,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",MOSIMANN'S LTD,113472,-231.93,,SW1V 4PB,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,29/10/2015,Catering and Hospitality Expenditure - Sector Events - Abroad,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",MOSIMANN'S LTD,113474,-646,,SW1V 4PB,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,29/10/2015,Catering and Hospitality Expenditure - Sector Events - Abroad,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",MOSIMANN'S LTD,113475,-436,,SW1V 4PB,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,29/10/2015,Catering and Hospitality Expenditure - Sector Events - Abroad,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",MOSIMANN'S LTD,113476,-303.17,,SW1V 4PB,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,29/10/2015,Catering and Hospitality Expenditure - Sector Events - Abroad,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",MOSIMANN'S LTD,113508,-228.33,,SW1V 4PB,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,Corporate Event Management and Marketing - Investment - Sectors (Autumn Statement),Investment Development - Strategic Investment & Accounts,FOREIGN AND COMMONWEALTH OFFICE (FCO),113516,"1,514.16",,MK10 1PX,WGA ONLY,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,12/10/2015,IT Services - Non-Specific Programme activity,"Investment Development - Managing Director & Operations, Investment Development",BRIGHTLEMON LTD,113518,-419.33,,EC2A 4DL,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,12/10/2015,IT Services - Investment - Enablers (Autumn Statement),Investment Development - Strategy & Policy,BRIGHTLEMON LTD,113518,349.44,,EC2A 4DL,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,12/10/2015,IT Services - Non-Specific Programme activity,"Investment Development - Managing Director & Operations, Investment Development",BRIGHTLEMON LTD,113518,419.33,,EC2A 4DL,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,20/10/2015,Other Training Costs - Non-Specific Programme activity (Admin),Chief Operating Officer - Strategy & Human Resources,CAPITA BUSINESS SERVICES LTD,113608,4,,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,20/10/2015,Other Training Costs - Non-Specific Programme activity (Admin),Chief Operating Officer - Strategy & Human Resources,CAPITA BUSINESS SERVICES LTD,113608,268,,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,22/10/2015,Hire of Agency Staff - Overseas Business Network Development,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",CAPITA BUSINESS SERVICES LTD,113856,"3,024.76",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,29/10/2015,Hotel & Accommodation Overseas - Sector Events - Abroad,Defence and Security Organisation - Business Development,INTEC EXPORT INTELLIGENCE LTD,114026,"1,260.00",,RH16 3LB,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,13/10/2015,Other Training Costs - Non-Specific Programme activity (Admin),Chief Operating Officer - Strategy & Human Resources,CAPITA BUSINESS SERVICES LTD,114171,82,,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Other Training Costs - Non-Specific Programme activity,Defence and Security Organisation - Business Development,CAPITA BUSINESS SERVICES LTD,114172,"1,673.00",,DL1 9HN,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Other Professional Services - First Time Exporter Credits,Trade Group - Service Delivery,NOT ROCKET SCIENCE LTD,114176,"1,000.00",,BB4 4PW,GRANT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,IT Services - Non-Specific Programme activity,"Investment Development - Managing Director & Operations, Investment Development",BRIGHTLEMON LTD,114303,349.44,,EC2A 4DL,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,07/10/2015,IT Services - Non-Specific Programme activity,"Investment Development - Managing Director & Operations, Investment Development",BRIGHTLEMON LTD,114303,"2,750.00",,EC2A 4DL,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,27/10/2015,Business Management Advice - Cyber Security,Defence and Security Organisation - Cyber Security Team,INFORMATION TECHNOLOGY TELECOMMUNICATIONS AND ELECTRONICS ASSOCIATION T/A TECHUK,114306,"5,647.72",,EC4A 4AD,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,20/10/2015,Conference and Exhibition Services - Sirius - Events,"Investment Development - Managing Director & Operations, Investment Development",WILLIAMS LEA LTD,114343,544.01,,EC1M 4NA,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,01/10/2015,Other Professional Services - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,JEWEL STREET LTD,114463,672.23,,EX39 3BE,GRANT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,06/10/2015,Other Professional Services - First Time Exporter Credits,Trade Group - Service Delivery,IZZY MELODY LTD,114464,"1,000.00",,L26 BF,GRANT,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,12/10/2015,Corporate Event Management and Marketing - Great Campaign Events,Trade Group - Partnerships & Business,I2I EVENTS LTD,114633,"219,350.00",,W1B 5AP,VENDOR,,,Programme
UK Trade and Investment Programme,UK Trade and Investment Programme,13/10/2015,Other Professional Services - High Value Campaigns,Trade Group - Consumer and Retail,PA CONSULTING GROUP LTD,114762,"5,262.09",,SG8 6DP,VENDOR,,,Programme
