WeekBeginning,AveragePerDay
01/01/2017,157.0
08/01/2017,153.0
15/01/2017,164.0
22/01/2017,159.0
29/01/2017,155.0
05/02/2017,145.0
12/02/2017,122.0
19/02/2017,129.0
26/02/2017,132.0
05/03/2017,134.0
12/03/2017,141.0
19/03/2017,143.0
26/03/2017,139.0
02/04/2017,140.0
09/04/2017,116.0
16/04/2017,114.0
23/04/2017,143.0
30/04/2017,146.0
07/05/2017,141.0
14/05/2017,142.0
21/05/2017,139.0
28/05/2017,106.0
04/06/2017,134.0
11/06/2017,142.0
18/06/2017,139.0
25/06/2017,147.0
02/07/2017,144.0
09/07/2017,145.0
16/07/2017,142.0
23/07/2017,145.0
30/07/2017,125.0
06/08/2017,122.0
13/08/2017,116.0
20/08/2017,115.0
27/08/2017,111.0
03/09/2017,138.0
10/09/2017,141.0
17/09/2017,126.0
24/09/2017,135.0
01/10/2017,140.0
08/10/2017,139.0
15/10/2017,141.0
22/10/2017,128.0
29/10/2017,139.0
05/11/2017,124.0
12/11/2017,124.0
19/11/2017,126.0
26/11/2017,135.0
03/12/2017,127.0
10/12/2017,125.0
17/12/2017,114.0
24/12/2017,25.0
