Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Bison,AnteMortem,Emergency Slaughter on Farm ,2020-10,England,1.0,2.0,1.0,50.0
Bison,AnteMortem,Emergency Slaughter on Farm ,2020-11,England,1.0,2.0,2.0,50.0
Bison,AnteMortem,Other,2020-10,England,1.0,2.0,1.0,50.0
Bison,Head,Contamination,2020-11,England,1.0,2.0,2.0,50.0
Bison,Offal,Contamination,2020-12,England,1.0,1.0,1.0,100.0
Buffalo,Head,Other,2020-10,Wales,1.0,2.0,1.0,50.0
Buffalo,Offal,Contamination,2020-11,England,1.0,15.0,3.0,6.667
Buffalo,Offal,Fluke Mature,2020-11,England,1.0,15.0,3.0,6.667
Buffalo,Offal,Fluke Mature,2020-12,England,1.0,24.0,3.0,4.167
Buffalo,Offal,Hepatic Scarring,2020-10,England,2.0,14.0,4.0,14.286
Buffalo,Offal,Hepatic Scarring,2020-12,England,1.0,24.0,3.0,4.167
Buffalo,Offal,Other,2020-10,England,4.0,14.0,4.0,28.571
Buffalo,Offal,Other,2020-11,England,3.0,15.0,3.0,20.0
Buffalo,Offal,Other,2020-12,England,2.0,24.0,3.0,8.333
Buffalo,Offal,Pleurisy,2020-12,England,1.0,24.0,3.0,4.167
Buffalo,Offal,Pneumonia,2020-11,England,2.0,15.0,3.0,13.333
Buffalo,Offal,Traumatic Pericarditis,2020-12,England,1.0,24.0,3.0,4.167
Calves,AnteMortem,Abnormal Respiratory Signs,2020-10,England,69.0,6459.0,22.0,1.068
Calves,AnteMortem,Abnormal Respiratory Signs,2020-11,England,25.0,3501.0,24.0,0.714
Calves,AnteMortem,Abnormal Respiratory Signs,2020-12,England,1.0,3293.0,23.0,0.03
Calves,AnteMortem,Dermatitis,2020-11,England,1.0,3501.0,24.0,0.029
Calves,AnteMortem,Dermatitis,2020-12,England,1.0,3293.0,23.0,0.03
Calves,AnteMortem,Diarrhoea,2020-10,England,33.0,6459.0,22.0,0.511
Calves,AnteMortem,Diarrhoea,2020-11,England,1.0,3501.0,24.0,0.029
Calves,AnteMortem,Emergency Slaughter on Farm ,2020-10,England,2.0,6459.0,22.0,0.031
Calves,AnteMortem,Eye Condition,2020-10,England,3.0,6459.0,22.0,0.046
Calves,AnteMortem,Eye Condition,2020-11,England,1.0,3501.0,24.0,0.029
Calves,AnteMortem,Lameness – Foot Lesion(s),2020-10,England,1.0,6459.0,22.0,0.015
Calves,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-10,England,1.0,6459.0,22.0,0.015
Calves,AnteMortem,Lameness – Joint/Leg Lesion(s),2020-11,England,1.0,3501.0,24.0,0.029
Calves,AnteMortem,Lameness – Not Defined,2020-10,England,2.0,6459.0,22.0,0.031
Calves,AnteMortem,Lameness – Not Defined,2020-11,England,2.0,3501.0,24.0,0.057
Calves,AnteMortem,Localised Swelling/Lumps,2020-10,England,3.0,6459.0,22.0,0.046
Calves,AnteMortem,Localised Swelling/Lumps,2020-11,England,2.0,3501.0,24.0,0.057
Calves,AnteMortem,Localised Swelling/Lumps,2020-12,England,2.0,3293.0,23.0,0.061
Calves,AnteMortem,Moribund/ Recumbent,2020-10,England,1.0,6459.0,22.0,0.015
Calves,AnteMortem,Ringworm,2020-10,England,10.0,6459.0,22.0,0.155
Calves,AnteMortem,Ringworm,2020-11,England,4.0,3501.0,24.0,0.114
Calves,AnteMortem,Ringworm,2020-12,England,3.0,3293.0,23.0,0.091
Calves,AnteMortem,Ringworm,2020-10,Wales,2.0,1349.0,2.0,0.148
Calves,AnteMortem,Slaughtered in Lairage,2020-10,England,1.0,6459.0,22.0,0.015
Calves,AnteMortem,Slaughtered in Lairage,2020-10,England,1.0,6459.0,22.0,0.015
Calves,AnteMortem,Suspect Emaciation/Poor Condition,2020-10,England,1.0,6459.0,22.0,0.015
Calves,AnteMortem,Suspect Emaciation/Poor Condition,2020-12,England,1.0,3293.0,23.0,0.03
Calves,AnteMortem,Suspect Fever,2020-11,England,1.0,3501.0,24.0,0.029
Calves,AnteMortem,Suspect Fever,2020-11,England,1.0,3501.0,24.0,0.029
Calves,AnteMortem,Suspect Fever,2020-12,England,1.0,3293.0,23.0,0.03
Calves,AnteMortem,Suspect Fever,2020-12,England,1.0,3293.0,23.0,0.03
Calves,Carcases,Abscesses – Forequarters,2020-10,England,6.0,6459.0,22.0,0.093
Calves,Carcases,Abscesses – Forequarters,2020-11,England,3.0,3501.0,24.0,0.086
Calves,Carcases,Abscesses – Hindquarters,2020-10,England,5.0,6459.0,22.0,0.077
Calves,Carcases,Abscesses – Hindquarters,2020-11,England,1.0,3501.0,24.0,0.029
Calves,Carcases,Abscesses – Hindquarters,2020-12,England,1.0,3293.0,23.0,0.03
Calves,Carcases,Abscesses – Neck,2020-12,England,1.0,3293.0,23.0,0.03
Calves,Carcases,Bruising,2020-10,England,1.0,6459.0,22.0,0.015
Calves,Carcases,Bruising,2020-11,England,3.0,3501.0,24.0,0.086
Calves,Carcases,Bruising,2020-12,England,4.0,3293.0,23.0,0.121
Calves,Carcases,Contamination,2020-10,England,63.0,6459.0,22.0,0.975
Calves,Carcases,Contamination,2020-11,England,66.0,3501.0,24.0,1.885
Calves,Carcases,Contamination,2020-12,England,127.0,3293.0,23.0,3.857
Calves,Carcases,Hydatid Cyst,2020-10,England,2.0,6459.0,22.0,0.031
Calves,Carcases,Joint Lesions (Incl. Arthritis),2020-10,England,9.0,6459.0,22.0,0.139
Calves,Carcases,Joint Lesions (Incl. Arthritis),2020-11,England,5.0,3501.0,24.0,0.143
Calves,Carcases,Joint Lesions (Incl. Arthritis),2020-12,England,2.0,3293.0,23.0,0.061
Calves,Carcases,Other,2020-10,England,30.0,6459.0,22.0,0.464
Calves,Carcases,Other,2020-11,England,2.0,3501.0,24.0,0.057
Calves,Carcases,Other,2020-12,England,6.0,3293.0,23.0,0.182
Calves,Head,Contamination,2020-10,England,26.0,6459.0,22.0,0.403
Calves,Head,Contamination,2020-11,England,15.0,3501.0,24.0,0.428
Calves,Head,Contamination,2020-12,England,16.0,3293.0,23.0,0.486
Calves,Head,Other,2020-10,England,3.0,6459.0,22.0,0.046
Calves,Head,Other,2020-11,England,5.0,3501.0,24.0,0.143
Calves,Head,Other,2020-12,England,3.0,3293.0,23.0,0.091
Calves,Offal,Contamination,2020-10,England,178.0,6459.0,22.0,2.756
Calves,Offal,Contamination,2020-11,England,94.0,3501.0,24.0,2.685
Calves,Offal,Contamination,2020-12,England,94.0,3293.0,23.0,2.855
Calves,Offal,Contamination,2020-11,Wales,2.0,1081.0,2.0,0.185
Calves,Offal,Fluke Immature,2020-10,England,17.0,6459.0,22.0,0.263
Calves,Offal,Fluke Immature,2020-11,England,10.0,3501.0,24.0,0.286
Calves,Offal,Fluke Immature,2020-12,England,8.0,3293.0,23.0,0.243
Calves,Offal,Fluke Mature,2020-10,England,25.0,6459.0,22.0,0.387
Calves,Offal,Fluke Mature,2020-11,England,9.0,3501.0,24.0,0.257
Calves,Offal,Fluke Mature,2020-12,England,1.0,3293.0,23.0,0.03
Calves,Offal,Hepatic Scarring,2020-10,England,12.0,6459.0,22.0,0.186
Calves,Offal,Hepatic Scarring,2020-12,England,3.0,3293.0,23.0,0.091
Calves,Offal,Hydatid Cysts,2020-10,England,2.0,6459.0,22.0,0.031
Calves,Offal,Hydatid Cysts,2020-11,England,1.0,3501.0,24.0,0.029
Calves,Offal,Liver Abscesses,2020-10,England,30.0,6459.0,22.0,0.464
