DfE code,School Name,Type,Financial year,I01,I02,I03,I04,I05,I06,I07,I08a,I08b,I09,I10,I11,I12,I13,I15,I16,I17,I18,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28a,E28b,E29,E30,E31,E32,CI01,CI03, CI04,DeMinimis,CE01,CE02,CE03,CE04,OB01,OB02,OB03,B01,B02,B03,B05,B06
5201,All Saints J and I (CE) VA School,Primary,2019/20,797674.44,0,20896.08,0,28279.99,0.0,1000.0,333.04,60638.94,19315.07,3274.47,0.0,18534.2,3730.76,0,0.0,0.0,54521.0,414397.22,778.96,147226.33,27021.31,44371.88,27586.54,33604.54,2606.99,7269.09,9150.02,486.75,4349.93,144.0,1290.98,2146.93,13437.05,2898.0,6173.7,92334.07,5800.28,0.0,4210.39,7922.05,35103.13,55571.07,13102.35,7780.5,22696.58,0.0,0.0,16190.0,0.0,0.0,0.0,0.0,16190.0,1,0.0,16190.0,0.0,0.0,98059.33,0.0,60531.83,100606.68,0.0,60531.83,0.0,0.0
2093,Ash Green Primary School,Primary,2019/20,2147986.44,0,71509.5,0,298169.99,0.0,31002.73,0.0,90113.78,17890.52,23899.96,20997.44,5557.31,6896.83,0,0.0,0.0,77929.0,1183708.19,750.6,593207.91,129926.55,81395.07,92412.11,177259.75,10450.72,10653.72,28209.25,1246.62,40693.42,2786.93,4300.57,9305.34,52075.68,39771.0,21113.39,102531.22,94016.6,0.0,8944.16,22537.0,0.0,66203.33,51377.13,7316.0,38038.6,0.0,0.0,23354.0,0.0,0.0,9140.0,0.0,23354.0,1,0.0,23354.0,0.0,0.0,428989.3,0.0,38983.25,327355.94,0.0,48123.45,0.0,0.0
2040,Bailiffe Bridge J and I School,Primary,2019/20,811825.54,0,9981.0,0,25720.0,0.0,312.07,0.0,1726.51,16152.6,5535.35,762.0,0.0,0.0,0,0.0,0.0,56642.0,463531.56,18300.45,165908.82,25436.12,43915.21,12616.39,18623.48,3321.25,1712.17,7481.47,1820.64,23118.96,3839.9,1190.48,2903.09,8898.03,10433.75,2440.73,25663.17,12810.37,0.0,3090.11,7890.77,0.0,50354.83,10842.0,830.0,18247.35,0.0,0.0,0.0,0.0,0.0,6385.0,0.0,0.0,1,0.0,1480.52,0.0,0.0,131262.74,0.0,69248.53,114698.71,0.0,73153.01,0.0,0.0
3321,Barkisland C of E (VA) Primary School,Primary,2019/20,750170.59,0,5158.08,0,30279.99,0.0,250.0,495.0,86.77,38769.0,5151.32,295.82,7170.0,60359.75,0,0.0,168576.21,51128.0,476716.19,10601.01,111706.77,28262.83,53206.3,45186.72,6544.84,1847.33,5404.5,9910.13,2470.27,5410.42,4371.66,3868.71,3323.86,13757.02,2746.8,5104.87,79454.33,22845.64,0.0,2966.6,7237.44,0.0,37718.28,0.0,10119.0,11388.5,0.0,0.0,2342.92,84170.74,52199.84,0.0,0.0,2342.92,1,0.0,19002.17,0.0,0.0,63658.13,92005.8,-15340.75,48459.51,0.0,-32000.0,0.0,124211.43
2048,Bowling Green Primary School,Primary,2019/20,664745.92,0,14670.17,0,37860.0,0.0,6435.0,1457.47,0.0,10420.23,800.0,4498.78,0.0,3062.38,0,0.0,24627.27,39346.0,318442.81,0.0,106375.55,12679.52,48105.84,11898.83,19876.25,3296.68,8876.11,6770.51,2256.27,10462.19,239.28,1468.24,2356.48,9659.17,3314.25,3827.64,47210.96,18285.8,0.0,2668.83,6039.16,0.0,39965.27,27092.12,63730.51,20899.7,0.0,0.0,0.0,24088.92,484.09,5778.0,0.0,0.0,1,0.0,1858.8,0.0,7835.5,38068.29,0.0,23691.53,25566.27,0.0,19775.23,0.0,54.26
1101,Calderdale PRU,PRU,2019/20,270449.67,0,193913.81,0,15188.33,0.0,264.87,0.0,32005.89,4634.5,0.0,0.0,0.0,0.0,0,0.0,0.0,4167.0,251178.67,0.0,139429.64,14804.16,35411.22,0.0,0.0,1696.87,1550.0,0.0,0.0,4080.34,145.89,260.34,0.0,4967.91,5008.5,6085.06,13114.99,50.0,1309.16,3103.38,0.0,0.0,4626.0,4660.83,2810.0,8288.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1909.64,0.0,0.0,0.0,47393.93,0.0,13931.37,65436.55,0.0,12021.73,0.0,0.0
2042,Carr Green Primary School,Primary,2019/20,1294028.85,0,33333.41,0,79419.99,0.0,13906.36,9850.57,43525.46,43395.06,13843.4,7607.51,29234.46,5264.61,0,0.0,0.0,71363.0,758101.75,23832.15,349304.05,66505.32,75000.66,63580.0,40329.25,6233.98,3390.28,8272.8,5328.57,11281.27,4284.93,1935.38,4092.89,25394.12,33516.0,13166.14,83772.06,17468.74,0.0,6745.58,15108.15,2743.44,45309.08,6113.0,17388.0,18488.3,0.0,865.0,3705.0,0.0,20.35,7818.0,0.0,3705.0,1,0.0,8995.51,7382.49,1356.0,121554.93,1035.96,279.93,55071.72,0.0,6490.93,-12422.0,1015.61
2068,Castle Hill J and I School,Primary,2019/20,1126164.78,0,14992.25,0,85380.0,0.0,10025.4,1350.25,74171.0,30445.43,-2767.59,8471.55,4268.0,3345.0,0,0.0,0.0,53819.0,551969.77,31368.76,248181.78,36486.07,42169.83,58691.52,88291.82,5223.46,11504.39,11881.95,7154.91,5872.93,20024.05,842.1,4338.0,16520.43,17185.0,4934.33,60800.33,10077.77,0.0,11060.49,10469.12,18247.0,42523.26,0.0,7692.5,31191.95,0.0,0.0,0.0,0.0,0.0,7114.0,0.0,0.0,1,0.0,5400.0,0.0,0.0,90384.55,0.0,24667.0,145346.1,0.0,26381.0,0.0,0.0
2054,Central Street infant and nursery school,Infant,2019/20,401844.86,0,20735.93,0,20780.01,0.0,8252.17,0.0,14251.35,860.09,0.0,4744.36,12.0,0.0,0,0.0,50644.37,31647.0,145407.93,1427.91,145104.38,19797.44,26814.31,8370.39,10855.02,2629.63,5647.22,2601.66,3129.38,33265.25,0.0,2365.22,1691.69,8664.14,11047.5,7214.04,6761.1,9238.91,0.0,2319.35,5007.32,0.0,16288.64,210.0,13704.5,10323.7,0.0,0.0,0.0,31617.49,6721.47,4671.0,0.0,0.0,1,0.0,5736.0,0.0,0.0,106095.64,58388.49,12493.04,109336.78,0.0,11428.04,0.0,70693.9
3323,Christ Church CE (VA) Junior School,Junior,2019/20,633899.63,0,6150.92,0,73500.0,0.0,11423.92,1440.34,22684.53,17257.6,7000.0,200.0,7279.94,1731.12,0,0.0,0.0,21318.0,286123.01,0.0,142695.77,34491.94,45676.42,34386.24,20579.21,1288.58,5001.28,10131.06,0.0,28268.68,17504.75,1650.54,2403.64,11622.16,2180.87,5226.83,35205.35,10469.82,0.0,4789.01,5077.81,1000.0,24669.57,13003.98,4434.0,17114.36,0.0,0.0,180.0,0.0,0.0,1333.3,0.0,0.0,1,0.0,0.0,0.0,0.0,55450.01,0.0,-8000.0,94161.13,0.0,-6666.7,0.0,0.0
