Asset,AssetTitle,Dataset
FSA 01/01a,FSA Board,Register of Gifts and Hospitality
FSA 01/01b,FSA Board,FSA Board and Directors expenses
FSA 01/05a,Complaints,Register of Complaints
FSA 01/08a,Internal Whistleblowing referrals,Log of Internal Whistleblowing Cases
FSA 02/01a,Business Continuity Plans,Business Continuity - incident event/issues  log & contact details
FSA 02/02a,Organisational Performance,Organisational Performance - Corporate & Directorate Level Data
FSA 02/03a,Risk Management,Risk Registers - Corporate and Group
FSA 02/04a,Business Planning,Business Plan Milestones
FSA 04/00a,Policy Development Records - All,Food Policy Stakeholder Lists; Meat Hygiene; Micro Criteria; Fish and Shellfish; General Food Hygiene; Animal Feed; TSEs; Review of EU Official Controls
FSA 04/01a,Policy Development Records - Contaminants & Residues,FS102077 - Investigation of Perchlorate levels in fruit and vegetables consumed in the UK
FSA 04/01b,Policy Development Records - Contaminants & Residues,FS102126 - Retail survey of T-2 and HT-2 toxin levels in oat based products derived from the 2014 Scottish and English oat crops
FSA 04/01c,Policy Development Records - Contaminants & Residues,FS102056 - Occurrence of pyrrolizidine alkaloids in food
FSA 04/01d,Policy Development Records - Contaminants & Residues,FS102055 - Sterigmatocystin in cereal products
FSA 04/01e,Policy Development Records - Contaminants & Residues,FS102101 - Evaluation of masked mycotoxins in food and their release and uptake in the gut 
FSA 04/01f,Policy Development Records - Contaminants & Residues,FS102073 - 3-APA: literature search (followed by further phases)
FSA 04/01g,Policy Development Records - Contaminants & Residues,FS102075 - Rolling acrylamide and furan survey 2014-2018
FSA 04/01h,Policy Development Records - Contaminants & Residues,FS102076 - Types and levels of non-volatile N-nitroso compounds (NOC) in UK consumed foods
FSA 04/01i,Policy Development Records - Contaminants & Residues,FS102042 - Acrylamide Total Diet Study Total diet study of inorganic contaminants acrylamide & mycotoxins
FSA 04/01j,Policy Development Records - Contaminants & Residues,FS102042 - Acrylamide targeted investigations  
FSA 04/01k,Policy Development Records - Contaminants & Residues,FS101169 - Acrylamide investigation phase 2: analysis of selected food categories 
FSA 04/01l,Policy Development Records - Contaminants & Residues,FS102081 - UK Total Diet Study (TDS) of Metals and other elements 
FSA 04/01m,Policy Development Records - Contaminants & Residues,FS102115 - Analyses of lead levels in tea 
FSA 04/01n,Policy Development Records - Contaminants & Residues,FS241030 - Geochemical lead contamination of cattle sheep free range and organic chickens on UK farms
FSA 04/01o,Policy Development Records - Contaminants & Residues,FS102047 - Relationship in the UK between animal age and cadmium concentration in kidneys liver and meat from cattle
FSA 04/01p,Policy Development Records - Contaminants & Residues,FS101170 - Adverse Impacts on Food Safety Following the phasing out of PPPs and BPs with ED activity
FSA 04/01q,Policy Development Records - Contaminants & Residues,FS102116 - Occurrence of tropane alkaloids in food
FSA 04/01r,Policy Development Records - Contaminants & Residues,FS 516017 - Monitoring of Chlorate in Fruit and Vegetables
FSA 04/01s,Policy Development Records - Contaminants & Residues,FS102005 - Geographical investigation for contaminants in marine environment including fish and shellfish
FSA 04/01t,Policy Development Records - Contaminants & Residues,FS513010 - Carry out a mass balance for bromine compounds in food and feed samples quantifying the levels of common BFRs and identifying the presence of any new BFRs
FSA 04/01u,Policy Development Records - Contaminants & Residues,FS102114 - BFRs in baby foods & infant formulae
FSA 04/01v,Policy Development Records - Contaminants & Residues,FS102113 - Environmental contaminants in duck and other speciality eggs
FSA 04/02a,Policy Development Records - Meat Hygiene,Meat Hygiene  third party industry data (analysed for approval of processes)
FSA 04/02b,Policy Development Records - Meat Hygiene,FS517003 - - The use of a spotter initiative to assist post mortem inspection in UK slaughterhouses 
FSA 04/02c,Policy Development Records - Meat Hygiene,FS517004 - - Relationship between seroprevalence in the main livestock species and presence of Toxoplasma gondii in meat 
FSA 04/02d,Policy Development Records - Meat Hygiene,FS514103 - - Microbial evaluation of poultry and pork mechanically separated meat (MSM) compared to fresh cuts of meat meat preparations and minced meat products 
