RefNum,FSADataSharingActivity ,Directorate,DataSharingAgreementSigned
DSA101,Received,Finance & Strategic Planning,Yes
DSA102,Both,Operations ,Yes
DSA103,Both,Operations ,Yes
DSA104,Disclosed,Operations ,Yes
DSA107,Both,,Yes
DSA108,Both,,Yes
DSA110,Disclosed,Operations,Yes
DSA111,Disclosed,Operations,Yes
DSA112,Disclosed,Operations,Yes
DSA113,Disclosed,Operations,Yes
DSA114,Disclosed,Operations,Yes
DSA115,Disclosed,Operations,Yes
DSA116,Disclosed,Operations,Yes
DSA117,Disclosed,Operations,Yes
DSA118,Disclosed,Operations,Yes
DSA119,Disclosed,Operations,Yes
DSA120,Disclosed,Operations,Yes
DSA121,Disclosed,Operations,Yes
DSA122,Disclosed,Operations,Yes
DSA123,Disclosed,Operations,Yes
DSA124,Disclosed,Science and Policy,Yes
DSA126,Disclosed,Finance & Strategic Planning,Yes
DSA150,Both,Science and Policy,Yes
DSA151,Both,Science and Policy,Yes
DSA152,Received,Science and Policy,Yes
DSA153,Both,Science and Policy,Yes
DSA154,Both,Science and Policy,Yes
DSA155,Received,Operations,Yes
DSA156,Both,Science and Policy,Yes
DSA167,Both,Operations,Yes
DSA170,Received,Science and Policy,Yes
DSA189,Both,Operations,Yes
DSA190,Both,Operations,In progress
DSA191,Disclosed,Operations,Yes
DSA192 ,Disclosed,Operations,In progress
DSA193,Disclosed,N.I. & Organisational Development,In progress
DSA194,Both,Regulatory and Legal,yes
DSA 195,Both,N.I. & Organisational Development,In progress
DSA 196,Both,Consumer Protection,Yes
DSA 197,Both,Operations,In progress
DSA 198,Both,Finance & Strategic Planning,In progress
DSA 199,Disclosed,Operations,In progress
DSA 200,Both,N.I. & Organisational Development,In progress
DSA 201,Both,Operations,In progress
DSA 202,Disclosed,Operations,In progress
DSA 203,Received,Science and Policy,In progress
DSA 204,Both,Operations,In progress
DSA 205,Both,Operations,In progress
DSA 206,Disclosed,Science and Policy,In progress
