Organisation Name,Organisation Type,Main_ parent or sponsoring department,Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,Payroll staff Other_ unknown or unspecified Headcount,Payroll staff Other_ unknown or unspecified Full-time Equivalent,Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff_ interim managers and specialist contractors,Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Department of Health,Ministerial Department,Department of Health,136,127.5,466,447.85,928,899.84,858,829.76,240,233.32,,,2628,2538.27,149.0,148.2,,,101,97.48,93,87.91,343.0,333.59,2971.0,2871.86,"£9,535,247","£100,676","£28,352","£46,841","£2,004,320","£900,509","£12,615,945","£74,944","£57,446","£132,390","£12,748,335",Cost data for contingent labour and consultancy are taken  from a different source for 2010-11 than for 2011-12. This means that care must be taken in making comparisons. DH is working to reconcile any differences.
Appointments Commission,Executive Non-Departmental Public Body,Department of Health,3,3.0,20,19.3,12,11.4,4,4.0,3,2.8,0.0,0.0,42,40.5,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,42.0,40.5,"£117,560",£0,£0,£0,"£13,672","£10,458","£141,690",£0,£0,£0,"£141,690",Excludes 1 redundancy payment
Care Quality Commission ,Executive Non-Departmental Public Body,Department of Health,258,246.8,53,51.37,884,846.21,123,123.0,32,32.0,357.0,341.66,1707,1641.04,202.24,202.24,28.0,28.0,8,8.0,2,2.0,240.24,240.24,1947.24,1881.28,"£5,323,480","£338,784",£0,"£101,641","£687,534","£546,005","£6,997,444","£584,961","£21,985","£606,946","£7,604,390",
Council for Healthcare Regulatory Excellence,Executive Non-Departmental Public Body,Department of Health,2,2.0,6,6.0,8,7.59,3,3.0,1,1.0,0.0,0.0,20,19.59,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,20.0,19.59,"£79,856",£0,£0,£0,"£9,974","£7,275","£97,105",£0,£0,£0,"£97,105",
General Social Care Council,Executive Non-Departmental Public Body,Department of Health,104,95.0,57,53.0,52,50.5,14,14.0,4,4.0,0.0,0.0,231,216.5,57.0,57.0,2.0,2.0,2,2.0,34,0.0,95.0,61.0,326.0,277.5,"£462,651","£21,589","£6,062",£0,"£38,892","£41,834","£571,027","£93,732","£44,963","£138,695","£709,722",
Health Protection Agency,Executive Non-Departmental Public Body,Department of Health,790,709.68,539,512.15,1697,1618.01,328,320.06,339,318.98,127.0,116.98,3820,3595.86,59.0,55.1,11.0,10.0,12,7.09,3,1.7,85.0,73.89,3905.0,3669.75,"£10,439,100","£1,697,200",£0,"£115,100","£1,125,400","£1,463,000","£14,839,800","£351,500","£117,002","£468,502","£15,308,302","Consultancy is classed as costs associated with individuals or organisations working with the business on a specific activity. Hence, the costs for consultancy work will not relate to manpower numbers. The cost figures for specialist contractors relate to a complete range of services provided to the HPA."
Human Fertilisation & Embryology Authority,Executive Non-Departmental Public Body,Department of Health,4,3.56,26,23.7,33,32.49,15,14.62,4,4.0,0.0,0.0,82,78.37,3.0,3.0,0.0,0.0,0,0.0,0,0.0,3.0,3.0,85.0,81.37,"£283,123","££0,313",£0,"£7,425","£50,492","£23,473","£364,826","£2,707",£0,"£2,707","£367,533",
Human Tissue Authority,Executive Non-Departmental Public Body,Department of Health,1,1.0,7,7.0,21,21.0,6,6.0,5,5.0,0.0,0.0,40,40.0,3.0,3.0,0.0,0.0,3,3.0,0,0.0,6.0,6.0,46.0,46.0,"£157,872",£0,£0,£0,"£17,806","£12,389","£188,068","£31,273",£0,"£31,273","£219,340",
Medicines & Healthcare Products Regulatory Agency,Executive Agency,Department of Health,108,101.45,197,188.7,296,284.34,236,228.55,133,119.25,0.0,0.0,970,922.29,15.0,13.75,1.0,1.0,2,1.8,0,0.0,18.0,16.55,988.0,938.84,"£3,360,664","£12,842","£7,491","£44,041","£686,961","£317,983","£4,429,983","£91,073",£0,"£91,073","£4,521,055",
Monitor - Independent Regulator of NHS Foundation Trusts,Executive Non-Departmental Public Body,Department of Health,9,8.55,3,3.0,18,16.67,65,63.29,17,16.7,0.0,0.0,112,108.21,3.0,3.0,22.0,22.0,0,0.0,12,10.8,37.0,35.8,149.0,144.01,"£589,361",£0,£0,£0,"£133,333","£61,782","£784,476","£171,148","£104,038","£275,185","£1,059,661","Consultancy costs relate to a small specialist team working on the transition to the ""New Monitor"" and are equivalent to around £500 per day which is normal for consultancy at this level. This is a short-term activity that will not continue throughout the year."
